seen,user_index,seed_size
5194,6814,1
5591,13157,2
6593,5367,3
14341,6578,4
15014,18955,5
15880,28310,6
26635,2274,7
30031,15692,8
33731,35644,9
50065,2512,10
52246,66089,11
53140,1906,12
54136,1267,13
57351,5287,14
59421,5433,15
59747,4085,16
67055,2909,17
84472,40339,18
92301,3293,19
101897,844,20
106610,6858,21
111145,2394,22
118916,11496,23
120994,7986,24
121485,22804,25
128013,10125,26
145443,90506,27
162406,64248,28
167660,2755,29
174878,9929,30
189277,21800,31
224876,24539,32
227076,46345,33
252600,44387,34
274441,41530,35
280245,3309,36
296358,15577,37
