seen,user_index,seed_size
84,73943,1
97,66089,2
117,2755,3
155,27333,4
322,26581,5
434,12497,6
532,4754,7
642,5180,8
958,33103,9
1050,4359,10
1236,44387,11
1270,59206,12
1340,9892,13
1480,39028,14
1597,41530,15
1679,307,16
1733,2807,17
1769,2050,18
1871,5287,19
1892,12701,20
1919,9514,21
2020,2418,22
2153,9033,23
2294,4259,24
2401,19849,25
2431,5239,26
2458,3527,27
2527,64956,28
2621,11689,29
2918,2943,30
3023,6814,31
3048,21800,32
3071,67767,33
3239,18380,34
3264,3309,35
3267,11733,36
3457,128964,37
3539,21509,38
3541,40339,39
3595,3007,40
3641,46345,41
3780,76582,42
3965,36264,43
3986,69109,44
4096,26811,45
4101,33872,46
4125,10888,47
4146,19360,48
4232,2512,49
4282,35607,50
4315,3293,51
4407,6578,52
4440,13581,53
4494,35644,54
4605,3606,55
4654,24903,56
4737,844,57
4757,20397,58
4764,19100,59
4963,15824,60
4988,5367,61
4998,55437,62
5008,30323,63
5172,46226,64
5173,7986,65
5194,6169,66
5457,15626,67
5559,3031,68
5570,10927,69
5680,45141,70
6182,20119,71
6499,8362,72
6667,13388,73
6747,50428,74
6837,4559,75
7281,2420,76
7349,914,77
7515,16228,78
7725,5529,79
7777,1906,80
7849,348,81
7871,34076,82
7884,11496,83
7961,2137,84
8105,31144,85
8145,2274,86
8249,42533,87
8276,3175,88
8342,32481,89
8579,1455,90
8581,22523,91
8626,1892,92
8784,83461,93
8858,9399,94
9026,2909,95
9089,22804,96
9416,64248,97
9511,6446,98
10010,95528,99
10138,18955,100
10183,5331,101
10405,7624,102
10453,22282,103
10972,9473,104
11798,28664,105
12005,2908,106
12016,5433,107
12038,26938,108
12318,45733,109
12603,32925,110
12849,10125,111
12997,4744,112
13027,7034,113
13236,10709,114
13266,32902,115
13490,2925,116
13507,5908,117
13533,11164,118
13735,65272,119
14155,24539,120
14170,13157,121
14480,18919,122
14612,37370,123
15061,32491,124
15387,37825,125
15935,54022,126
16157,15459,127
16284,2286,128
16495,10498,129
16582,5344,130
16671,26331,131
17034,1335,132
17089,13722,133
17100,89305,134
17725,16657,135
17980,26741,136
18124,4063,137
18325,90506,138
18497,3256,139
18931,504,140
18963,17285,141
19082,1267,142
19113,16986,143
19160,27835,144
19947,12223,145
20345,2038,146
20540,44799,147
20619,9929,148
20672,20358,149
21230,45207,150
21322,28122,151
21438,38662,152
21771,25452,153
21803,4085,154
22347,4806,155
23284,33882,156
23544,72003,157
23909,20331,158
24496,15692,159
24626,9372,160
25059,34269,161
25214,5045,162
25268,20010,163
26737,4061,164
27084,22348,165
27507,14829,166
27509,21483,167
27781,1895,168
28259,28310,169
28797,6858,170
28808,15686,171
29144,14763,172
29986,32251,173
30402,60340,174
31145,12699,175
