seen,user_index,seed_size
5194,6814,1
5591,13157,2
6593,5367,3
6658,25405,4
6910,3606,5
7722,6446,6
8819,10135,7
10092,51986,8
10269,33872,9
11504,40126,10
11735,16679,11
11817,9396,12
13785,5175,13
14341,6578,14
15014,18955,15
15069,5344,16
15346,54022,17
15880,28310,18
18883,13581,19
19314,16228,20
19995,1426,21
23109,28122,22
26635,2274,23
26737,2420,24
27745,45207,25
29722,16304,26
30031,15692,27
31893,132206,28
33731,35644,29
34337,8862,30
36692,129703,31
40270,11164,32
40900,45141,33
43541,20522,34
44187,89305,35
44593,32481,36
45748,15824,37
46201,7046,38
46638,18415,39
47883,27476,40
47913,2152,41
49700,28664,42
50065,2512,43
50192,5679,44
50725,4061,45
51412,2137,46
52246,66089,47
53096,16657,48
53140,1906,49
53651,55969,50
53839,20331,51
54026,2190,52
54136,1267,53
56223,7310,54
56901,10770,55
57351,5287,56
57598,73748,57
59421,5433,58
59445,15694,59
59747,4085,60
60498,14402,61
60631,2908,62
60876,22594,63
63205,50428,64
64994,31144,65
65265,67767,66
66250,24903,67
66608,38747,68
67055,2909,69
67322,22523,70
69453,55437,71
69521,504,72
72561,9774,73
76625,4407,74
77926,13757,75
80970,26331,76
82430,59296,77
83395,71597,78
83711,65272,79
84472,40339,80
85585,2807,81
87815,4812,82
89161,57230,83
89938,61255,84
90129,4744,85
92301,3293,86
93341,2038,87
99378,7624,88
100030,20355,89
100813,8280,90
101897,844,91
102161,1892,92
102697,6469,93
103344,19100,94
103945,17285,95
106610,6858,96
110984,3175,97
111145,2394,98
113027,663,99
113271,44799,100
114357,10013,101
115902,914,102
116306,17087,103
117244,115093,104
117748,46226,105
118916,11496,106
119956,10709,107
120128,33103,108
120994,7986,109
121485,22804,110
122060,64956,111
126942,348,112
127211,2943,113
128013,10125,114
129214,3031,115
132706,1895,116
135197,32925,117
136648,32491,118
137263,95528,119
137284,9473,120
142365,20313,121
143283,9305,122
145443,90506,123
145683,4863,124
145928,19330,125
145994,27834,126
146159,13976,127
153806,4533,128
156144,21509,129
159432,5558,130
160224,9102,131
162406,64248,132
163052,19849,133
163116,34269,134
166900,83461,135
167547,37256,136
167660,2755,137
174569,2050,138
174878,9929,139
179536,14829,140
185258,16981,141
186014,73943,142
186057,2860,143
186150,15459,144
186188,20342,145
188232,21483,146
188413,2418,147
189277,21800,148
189577,4036,149
190362,23886,150
194211,6271,151
205275,10927,152
206332,15236,153
208819,38671,154
210185,3527,155
210757,69109,156
210979,14763,157
217824,30033,158
221240,13388,159
223085,31266,160
224876,24539,161
227076,46345,162
228275,20397,163
233552,6751,164
233950,9033,165
234273,5331,166
237431,8783,167
252450,6854,168
252600,44387,169
252633,44643,170
253623,13879,171
257202,24868,172
262903,16433,173
264439,14752,174
266289,6830,175
266911,9259,176
268265,4579,177
274441,41530,178
276107,12699,179
277801,26938,180
280245,3309,181
280837,53470,182
284554,1,183
285981,22872,184
289562,15686,185
293176,33882,186
294042,24437,187
294849,19360,188
296358,15577,189
296760,10032,190
297793,9372,191
300281,3443,192
301521,4359,193
302351,3007,194
302749,12323,195
303779,30786,196
303873,22348,197
306284,17579,198
306998,18380,199
314418,83839,200
315351,10498,201
316031,6843,202
