fileName,k,epsilon,startDatetime,endDatetime,duration,seedSize,estimatedScore
dblp,350,0.5,Fri Nov 16 01:00:14 2018,Fri Nov 16 01:00:17 2018,2.26522,350,20820.8
dblp,350,0.1,Fri Nov 16 01:00:17 2018,Fri Nov 16 01:00:33 2018,16.417,350,20378.2
dblp,400,0.5,Fri Nov 16 01:00:33 2018,Fri Nov 16 01:00:38 2018,4.44941,400,22222.7
dblp,400,0.1,Fri Nov 16 01:00:38 2018,Fri Nov 16 01:00:43 2018,4.94174,400,22223.5
dblp,450,0.5,Fri Nov 16 01:00:44 2018,Fri Nov 16 01:00:49 2018,5.0976,450,23972.7
dblp,450,0.1,Fri Nov 16 01:00:49 2018,Fri Nov 16 01:00:55 2018,5.50829,450,23967.6
dblp,50,0.5,Fri Nov 16 01:02:07 2018,Fri Nov 16 01:02:08 2018,1.00422,50,5237.08
dblp,50,0.1,Fri Nov 16 01:02:08 2018,Fri Nov 16 01:02:20 2018,11.6397,50,5189.64
dblp,100,0.5,Fri Nov 16 01:02:20 2018,Fri Nov 16 01:02:22 2018,1.74086,100,8678.34
dblp,100,0.1,Fri Nov 16 01:02:22 2018,Fri Nov 16 01:02:25 2018,2.45218,100,8672.21
dblp,150,0.5,Fri Nov 16 01:02:25 2018,Fri Nov 16 01:02:27 2018,2.05663,150,11512.5
dblp,150,0.1,Fri Nov 16 01:02:27 2018,Fri Nov 16 01:02:29 2018,2.54243,150,11517.6
dblp,200,0.5,Fri Nov 16 01:02:30 2018,Fri Nov 16 01:02:32 2018,2.50501,200,14025.8
dblp,200,0.1,Fri Nov 16 01:02:32 2018,Fri Nov 16 01:02:35 2018,3.13168,200,14023
dblp,250,0.5,Fri Nov 16 01:02:36 2018,Fri Nov 16 01:02:39 2018,3.1569,250,16278.6
dblp,250,0.1,Fri Nov 16 01:02:39 2018,Fri Nov 16 01:02:43 2018,4.05464,250,16272
dblp,300,0.5,Fri Nov 16 01:02:43 2018,Fri Nov 16 01:02:47 2018,3.80167,300,18344.3
dblp,300,0.1,Fri Nov 16 01:02:47 2018,Fri Nov 16 01:02:54 2018,6.4838,300,18353.9
dblp,33,0.5,Fri Nov 16 01:02:54 2018,Fri Nov 16 01:02:55 2018,0.928015,33,3744.57
dblp,33,0.1,Fri Nov 16 01:02:55 2018,Fri Nov 16 01:02:56 2018,1.01908,33,3744.57
