seen,user_index,seed_size
231,24331,1
252,61018,2
326,40667,3
461,13671,4
530,13315,5
554,3583,6
772,14648,7
942,5137,8
1100,22842,9
2184,27844,10
2223,43080,11
2486,124482,12
2488,38784,13
2504,40636,14
2626,17534,15
2861,55905,16
2871,25483,17
3461,5577,18
3570,58790,19
3597,26671,20
3661,10008,21
3763,1604,22
4774,6524,23
4880,108680,24
4929,56303,25
5194,6814,26
5387,57056,27
5434,12900,28
5591,13157,29
6093,4692,30
6593,5367,31
6658,25405,32
6882,75031,33
6910,3606,34
6931,6349,35
7200,79920,36
7550,54024,37
7722,6446,38
8152,10900,39
8248,70711,40
8390,62123,41
8746,12118,42
8806,74876,43
8819,10135,44
9328,72927,45
9582,32528,46
10000,9206,47
10092,51986,48
10269,33872,49
10425,13544,50
10696,29195,51
10771,43814,52
11141,1491,53
11476,34623,54
11504,40126,55
11569,54329,56
11735,16679,57
11817,9396,58
11828,79414,59
12170,30921,60
13101,71635,61
13293,122475,62
13338,16646,63
13650,34792,64
13785,5175,65
13855,19902,66
13962,5838,67
14011,61291,68
14341,6578,69
14373,49070,70
14678,1632,71
15014,18955,72
15069,5344,73
15169,5699,74
15242,29846,75
15346,54022,76
15376,15572,77
15880,28310,78
16067,6210,79
16321,64208,80
16365,71796,81
16447,65883,82
16731,72449,83
16819,65947,84
17186,13481,85
17420,21843,86
17458,48239,87
17814,77307,88
18209,32535,89
18243,65882,90
18648,1564,91
18883,13581,92
19093,41170,93
19200,3551,94
19292,24524,95
19314,16228,96
19995,1426,97
20162,37971,98
20350,49888,99
20393,19194,100
20625,6437,101
21369,1747,102
21514,31734,103
21954,19345,104
22253,13694,105
23109,28122,106
23821,44686,107
23955,50131,108
23998,74234,109
24015,53732,110
24098,15829,111
24500,24010,112
24547,49957,113
24568,15219,114
24826,40057,115
24987,76699,116
25584,29578,117
26249,48237,118
26391,53033,119
26509,59288,120
26635,2274,121
26737,2420,122
26813,37134,123
27162,669,124
27666,1212,125
27730,5863,126
27745,45207,127
28002,53210,128
28024,45210,129
28690,639,130
28892,2678,131
28941,32643,132
29429,40702,133
29464,44290,134
29480,57965,135
29722,16304,136
29983,14438,137
30031,15692,138
30317,37833,139
30965,11331,140
31181,25514,141
31187,83891,142
31893,132206,143
31932,85860,144
32223,40006,145
32302,1432,146
32455,20124,147
32518,54206,148
32597,18399,149
32665,2916,150
32946,6096,151
33731,35644,152
33821,11330,153
33857,26339,154
34298,13256,155
34337,8862,156
34985,89974,157
35078,22674,158
35121,53666,159
35194,17388,160
35372,2952,161
35710,6687,162
36004,57178,163
36075,28835,164
36392,52720,165
36692,129703,166
37415,6878,167
37670,4395,168
37727,48666,169
38114,42612,170
38221,5933,171
38346,174110,172
38525,45219,173
