seen,user_index,seed_size
15,2811,1
104,74234,2
154,79463,3
185,322,4
285,3266,5
302,9796,6
437,9451,7
526,72235,8
592,32895,9
641,49781,10
659,44290,11
668,28307,12
712,12701,13
736,17516,14
803,157503,15
830,38776,16
899,8529,17
901,8194,18
1221,99428,19
1293,58719,20
1298,71785,21
1346,7600,22
1354,12833,23
1667,41176,24
1699,33789,25
1759,4487,26
1770,25814,27
2263,13025,28
2328,48162,29
2357,24792,30
2394,4081,31
2528,47646,32
2910,61637,33
2918,11385,34
2931,35020,35
2946,22718,36
2953,54509,37
3176,4821,38
3428,65783,39
3486,46344,40
3528,50889,41
3550,33141,42
3628,70713,43
3655,17187,44
3717,6633,45
3730,17203,46
3917,41195,47
3933,7869,48
4009,18328,49
4202,73943,50
4338,23237,51
4746,13998,52
5071,67865,53
5132,376,54
5197,8971,55
5236,113844,56
5313,21336,57
5446,13613,58
5515,24272,59
5527,28247,60
5547,106832,61
5548,55195,62
5570,89037,63
5712,18322,64
5766,10560,65
6050,28988,66
6082,37134,67
6085,126766,68
6185,24877,69
6275,9569,70
6352,55987,71
6454,6883,72
6534,37041,73
6672,10546,74
6842,4579,75
6851,62732,76
6853,7398,77
6881,6930,78
6975,54186,79
6976,26244,80
7060,27835,81
7436,52477,82
7507,60473,83
8010,19194,84
8330,101672,85
8541,55737,86
8629,84472,87
8914,7986,88
8963,52606,89
9039,31266,90
9087,103059,91
9118,54329,92
9485,1744,93
9508,28334,94
9569,44164,95
9629,25258,96
9632,25589,97
10150,30516,98
10265,27424,99
10319,135156,100
10357,102328,101
10365,58768,102
10392,22552,103
10514,79416,104
10610,4735,105
10614,16975,106
10659,8982,107
10796,48722,108
11048,43795,109
11141,57838,110
11193,7688,111
11209,150320,112
11212,20907,113
11271,46334,114
11458,85866,115
11662,46130,116
11804,160139,117
11855,44373,118
11925,37200,119
11989,71426,120
12186,107178,121
12308,28330,122
12359,7168,123
12403,32281,124
12472,14654,125
12758,26938,126
12853,17148,127
12919,41671,128
13028,26477,129
13041,19694,130
13098,30951,131
13322,2844,132
13604,17087,133
13674,4346,134
13733,30913,135
13851,12845,136
13896,24916,137
13898,16607,138
13909,47822,139
14031,47470,140
14087,25805,141
14098,34294,142
14213,26418,143
14235,2190,144
14350,12446,145
14385,30824,146
14526,26188,147
14634,11305,148
14780,1678,149
14790,24575,150
14822,9305,151
14888,7396,152
15252,73580,153
15266,11510,154
15280,40667,155
15342,12663,156
15365,12577,157
15392,8511,158
15449,104996,159
15531,94289,160
15693,54779,161
15871,18380,162
16038,14515,163
16118,93129,164
16290,24845,165
16323,39149,166
16530,38309,167
16570,16646,168
16700,30834,169
16706,55404,170
16878,18819,171
16903,27832,172
16913,38370,173
16999,21740,174
17270,20267,175
17381,5710,176
17390,45520,177
17472,348,178
17509,80766,179
17530,57370,180
17564,13831,181
17848,37497,182
17952,5908,183
18009,140509,184
18105,1014,185
18199,39745,186
18506,104910,187
18677,12853,188
18694,3064,189
18809,48335,190
19019,49222,191
19027,51513,192
19118,38389,193
19121,111831,194
19180,4362,195
19238,25275,196
19420,25633,197
19769,669,198
19930,29750,199
20087,3368,200
20191,25942,201
20249,15013,202
20436,81767,203
20455,97037,204
20595,47514,205
20690,69219,206
20867,46696,207
20873,28978,208
20902,18546,209
21149,20346,210
21171,13661,211
21337,2449,212
21412,60340,213
21479,37076,214
21558,13475,215
21631,66971,216
21965,2862,217
22057,89305,218
