seen,user_index,seed_size
1,88076,1
2,230317,2
3,52566,3
4,188446,4
5,279099,5
6,288935,6
7,212677,7
8,8600,8
9,268388,9
10,40579,10
11,251134,11
12,166725,12
13,158877,13
14,69862,14
15,62325,15
16,54748,16
17,118149,17
18,248750,18
19,21298,19
20,298709,20
21,66053,21
22,143548,22
23,17218,23
24,57820,24
25,211782,25
26,290330,26
27,130747,27
28,241652,28
29,132135,29
30,131191,30
31,241820,31
32,24687,32
33,178475,33
34,69954,34
35,42867,35
36,216964,36
37,952,37
38,259903,38
39,26311,39
40,196698,40
41,140181,41
42,179520,42
43,126999,43
44,206082,44
45,128809,45
46,143473,46
47,70473,47
48,43827,48
49,289052,49
50,22789,50
