seen,user_index,seed_size
97,66089,1
117,2755,2
155,27333,3
195,56286,4
322,26581,5
434,12497,6
512,10005,7
532,4754,8
597,9259,9
614,41560,10
642,5180,11
661,71597,12
923,12965,13
958,33103,14
1050,4359,15
1080,20997,16
1165,39123,17
1236,44387,18
1251,3366,19
1270,59206,20
1340,9892,21
1475,27094,22
1480,39028,23
1492,43104,24
1589,35078,25
1597,41530,26
1679,307,27
1700,14999,28
1731,2860,29
1733,2807,30
1769,2050,31
1789,8862,32
1871,5287,33
1875,22522,34
1892,12701,35
1893,83839,36
1952,59296,37
1968,7762,38
1991,7046,39
2020,2418,40
2153,9033,41
2254,53492,42
2280,2780,43
2294,4259,44
2345,21336,45
2377,2423,46
2401,19849,47
2431,5239,48
2458,3527,49
2579,70713,50
2621,11689,51
2735,79920,52
2772,28303,53
2782,38747,54
2903,12471,55
2918,2943,56
2942,5475,57
3023,6814,58
3048,21800,59
3071,67767,60
3102,31380,61
3198,99428,62
3203,4533,63
3239,18380,64
3264,3309,65
3272,5295,66
3429,21013,67
3446,14838,68
3457,128964,69
3539,21509,70
3541,40339,71
3595,3007,72
3780,76582,73
3816,15544,74
3965,36264,75
3986,69109,76
3993,50330,77
4101,33872,78
4125,10888,79
4146,19360,80
4232,2512,81
4281,10399,82
4282,35607,83
4315,3293,84
4407,6578,85
4440,13581,86
4462,66848,87
4494,35644,88
4495,42221,89
4526,4221,90
4563,9305,91
4605,3606,92
4654,24903,93
4726,14752,94
4737,844,95
4757,20397,96
4764,19100,97
4815,98800,98
4864,28901,99
4948,12956,100
4963,15824,101
4988,5367,102
5008,30323,103
5172,46226,104
5173,7986,105
5179,24147,106
5194,6169,107
5236,13976,108
5344,4487,109
5457,15626,110
5484,27834,111
5559,3031,112
5569,7735,113
5570,10927,114
5680,45141,115
5700,8282,116
5821,47763,117
5916,19732,118
5924,1200,119
6019,4130,120
6042,37256,121
6136,19729,122
6182,20119,123
6188,31266,124
6209,3443,125
6448,14719,126
6499,8362,127
6633,2862,128
6667,13388,129
6747,50428,130
6757,37971,131
6837,4559,132
6890,13757,133
6959,4863,134
7281,2420,135
7349,914,136
7383,22674,137
7388,29839,138
7400,26174,139
7515,16228,140
7691,6880,141
7725,5529,142
7777,1906,143
7849,348,144
7857,10770,145
7871,34076,146
7884,11496,147
7943,7708,148
7961,2137,149
8005,47542,150
8045,5559,151
8058,2632,152
8071,11214,153
8105,31144,154
8145,2274,155
8184,4666,156
8208,15190,157
8249,42533,158
8276,3175,159
8342,32481,160
8433,8363,161
8579,1455,162
8581,22523,163
8626,1892,164
8784,83461,165
8841,11510,166
8988,37636,167
9026,2909,168
9040,13751,169
9089,22804,170
9165,7369,171
9234,6843,172
9416,64248,173
9480,2821,174
9511,6446,175
