seen,user_index,seed_size
9,8927,1
13,3023,2
15,104029,3
20,62123,4
29,7703,5
38,29742,6
40,26762,7
44,34808,8
47,14438,9
66,29750,10
67,11942,11
72,7552,12
73,37336,13
77,62996,14
79,19345,15
84,73943,16
91,47044,17
92,122475,18
97,66089,19
117,2755,20
119,81307,21
122,157153,22
154,42904,23
155,27333,24
163,53656,25
165,1153,26
168,52974,27
174,35726,28
195,56286,29
200,31008,30
210,73211,31
213,21194,32
244,16766,33
275,115465,34
288,22024,35
298,6096,36
311,27609,37
318,10784,38
322,26581,39
350,5678,40
353,43863,41
363,5694,42
378,58052,43
381,85524,44
384,18399,45
400,13671,46
402,4110,47
409,34902,48
434,12497,49
444,46787,50
454,10511,51
461,7975,52
472,65836,53
484,45122,54
486,38343,55
511,9027,56
512,10005,57
524,16970,58
526,60407,59
527,24846,60
532,4754,61
551,9797,62
555,25514,63
566,40744,64
568,26647,65
597,9259,66
599,12778,67
601,17486,68
614,41560,69
624,7744,70
625,22844,71
629,65188,72
642,5180,73
647,32907,74
653,4868,75
661,71597,76
665,65425,77
680,52175,78
712,7775,79
721,57319,80
750,14391,81
752,31013,82
791,13456,83
805,77739,84
830,1312,85
832,5650,86
846,3443,87
849,33915,88
860,8518,89
869,59062,90
877,59357,91
887,68226,92
908,38389,93
911,76137,94
922,30397,95
923,12965,96
930,246,97
933,17505,98
946,24727,99
958,33103,100
973,104288,101
978,45746,102
988,13027,103
997,38067,104
998,40935,105
1012,13277,106
1014,34337,107
1024,2223,108
1026,47949,109
1028,4402,110
1038,97475,111
1040,19990,112
1050,4359,113
1053,5656,114
1054,10591,115
1080,20997,116
1088,3995,117
1095,31413,118
1109,66506,119
1115,39806,120
1121,51081,121
1131,58790,122
1135,10799,123
1142,1022,124
1145,5201,125
1165,39123,126
1185,56769,127
1192,22726,128
1206,17815,129
1214,26188,130
1217,5643,131
1236,44387,132
1242,29409,133
1251,3366,134
1267,15018,135
1270,59206,136
1275,11361,137
1291,27744,138
1296,6826,139
1305,1024,140
1325,13331,141
1340,9892,142
1347,34826,143
1350,103210,144
1351,16905,145
1377,9796,146
1394,32026,147
1411,139860,148
1420,2008,149
1428,72202,150
1434,1596,151
1437,11358,152
1443,13947,153
1446,6323,154
1449,41006,155
1458,41703,156
1460,17096,157
1475,27094,158
1480,39028,159
1482,1857,160
1492,43104,161
1511,47028,162
1515,47417,163
1516,9283,164
1521,79541,165
1537,61095,166
1575,21438,167
1589,35078,168
1593,12839,169
1595,19425,170
1597,41530,171
1619,90259,172
1629,20346,173
1639,12891,174
1645,991,175
1650,78005,176
1657,28346,177
1664,19730,178
1673,52468,179
1674,41024,180
1677,94984,181
1679,307,182
1685,27478,183
1694,64754,184
1695,23123,185
1700,14999,186
1723,14891,187
1730,26163,188
1731,2860,189
1733,2807,190
1752,63214,191
1769,2050,192
1773,55952,193
1776,23189,194
1780,5736,195
1789,8862,196
1806,83579,197
1839,39011,198
1857,17757,199
1864,18244,200
1871,5287,201
1875,22522,202
1876,22064,203
1882,4078,204
1889,43147,205
1892,12701,206
1893,83839,207
1913,17203,208
1919,9514,209
1924,45715,210
1928,57498,211
1938,29721,212
1943,13042,213
1952,59296,214
1968,7762,215
1975,7074,216
1991,7046,217
2003,27191,218
2018,73373,219
2019,2756,220
2020,2418,221
2022,30932,222
2026,37159,223
2079,13276,224
2080,9780,225
2085,42897,226
2092,18969,227
2097,8878,228
2138,4003,229
2149,50395,230
2153,9033,231
2158,35965,232
2162,30743,233
2202,35803,234
2219,30640,235
2251,2678,236
2254,53492,237
2280,2780,238
2286,1744,239
2293,89974,240
2294,4259,241
2312,29526,242
2345,21336,243
2358,35219,244
2368,26674,245
2377,2423,246
2401,19849,247
2418,25588,248
2430,27234,249
2431,5239,250
2432,8274,251
2442,24628,252
2447,94979,253
2452,11055,254
2457,1616,255
2458,3527,256
2468,55708,257
2471,42457,258
2472,6662,259
2477,76589,260
2494,49376,261
2502,2339,262
