seen,user_index,seed_size
5194,6814,1
5591,13157,2
6593,5367,3
6910,3606,4
7722,6446,5
8819,10135,6
11817,9396,7
14341,6578,8
15014,18955,9
15069,5344,10
15880,28310,11
18883,13581,12
23109,28122,13
26635,2274,14
26737,2420,15
27745,45207,16
30031,15692,17
33731,35644,18
34337,8862,19
39007,7484,20
40270,11164,21
40840,8854,22
44187,89305,23
44593,32481,24
45748,15824,25
46638,18415,26
47913,2152,27
49700,28664,28
50065,2512,29
50192,5679,30
50520,5175,31
50725,4061,32
52246,66089,33
53096,16657,34
53140,1906,35
53651,55969,36
54136,1267,37
57351,5287,38
59747,4085,39
63205,50428,40
66250,24903,41
67055,2909,42
68058,2423,43
69521,504,44
71467,50233,45
71508,14999,46
72561,9774,47
75228,40598,48
76625,4407,49
80970,26331,50
84472,40339,51
87815,4812,52
89161,57230,53
89938,61255,54
90129,4744,55
92301,3293,56
93341,2038,57
94375,33872,58
101897,844,59
102161,1892,60
103344,19100,61
103945,17285,62
106610,6858,63
111145,2394,64
111432,50012,65
113271,44799,66
115470,12965,67
116306,17087,68
117748,46226,69
118916,11496,70
119956,10709,71
120128,33103,72
120994,7986,73
121485,22804,74
126942,348,75
127211,2943,76
128013,10125,77
129214,3031,78
132706,1895,79
133751,36571,80
135197,32925,81
136256,7046,82
137263,95528,83
142365,20313,84
142944,2137,85
145443,90506,86
145994,27834,87
151420,157503,88
153481,1432,89
153806,4533,90
156144,21509,91
159167,13831,92
159432,5558,93
162406,64248,94
163052,19849,95
163116,34269,96
163461,24566,97
166900,83461,98
167547,37256,99
167660,2755,100
174878,9929,101
174926,9473,102
179536,14829,103
182783,27094,104
183569,43104,105
185258,16981,106
186057,2860,107
186150,15459,108
188232,21483,109
188413,2418,110
189277,21800,111
189577,4036,112
190362,23886,113
197845,6076,114
198048,41560,115
199884,39123,116
204336,10005,117
205275,10927,118
210185,3527,119
210757,69109,120
214986,7762,121
221240,13388,122
222776,2050,123
223734,17066,124
224876,24539,125
225243,26174,126
229304,4666,127
233950,9033,128
234263,22587,129
234273,5331,130
235008,4395,131
237184,54022,132
237431,8783,133
252450,6854,134
252600,44387,135
252633,44643,136
253623,13879,137
257202,24868,138
262352,19719,139
264439,14752,140
266911,9259,141
267420,5559,142
271787,22552,143
273500,50330,144
274124,2889,145
274441,41530,146
276107,12699,147
277801,26938,148
280245,3309,149
283046,56286,150
283633,38370,151
285981,22872,152
286633,22594,153
289110,53492,154
289562,15686,155
291115,38671,156
293176,33882,157
294731,8282,158
294849,19360,159
296358,15577,160
297793,9372,161
299937,11331,162
301521,4359,163
302351,3007,164
302749,12323,165
303873,22348,166
306998,18380,167
310288,5475,168
310354,4952,169
312126,36417,170
314418,83839,171
315351,10498,172
316031,6843,173
