seen,user_index,seed_size
23,17218,1
141,27300,2
231,24331,3
252,61018,4
326,40667,5
341,11963,6
461,13671,7
530,13315,8
554,3583,9
594,40744,10
711,28299,11
772,14648,12
942,5137,13
1024,56875,14
1100,22842,15
1151,51018,16
1261,18400,17
1557,12446,18
1602,16586,19
1732,51691,20
1786,23076,21
1941,34294,22
2139,23126,23
2184,27844,24
2223,43080,25
2378,51256,26
2486,124482,27
2488,38784,28
2504,40636,29
2626,17534,30
2642,40493,31
2687,45497,32
2854,11273,33
2861,55905,34
2871,25483,35
3093,18485,36
3171,25942,37
3452,50101,38
3461,5577,39
3570,58790,40
3597,26671,41
3661,10008,42
3763,1604,43
3829,79547,44
3894,26339,45
3987,37013,46
4221,35539,47
4285,40828,48
4359,39542,49
4434,103059,50
4642,36301,51
4762,86858,52
4774,6524,53
4880,108680,54
4929,56303,55
4950,72235,56
5016,75399,57
5028,39812,58
5146,33572,59
5194,6814,60
5387,57056,61
5434,12900,62
5455,38850,63
5458,2231,64
5486,28017,65
5565,54920,66
5591,13157,67
5680,14144,68
6093,4692,69
6149,45570,70
6593,5367,71
6631,84826,72
6658,25405,73
6772,59062,74
6882,75031,75
6910,3606,76
6931,6349,77
6954,26569,78
6990,12811,79
7200,79920,80
7550,54024,81
7638,24877,82
7722,6446,83
7909,24091,84
7940,19689,85
8152,10900,86
8248,70711,87
8390,62123,88
8746,12118,89
8806,74876,90
8819,10135,91
8845,26352,92
8965,8751,93
9244,26059,94
9270,37361,95
9328,72927,96
9478,15309,97
9582,32528,98
9609,73493,99
9672,41969,100
9707,19850,101
9794,17597,102
9801,17645,103
10000,9206,104
10092,51986,105
10129,84176,106
10131,13695,107
10269,33872,108
10353,12891,109
10425,13544,110
10469,53361,111
10522,192485,112
10696,29195,113
10771,43814,114
11125,13661,115
11141,1491,116
11249,70743,117
11476,34623,118
11504,40126,119
11569,54329,120
11623,79771,121
11735,16679,122
11817,9396,123
11828,79414,124
11861,55453,125
11952,32005,126
11999,2393,127
12170,30921,128
12517,19303,129
12591,32353,130
12917,6421,131
13101,71635,132
13215,36622,133
13251,99879,134
13293,122475,135
13317,53853,136
13338,16646,137
13387,48958,138
13571,67833,139
13650,34792,140
13785,5175,141
