dataset,nodes,edges,reach,theta_ap,ap_algo,ap_depth,streamModel,streamVersion,streamRuntime,streamProgress,maxAPTime,seedSizeLimit,seedSize,seedScore,seedScoreRuntime,liveRuntime
nethept,15229,62752,5,0.8,APShort,0,rand_no_repeat,1,0.012026,1899,1e-06,32536,100,952.047,9.16723,9.18571
nethept,15229,62752,5,0.8,APShort,0,rand_no_repeat,1,0.050901,12358,1.7e-05,32738,1000,5261.83,178.956,179.015
nethept,15229,62752,5,0.8,APShort,0,rand_repeat,1,0.039082,6142,1e-06,0,300,2367.43,35.4282,35.4786
nethept,15229,62752,5,0.8,APShort,0,rand_no_repeat,1,0.032171,5062,2e-06,32743,300,1371.38,21.5274,21.567
twitter,41652230,1468365182,5,0.8,APShort,0,rand_repeat,1,0.010705,1762,0.000674,0,100,522.61,93.4373,111.377
nethept,15229,62752,5,0.8,APShort,0,rand_repeat,1,0.057505,15229,3e-06,32694,771,3096.11,101.948,102.012
test,20,38,20,0.8,APShort,2,rand_repeat,1,0.000262,20,4e-06,20,5,11.1334,0.071341,0.071959
nethept,15229,62752,20,0.8,APShort,2,rand_no_repeat,1,0.000281,32,1e-06,10,10,68.0701,0.821126,0.841216
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.107636,15229,1.1e-05,200,146,1689.7,52.1358,52.2762
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.459766,15229,5e-06,200,146,1690.26,52.2669,52.7388
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.11526,15229,5e-06,200,146,1690.18,52.2553,52.3982
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.124734,15229,6e-06,200,146,1691,52.2399,52.3824
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.083898,15229,6e-06,200,146,1690.61,52.0181,52.1173
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.096935,15229,6e-06,200,146,1688.88,51.9298,52.0539
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.077611,15229,5e-06,200,146,1690.12,51.9215,52.0147
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.070271,15229,5e-06,200,146,1692.66,52.2366,52.3213
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.122929,15229,5e-06,200,146,-1,-1,0.148965
twitter,41652230,1468365181,1,0.8,APShort,2,rand_repeat,1,0.131022,19821,0.000923,200,200,-1,-1,21.6678
twitter,41652230,1468365181,1,0.8,APShort,2,rand_repeat,1,3.1e-05,1,0,200,200,-1,-1,21.1322
twitter,41652230,1468365181,1,0.8,APShort,2,rand_repeat,1,0.107841,19821,0.000715,200,200,-1,-1,21.4765
twitter,41652230,1468365181,1,0.8,APShort,2,rand_repeat,1,0.134957,20825,0.024374,200,200,-1,-1,28.15
twitter,41652230,1468365181,5,0.8,APShort,2,rand_repeat,1,1.5e-05,1,0,200,200,-1,-1,27.5316
twitter,41652230,1468365181,1,0.8,APShort,2,rand_repeat,1,0.142493,20825,0.022382,200,200,-1,-1,28.395
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.071422,15229,4e-06,200,147,-1,-1,0.092332
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.001717,15229,1e-06,200,147,-1,-1,0.01359
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.003129,15229,0,200,147,-1,-1,0.022947
nethept,15229,62752,1,0.8,APShort,2,rand_repeat,1,0.003462,15229,2.1e-05,200,147,-1,-1,0.015634
nethept,15229,62752,0.5,0.8,APShort,2,rand_repeat,1,0.001643,15229,2e-06,200,85,-1,-1,0.013758
nethept,15229,62752,5,0.8,APShort,2,rand_repeat,1,0.000883,3119,1e-06,200,200,-1,-1,0.012854
twitter,41652230,1468365181,0.2,0.8,APShort,2,rand_repeat,1,0.591356,992372,0.026699,2000,2000,-1,-1,28.7935
twitter,41652230,1468365181,0.1,0.8,APShort,2,rand_repeat,1,0.554144,1000000,0.027113,2000,994,-1,-1,28.7474
