seen, seed_size, seed_score
15529, 100, 29416.2
34607, 200, 51424
48307, 300, 75430.7
64404, 400, 96174.9
82028, 500, 110992
101097, 600, 128737
118476, 700, 144642
134210, 800, 159315
147045, 900, 173786
164221, 1000, 187133
183758, 1100, 199477
201209, 1200, 210708
218009, 1300, 223137
233858, 1400, 233119
251803, 1500, 243854
270239, 1600, 255811
289237, 1700, 266087
308656, 1800, 276121
327490, 1900, 285534
345442, 2000, 296344
361372, 2100, 306311
378737, 2200, 315785
397547, 2300, 324566
399796, 2308, 325307
