seen,user_index,seed_size
17952,1489367,1
21633,4320,2
24714,344027,3
103264,50489,4
116090,13294,5
127807,81,6
137060,55060,7
146182,9777,8
154392,2636278,9
187717,38465,10
188352,1124609,11
194372,1071903,12
326791,45458,13
357065,2883,14
376666,8450,15
392817,248852,16
409997,21591,17
412371,9558,18
415457,81188,19
419122,817231,20
441082,6728,21
466616,114646,22
477948,9787,23
484553,2181580,24
527520,293399,25
542520,107518,26
554316,39407,27
579920,23205,28
586767,1858695,29
595990,3389,30
622604,327058,31
629483,6693,32
654014,107548,33
657295,55514,34
663767,9851,35
692641,77455,36
728763,2890,37
760238,382932,38
778428,1320079,39
778771,9765,40
800615,52984,41
806406,231066,42
842656,269411,43
908840,18154,44
932793,4128,45
970683,1737672,46
970889,1215,47
