seen,user_index,seed_size
4526,558545,1
17952,1489367,2
21633,4320,3
24714,344027,4
26245,42497,5
97515,43300,6
103264,50489,7
116090,13294,8
124026,334926,9
127807,81,10
137060,55060,11
146182,9777,12
154392,2636278,13
187717,38465,14
188352,1124609,15
194372,1071903,16
223568,407715,17
244081,2892,18
270227,664951,19
272110,182984,20
314674,257791,21
326791,45458,22
357065,2883,23
376666,8450,24
382892,12839,25
392817,248852,26
409997,21591,27
412371,9558,28
415457,81188,29
419122,817231,30
435221,54480,31
441082,6728,32
466616,114646,33
477948,9787,34
484553,2181580,35
527520,293399,36
535844,1967,37
542520,107518,38
544467,174095,39
545468,347788,40
554316,39407,41
576647,312786,42
579920,23205,43
586767,1858695,44
595990,3389,45
596930,321464,46
604802,1072689,47
611216,29092,48
622604,327058,49
629483,6693,50
635146,504915,51
654014,107548,52
657295,55514,53
663767,9851,54
681525,261281,55
692641,77455,56
728763,2890,57
742570,12602,58
760238,382932,59
778428,1320079,60
778771,9765,61
800615,52984,62
802312,6744,63
806406,231066,64
810178,200162,65
835876,423255,66
842656,269411,67
848254,33703,68
880623,12368,69
887539,278041,70
908840,18154,71
932793,4128,72
970683,1737672,73
970889,1215,74
