seen,user_index,seed_size
156,1215,1
176,1489367,2
181,33625,3
485,42463,4
712,50516,5
760,94996,6
827,43052,7
998,293399,8
1116,52171,9
1129,10428,10
1133,52977,11
1153,13664,12
1621,8450,13
1811,293397,14
1911,9765,15
2033,6396,16
2396,50489,17
2641,6395,18
2676,9805,19
2762,6431,20
3012,18607,21
3165,52022,22
3238,18632,23
3888,23205,24
4057,4435,25
4133,52154,26
4414,1987747,27
4732,27987,28
4807,2790787,29
4862,9766,30
5121,53767,31
5800,245569,32
6443,196888,33
6648,253467,34
6791,43303,35
7368,2806,36
7633,21471,37
7698,1554508,38
8591,63840,39
8641,52984,40
8724,9777,41
8831,77918,42
9438,9818,43
9459,447075,44
9775,18154,45
9934,53252,46
10015,58926,47
10102,170465,48
10110,54974,49
10119,1071903,50
10380,146797,51
10424,9783,52
10438,54465,53
11159,107523,54
11225,211041,55
11455,7486,56
12815,57045,57
12941,39407,58
13405,155706,59
13439,213088,60
14116,56256,61
14245,81,62
15239,17790,63
15426,6398,64
15537,55060,65
15630,9772,66
15721,19682,67
15734,55776,68
15869,211039,69
16743,38903,70
17280,6697,71
18008,21591,72
19096,5442,73
19410,248852,74
19947,864242,75
20387,2636278,76
21656,817231,77
22123,9767,78
22533,16408,79
22806,10330,80
23455,488188,81
24049,15510,82
24731,6693,83
25073,5636,84
25194,3884177,85
26141,77451,86
26828,53777,87
26955,6698,88
27021,20131,89
28570,53947,90
28938,9794,91
29128,52669,92
29832,52062,93
29947,170786,94
30685,1737672,95
31117,207610,96
31530,9261,97
31553,48478,98
31866,6,99
32172,9787,100
32269,78458,101
32439,12370,102
32568,38254,103
32903,8871,104
33185,520370,105
33358,4320,106
34089,2890225,107
34183,55514,108
36784,1320079,109
36956,865509,110
37195,4128,111
37728,344027,112
38143,1754834,113
39459,52153,114
39948,7832,115
41665,327058,116
41933,6691,117
42252,1335215,118
42462,9851,119
44534,2883,120
44542,269411,121
44636,208336,122
44642,11509,123
45620,212920,124
47658,155429,125
48046,9779,126
48479,53251,127
49346,25995,128
49384,15527,129
51244,1338357,130
51879,3063,131
52046,77563,132
53192,15524,133
54099,8355,134
55533,2181580,135
58223,17801,136
58702,4492,137
59120,3389,138
59249,1858695,139
59393,6672,140
59866,487724,141
62416,77454,142
62584,33572,143
63017,6728,144
63116,45458,145
63367,114646,146
63379,2896,147
65608,1124609,148
65956,17603,149
67620,470862,150
70007,107518,151
72252,1656377,152
73027,6732,153
73095,53198,154
74018,182367,155
81625,16764,156
82203,77455,157
82591,38796,158
83579,34610,159
83848,8049,160
85307,16033,161
85901,75598,162
85911,13296,163
89091,187509,164
89432,81188,165
89486,675,166
99404,20934,167
99730,2890,168
102268,180635,169
102850,3942875,170
106551,160135,171
112342,10646,172
112712,13293,173
115863,107548,174
116334,11708,175
126712,16759,176
128897,244640,177
129509,27227,178
130094,21710,179
132843,231066,180
138715,13294,181
148073,27398,182
150193,1263,183
153359,3878621,184
159196,6147,185
164049,3301462,186
181910,4129,187
183574,324541,188
194734,382932,189
195948,305029,190
201651,78132,191
202795,23132,192
216358,322008,193
220040,1127513,194
233161,38465,195
254874,78444,196
262238,76327,197
263106,82751,198
290302,9558,199
338169,177607,200
