seen,user_index,seed_size
17952,1489367,1
116090,13294,2
146182,9777,3
187717,38465,4
188352,1124609,5
194372,1071903,6
326791,45458,7
357065,2883,8
392817,248852,9
409997,21591,10
412371,9558,11
415457,81188,12
419122,817231,13
441082,6728,14
477948,9787,15
484553,2181580,16
554316,39407,17
579920,23205,18
595990,3389,19
629483,6693,20
654014,107548,21
657295,55514,22
663767,9851,23
692641,77455,24
760238,382932,25
778428,1320079,26
778771,9765,27
800615,52984,28
842656,269411,29
908840,18154,30
932793,4128,31
970683,1737672,32
