dataset,streamModel,streamVersion,streamSize,reach,theta_ap,depth,maxSeedSize,actualSeedSize,maxUpdateTime,runtime
livejournal,uniform_rand_repeat,1,1000000,1,0.8,2,800,800,3.6e-05,3.10667
livejournal,uniform_rand_repeat,1,1000000,0.5,0.8,2,800,800,4.4e-05,3.12456
livejournal,uniform_rand_repeat,1,1000000,0.25,0.8,2,800,800,4e-05,3.15848
livejournal,uniform_rand_repeat,1,1000000,0.1,0.8,2,800,800,6.6e-05,3.26959
livejournal,uniform_rand_repeat,1,1000000,0.05,0.8,2,800,516,0.000179,3.30422
livejournal,uniform_rand_repeat,1,1000000,0.025,0.8,2,800,258,0.000181,3.29601
livejournal,uniform_rand_repeat,1,1000000,0.01,0.8,2,800,113,0.00015,3.27778
livejournal,uniform_rand_repeat,1,1000000,0.008,0.8,2,800,92,0.000184,3.29236
livejournal,inNOut_repeat,1,339796,1,0.8,2,800,0,0,0.016962
livejournal,inNOut_repeat,1,399796,1,0.8,2,800,800,0.000277,0.032883
livejournal,inNOut_repeat,1,399796,0.5,0.8,2,800,800,0.000273,0.033853
livejournal,inNOut_repeat,1,399796,0.25,0.8,2,800,800,0.000268,0.03801
livejournal,inNOut_repeat,1,399796,0.1,0.8,2,800,800,0.00026,0.043515
livejournal,inNOut_repeat,1,399796,0.05,0.8,2,800,800,0.000269,0.050178
livejournal,inNOut_repeat,1,399796,0.025,0.8,2,800,800,0.000277,0.062228
livejournal,inNOut_repeat,1,399796,0.01,0.8,2,800,800,0.000269,0.089697
livejournal,inNOut_repeat,1,399796,0.005,0.8,2,800,800,0.000234,0.125283
livejournal,inNOut_repeat,1,399796,0.0025,0.8,2,800,526,0.000241,0.127449
livejournal,inNOut_repeat,1,399796,0.001,0.8,2,800,278,0.000267,0.121273
livejournal,inNOut_repeat,1,399796,0.0005,0.8,2,800,172,0.000285,0.118054
livejournal,inNOut_repeat,1,399796,0.00025,0.8,2,800,111,0.000279,0.114281
livejournal,inNOut_repeat,1,399796,1,0.8,2,10000,10000,1e-06,5.01498
livejournal,inNOut_repeat,1,399796,1,0.8,2,20000,20000,1.2e-05,5.07942
livejournal,urr,1,399796,2,0.5,2,10000,7533,7e-05,5.66712
livejournal,inoutr,1,399796,2,0.5,2,10000,10000,0.000131,5.02731
livejournal,log,1,399796,2,0.5,2,10000,10000,0.000102,5.97813
livejournal,urr,1,399796,1,0.5,2,10000,3789,7e-05,6.42489
livejournal,inoutr,1,399796,1,0.5,2,10000,10000,0.000131,1.70116
livejournal,log,1,399796,1,0.5,2,10000,8442,8.9e-05,6.43937
livejournal,urr,1,399796,0.5,0.5,2,10000,1973,7.4e-05,6.55047
livejournal,inoutr,1,399796,0.5,0.5,2,10000,10000,0.000131,2.97963
livejournal,log,1,399796,0.5,0.5,2,10000,4448,0.000174,6.6374
livejournal,urr,1,399796,1,0.5,2,10000,3789,0.164511,88628.6
livejournal,log,1,399796,1,0.5,2,10000,8442,0.171329,365104
livejournal,urr,1,399796,2,0.5,2,10000,7533,0.011888,214513
livejournal,log,1,399796,2,0.5,2,10000,10000,0.169281,355951
