seen, seed_size, seed_score
2106, 100, 15879.1
4033, 200, 28678.2
6709, 300, 40546.8
9002, 400, 51848.6
11116, 500, 61661.3
13802, 600, 71032
16153, 700, 80189.1
17964, 800, 89112.2
20136, 900, 96848
22213, 1000, 104972
24289, 1100, 113468
26384, 1200, 120736
28542, 1300, 127695
30627, 1400, 134598
32765, 1500, 141413
35073, 1600, 147843
37666, 1700, 155083
40093, 1800, 161416
42065, 1900, 174449
44641, 2000, 180597
46838, 2100, 186893
49261, 2200, 193218
51621, 2300, 199337
53721, 2400, 204311
56531, 2500, 209938
58932, 2600, 217617
61151, 2700, 222414
63869, 2800, 228471
66230, 2900, 234106
68629, 3000, 239337
70982, 3100, 244273
73442, 3200, 248872
75847, 3300, 254111
78000, 3400, 258997
80103, 3500, 263318
82269, 3600, 268078
84877, 3700, 272730
87625, 3800, 277279
90040, 3900, 282195
92447, 4000, 286573
94871, 4100, 292874
97337, 4200, 296596
99591, 4300, 301412
101924, 4400, 306115
104432, 4500, 310424
107027, 4600, 314895
109209, 4700, 319132
111527, 4800, 324265
114001, 4900, 328214
116462, 5000, 332135
118757, 5100, 336043
121568, 5200, 340287
123839, 5300, 344237
126366, 5400, 348236
128935, 5500, 352721
130734, 5600, 356556
133250, 5700, 360295
135704, 5800, 364313
138266, 5900, 368450
140486, 6000, 372759
142880, 6100, 376442
144812, 6200, 380321
147112, 6300, 384642
149330, 6400, 388569
151758, 6500, 392307
154498, 6600, 395757
157463, 6700, 399423
159937, 6800, 402993
162228, 6900, 406891
164723, 7000, 410089
167079, 7100, 413344
169819, 7200, 416941
172202, 7300, 420617
174334, 7400, 424049
176783, 7500, 427072
179401, 7600, 430429
182171, 7700, 433492
184270, 7800, 436520
186440, 7900, 439706
188859, 8000, 442704
191326, 8100, 446306
194084, 8200, 449201
196271, 8300, 452100
198766, 8400, 455040
201034, 8500, 458071
203703, 8600, 461965
206202, 8700, 465101
208405, 8800, 468338
211304, 8900, 471661
213915, 9000, 474302
216557, 9100, 477161
219106, 9200, 480052
221697, 9300, 483168
224015, 9400, 486145
226209, 9500, 488910
228587, 9600, 491749
231369, 9700, 494729
233915, 9800, 497822
236421, 9900, 500837
238676, 10000, 503495
238676, 10000, 503548
