seen,user_index,seed_size
136,34305,1
533,59344,2
677,54275,3
1327,316653,4
2984,217520,5
3015,550304,6
3116,333727,7
3350,114973,8
3617,218692,9
3681,564090,10
4526,558545,11
4799,40069,12
5389,30326,13
5536,595442,14
5834,311103,15
6276,486045,16
6882,304877,17
7511,214565,18
7981,103530,19
8497,268360,20
8718,65394,21
8859,34292,22
9630,344004,23
9644,55597,24
11087,119,25
11107,38235,26
11177,52159,27
11262,77343,28
11345,52043,29
11895,585583,30
12435,287777,31
13516,199289,32
13602,20128,33
13874,212856,34
14218,53289,35
14380,520565,36
14621,293830,37
14789,33610,38
15063,41638,39
15080,8127,40
15224,351176,41
17780,191814,42
17876,55667,43
17952,1489367,44
18051,269428,45
18141,2560,46
18170,53211,47
18488,55599,48
18711,57460,49
18750,38068,50
18964,200360,51
19049,210427,52
19226,51975,53
19240,58646,54
19347,23133,55
19366,99470,56
20189,46774,57
20420,39233,58
20796,35880,59
21107,209183,60
21633,4320,61
22252,215257,62
22370,26663,63
22613,348252,64
22705,88638,65
23001,305113,66
23569,380866,67
24506,1112076,68
24576,22602,69
24714,344027,70
25455,213800,71
25741,184896,72
26043,76338,73
26245,42497,74
26506,949850,75
26967,320246,76
27619,463655,77
27631,296201,78
27632,57218,79
28544,47615,80
29362,20841,81
30232,59513,82
30605,329397,83
31459,229440,84
32143,288866,85
32454,416626,86
33811,34556,87
34208,19877,88
35000,275130,89
35257,440729,90
35296,478552,91
35647,35864,92
36200,42333,93
38128,292437,94
38381,49065,95
38666,52207,96
38762,226439,97
39746,49672,98
39966,22530,99
41258,180763,100
41967,218646,101
42389,57497,102
42586,200342,103
42824,276258,104
43177,383332,105
43240,217890,106
43611,38041,107
43692,7485,108
43730,63489,109
43811,249080,110
44410,470461,111
44419,207667,112
45607,27431,113
45614,6707,114
46455,304355,115
47060,52790,116
47170,592971,117
47752,213396,118
49225,591094,119
49284,266936,120
49460,123337,121
49612,33594,122
51378,15635,123
52000,64604,124
52504,338157,125
52600,338609,126
53966,217130,127
54043,268082,128
54216,95368,129
54695,157614,130
56086,294234,131
56408,210792,132
56704,58370,133
56914,590248,134
56920,14393,135
57255,429244,136
57910,56481,137
58396,108163,138
58454,82812,139
58456,54997,140
58642,56696,141
58689,77471,142
58748,3894384,143
58855,278048,144
59895,260838,145
60006,406605,146
60294,213749,147
60500,12371,148
60834,41618,149
61415,79768,150
61445,109377,151
61483,56641,152
61500,54535,153
61647,34557,154
61655,74241,155
61763,39026,156
62345,66906,157
62672,2223,158
62756,716780,159
63048,196439,160
63138,215224,161
64613,30375,162
64635,73181,163
64972,107590,164
64994,83226,165
66557,63255,166
66604,203664,167
66629,70733,168
66635,289317,169
67133,54672,170
67853,319819,171
68072,38461,172
68151,64848,173
68391,370512,174
68672,577105,175
69612,458508,176
69634,823544,177
69642,42167,178
70154,19725,179
70260,317642,180
70768,1560925,181
70950,563424,182
71005,273333,183
71110,59881,184
71407,10556,185
72255,2315093,186
72301,6718,187
72677,202526,188
73417,77014,189
73783,65051,190
74051,26080,191
74097,51663,192
74331,301832,193
74382,63033,194
74781,427246,195
74789,56255,196
74903,107356,197
76534,432318,198
76962,75630,199
77071,55443,200
77690,56301,201
77724,2443,202
78566,68607,203
78696,268027,204
80085,19710,205
80290,272729,206
80303,201956,207
80358,47428,208
81551,60687,209
81889,310793,210
81915,423343,211
82556,213399,212
82774,822094,213
82783,287877,214
83516,309095,215
83565,132619,216
85724,53293,217
85883,390668,218
85979,9573,219
86236,3414,220
86296,302599,221
87798,115014,222
87953,260925,223
88160,19556,224
88281,21738,225
88387,270031,226
88438,210456,227
88717,36940,228
89530,42489,229
89654,58613,230
89999,276588,231
90005,5601,232
90262,33993,233
91582,22100,234
91593,291169,235
91692,204956,236
92480,50534,237
92564,445273,238
92717,382200,239
92761,77603,240
93540,95888,241
93710,72472,242
94109,200613,243
94779,384148,244
95157,103062,245
96024,216419,246
96429,296075,247
96991,1646557,248
97515,43300,249
97731,3300,250
97784,301263,251
98931,531042,252
99829,306289,253
99905,20124,254
99910,336389,255
100265,123712,256
101475,57970,257
102211,42529,258
102378,733762,259
102499,39061,260
102818,6750,261
103240,200535,262
103264,50489,263
103365,52336,264
103851,249055,265
104142,53389,266
104298,290053,267
104304,75145,268
104774,57478,269
104883,68295,270
104972,147,271
105670,38651,272
105788,588998,273
106052,10705,274
106722,575403,275
106875,212758,276
106975,20137,277
107428,390931,278
107554,2292,279
107986,210742,280
108354,62196,281
108810,68250,282
108873,276079,283
109139,521183,284
109961,53242,285
110362,58770,286
110842,218029,287
111039,23239,288
111436,56176,289
111464,52305,290
111530,268850,291
111714,577010,292
112194,364995,293
112247,361033,294
112399,30320,295
112899,291163,296
113566,203402,297
114430,400800,298
115849,39800,299
115899,40391,300
116090,13294,301
116524,609875,302
116792,647156,303
117540,692988,304
117882,386260,305
118227,207360,306
118234,208893,307
118587,52351,308
118596,63662,309
118925,383811,310
119738,85511,311
121021,673946,312
121452,480502,313
121547,462417,314
121676,562148,315
121935,54641,316
122407,54322,317
122508,242060,318
123469,68463,319
124026,334926,320
125040,23124,321
125339,63075,322
126428,26460,323
126449,274621,324
126617,56762,325
127089,69205,326
127545,59054,327
127587,43740,328
127807,81,329
128350,416608,330
128400,76687,331
128847,138088,332
129788,532856,333
130648,76313,334
130774,113554,335
130875,209558,336
131834,346183,337
131895,2143700,338
132204,86343,339
132326,6417,340
132386,352056,341
132554,1292,342
132675,344439,343
133650,396178,344
134946,501290,345
134995,86865,346
135157,590290,347
135419,438356,348
135840,555388,349
136210,422212,350
136317,30900,351
136815,111652,352
136933,276383,353
137060,55060,354
137117,552781,355
137721,276234,356
138642,28991,357
138857,428548,358
139099,284316,359
139349,63068,360
139877,663215,361
139903,53750,362
140478,85681,363
141048,204091,364
141109,49723,365
141525,383293,366
141997,13234,367
142288,364525,368
142424,79787,369
143056,282103,370
143502,55737,371
143819,285792,372
143880,42462,373
144492,629750,374
144656,270901,375
144695,202601,376
145789,207418,377
146088,61197,378
146182,9777,379
146635,77593,380
147691,519841,381
150051,650443,382
150491,77083,383
150778,1111433,384
150830,318930,385
151163,372893,386
151340,44704,387
151669,405268,388
151958,585124,389
152002,77216,390
152053,56640,391
152696,449328,392
152882,321975,393
152917,114989,394
153248,784245,395
153991,58756,396
154392,2636278,397
154619,515377,398
154973,594145,399
155008,322135,400
155603,52067,401
155779,46165,402
155839,27867,403
155964,217889,404
156099,66809,405
156705,74338,406
158826,54532,407
159231,842865,408
159667,34625,409
160031,85821,410
160338,525362,411
161132,5414,412
161224,68611,413
162111,15805,414
162430,86083,415
162887,20307,416
163055,221614,417
164037,393791,418
164203,90038,419
165222,57877,420
165512,6727,421
165648,135128,422
165846,27889,423
165870,83213,424
166446,273423,425
166546,52980,426
166586,198627,427
167171,7358,428
167543,69519,429
167562,62633,430
167870,345117,431
168516,364765,432
168636,91019,433
168845,63576,434
169029,302349,435
169086,365030,436
169184,59748,437
169449,58774,438
169551,429372,439
169748,289351,440
170020,6143,441
170078,61977,442
170204,64550,443
170296,178902,444
170850,113591,445
171628,384468,446
171729,54707,447
172011,205358,448
172052,592,449
172100,299487,450
172707,58775,451
172760,216464,452
173996,107653,453
174777,238403,454
174905,52326,455
175720,391759,456
175913,53800,457
176591,289341,458
176707,52407,459
176949,50574,460
177301,393627,461
177799,6410,462
178329,351362,463
179791,53278,464
180153,51034,465
180429,495008,466
180862,40503,467
180869,288573,468
181047,43101,469
181819,513098,470
182412,58282,471
182726,843393,472
183282,58006,473
183371,33622,474
183544,7632,475
183545,21367,476
183601,38307,477
184037,50947,478
184702,216788,479
184901,393653,480
185706,203581,481
185910,416652,482
186331,521311,483
186445,54439,484
186608,60623,485
187356,22841,486
187441,212861,487
187576,60754,488
187717,38465,489
188159,407363,490
188197,10838,491
188352,1124609,492
188817,497482,493
188915,569503,494
189977,22193,495
190006,47304,496
190165,550332,497
190861,2111858,498
190864,1956,499
191098,307809,500
191691,270118,501
192055,488712,502
192056,289302,503
193025,59624,504
194289,60071,505
194372,1071903,506
194378,175197,507
194496,65514,508
194506,201860,509
194781,78065,510
195302,1276749,511
195576,278321,512
197602,1580,513
197770,971560,514
197961,147536,515
198460,6769,516
198546,85156,517
198611,474177,518
198933,64053,519
199846,39750,520
200009,48194,521
200047,532654,522
200539,378717,523
200725,209508,524
200753,1891,525
200857,472763,526
202024,114913,527
202890,294588,528
203346,298101,529
203766,10548,530
204459,26435,531
204465,270907,532
204636,941764,533
204787,548598,534
205164,201876,535
205258,143970,536
205407,38811,537
205479,7590,538
205827,3983221,539
205947,920179,540
206216,73925,541
206536,107570,542
206848,33721,543
206945,727971,544
207587,70387,545
207697,241974,546
208190,381457,547
208913,443022,548
208969,208552,549
209331,133090,550
209480,551206,551
209494,210642,552
209657,39236,553
209934,293112,554
210499,74116,555
210922,437986,556
211260,18852,557
