seen,user_index,seed_size
17,36184,1
31,244941,2
46,58065,3
61,60631,4
64,55237,5
66,119338,6
75,59219,7
88,53824,8
103,6730,9
109,58564,10
133,59644,11
143,379311,12
150,338157,13
156,1215,14
176,1489367,15
181,33625,16
183,43507,17
185,214179,18
195,79881,19
213,98108,20
215,289781,21
234,43304,22
249,65192,23
254,267113,24
260,6991,25
267,24170,26
298,642366,27
317,239738,28
318,54480,29
321,54616,30
331,9641,31
340,393812,32
354,360863,33
371,52158,34
374,69311,35
376,76639,36
400,90571,37
402,71309,38
404,58044,39
437,13301,40
447,47456,41
453,217951,42
468,393772,43
477,53359,44
485,42463,45
519,447592,46
522,97956,47
524,247249,48
557,54503,49
579,7583,50
585,333287,51
590,22530,52
643,416625,53
645,393780,54
658,316701,55
666,950221,56
672,120385,57
703,61636,58
710,94334,59
712,50516,60
739,71288,61
760,94996,62
766,471631,63
780,13234,64
801,53349,65
811,54199,66
827,43052,67
833,589373,68
856,20786,69
879,88775,70
891,18041,71
922,31185,72
924,90896,73
925,4550,74
941,34430,75
948,200544,76
959,303369,77
965,49423,78
979,417489,79
998,293399,80
1000,273889,81
1005,248851,82
1009,60687,83
1035,788308,84
1038,63033,85
1039,4371,86
1040,53278,87
1054,67951,88
1059,216505,89
1064,381469,90
1067,212075,91
1079,195881,92
1086,75145,93
1106,205074,94
1112,208299,95
1116,52171,96
1128,90085,97
1129,10428,98
1133,52977,99
1153,13664,100
1157,45815,101
1166,78038,102
1172,653071,103
1176,66054,104
1194,117831,105
1196,55263,106
1207,121751,107
1225,53792,108
1229,60587,109
1239,27372,110
1243,442474,111
1249,75320,112
1256,392736,113
1267,23313,114
1277,561778,115
1279,34414,116
1286,86918,117
1297,52180,118
1303,54625,119
1323,614672,120
1330,298911,121
1332,154814,122
1349,51535,123
1353,397271,124
1368,291891,125
1384,55230,126
1394,75733,127
1399,60593,128
1423,38042,129
1469,7485,130
1470,62196,131
1472,12381,132
1481,70370,133
1490,21794,134
1502,472499,135
1526,348372,136
1537,6408,137
1544,85971,138
1556,244198,139
1569,509754,140
1572,351362,141
1573,488148,142
1577,485053,143
1580,115,144
1585,81391,145
1601,209390,146
1608,58357,147
1621,8450,148
1624,57165,149
1631,280245,150
1636,53229,151
1648,266962,152
1654,53238,153
1656,71836,154
1662,395469,155
1677,52220,156
1681,70719,157
1685,52206,158
1693,100854,159
1714,59224,160
1722,85428,161
1726,12368,162
1742,550319,163
1749,293792,164
1753,1028,165
1764,344089,166
1777,480780,167
1799,22633,168
1811,293397,169
1816,417914,170
1827,332359,171
1829,301832,172
1849,339109,173
1850,246836,174
1852,87878,175
1868,353139,176
1869,59398,177
1885,91185,178
1890,161569,179
1892,391206,180
1895,58877,181
1908,549709,182
1911,9765,183
1916,514828,184
1931,243234,185
1936,183309,186
1944,55597,187
1950,19875,188
1968,571361,189
1973,27413,190
1978,38982,191
1984,53294,192
1990,56014,193
1993,207385,194
1997,287129,195
2033,6396,196
2042,54605,197
2071,70172,198
2105,289354,199
2108,607291,200
2119,71284,201
2126,70939,202
2130,53688,203
2134,682146,204
2167,34413,205
2176,39082,206
2183,284601,207
2186,207,208
2192,63507,209
2213,269648,210
2216,62516,211
2224,270711,212
2226,172007,213
2228,70544,214
2229,416644,215
2249,53527,216
2253,339829,217
2255,353979,218
2267,643249,219
2289,309891,220
2310,212486,221
2321,86999,222
2325,353141,223
2328,53769,224
2342,51424,225
2349,477570,226
2351,9586,227
2358,19689,228
2396,50489,229
2430,365535,230
2436,342349,231
2451,29783,232
2453,62939,233
2475,664951,234
2480,287760,235
2481,54184,236
2483,56031,237
2495,288764,238
2496,432538,239
2538,305577,240
2539,42666,241
2551,38075,242
2573,34296,243
2574,650451,244
2575,52989,245
2582,229911,246
2602,54190,247
2603,77466,248
2605,561226,249
2606,289121,250
2608,466610,251
2609,7507,252
2616,112316,253
2623,591955,254
2641,6395,255
2648,425322,256
2650,541555,257
2651,289320,258
2652,363566,259
2656,6817,260
2658,39354,261
2669,156758,262
2676,9805,263
2686,42183,264
2697,53245,265
2700,348263,266
2711,268360,267
2713,21027,268
2716,1045696,269
2728,562203,270
2736,155590,271
2742,75412,272
2762,6431,273
2767,54007,274
2770,21962,275
2786,413977,276
2788,618391,277
2789,53241,278
2794,40395,279
2795,287104,280
2802,62077,281
2803,420488,282
2812,6707,283
2815,215959,284
2832,58100,285
2861,507325,286
2875,270067,287
2877,4170,288
2886,60599,289
2900,53787,290
2903,293405,291
2905,294847,292
2916,4315,293
2918,53257,294
2920,214320,295
2931,442501,296
2934,390833,297
2940,260928,298
2941,69522,299
2971,112327,300
2979,286728,301
2990,41157,302
3002,213828,303
3012,18607,304
3018,51974,305
3024,2452737,306
3037,221833,307
3056,77751,308
3058,53961,309
3089,393627,310
3092,92054,311
3112,317828,312
3126,2094,313
3147,90878,314
3165,52022,315
3179,57453,316
3180,33975,317
3188,391322,318
3208,642955,319
3231,55414,320
3233,58832,321
3238,18632,322
3240,2291735,323
3243,61197,324
3244,48460,325
3253,535076,326
3259,13759,327
3292,426147,328
3312,274350,329
3313,9555,330
3328,465530,331
3348,133089,332
3354,672990,333
3371,438772,334
3380,372893,335
3399,52367,336
3401,444416,337
3412,52068,338
3425,33942,339
3431,10127,340
3438,6813,341
3439,39791,342
3448,52449,343
3454,54781,344
3455,584621,345
3457,270000,346
3463,20789,347
3479,200350,348
3502,77846,349
3505,54486,350
3518,40829,351
3536,268342,352
3541,409905,353
3584,58124,354
3594,687437,355
3595,201626,356
3606,320333,357
3633,199988,358
3660,208243,359
3666,53016,360
3668,208245,361
3669,217874,362
3683,299156,363
3692,330514,364
3733,52201,365
3735,39214,366
3769,550935,367
3782,20152,368
3789,116,369
3800,548598,370
3808,293225,371
3811,418563,372
3815,52679,373
3828,1018092,374
3829,6430,375
3832,18618,376
3838,320562,377
3845,34312,378
