seen,user_index,seed_size
17,36184,1
31,244941,2
34,269233,3
46,58065,4
55,1420,5
61,60631,6
64,55237,7
66,119338,8
75,59219,9
88,53824,10
103,6730,11
109,58564,12
118,284149,13
131,458835,14
133,59644,15
143,379311,16
150,338157,17
155,289127,18
156,1215,19
172,38277,20
176,1489367,21
177,294209,22
181,33625,23
183,43507,24
185,214179,25
195,79881,26
196,57743,27
197,294592,28
213,98108,29
215,289781,30
216,76948,31
222,525159,32
234,43304,33
235,813256,34
242,530158,35
249,65192,36
254,267113,37
260,6991,38
267,24170,39
269,292348,40
280,377933,41
298,642366,42
314,520575,43
317,239738,44
318,54480,45
321,54616,46
328,434766,47
331,9641,48
340,393812,49
354,360863,50
355,396180,51
366,269414,52
368,1091324,53
369,799461,54
371,52158,55
374,69311,56
376,76639,57
380,266917,58
389,893189,59
391,473045,60
400,90571,61
402,71309,62
404,58044,63
437,13301,64
438,60023,65
447,47456,66
453,217951,67
468,393772,68
477,53359,69
485,42463,70
491,326587,71
519,447592,72
522,97956,73
524,247249,74
532,529977,75
540,391621,76
551,57587,77
557,54503,78
569,39974,79
579,7583,80
581,339427,81
585,333287,82
590,22530,83
595,371374,84
635,60095,85
643,416625,86
645,393780,87
658,316701,88
666,950221,89
672,120385,90
703,61636,91
710,94334,92
712,50516,93
727,384685,94
736,274696,95
739,71288,96
753,293154,97
754,599711,98
760,94996,99
766,471631,100
780,13234,101
790,48035,102
795,208829,103
801,53349,104
806,92789,105
811,54199,106
827,43052,107
833,589373,108
856,20786,109
864,74076,110
879,88775,111
891,18041,112
897,56466,113
900,559294,114
906,285624,115
922,31185,116
924,90896,117
925,4550,118
941,34430,119
942,62091,120
943,293233,121
948,200544,122
959,303369,123
965,49423,124
969,344147,125
979,417489,126
989,205560,127
998,293399,128
1000,273889,129
1005,248851,130
1007,271621,131
1009,60687,132
1035,788308,133
1038,63033,134
1039,4371,135
1040,53278,136
1046,52188,137
1054,67951,138
1055,1798255,139
1059,216505,140
1064,381469,141
1067,212075,142
1070,97995,143
1079,195881,144
1086,75145,145
1105,294736,146
1106,205074,147
1110,644272,148
1112,208299,149
1116,52171,150
1124,74107,151
1128,90085,152
1129,10428,153
1133,52977,154
1143,63267,155
1147,249015,156
1153,13664,157
1157,45815,158
1166,78038,159
1172,653071,160
1176,66054,161
1189,344386,162
1194,117831,163
1196,55263,164
1205,70721,165
1207,121751,166
1218,864857,167
1225,53792,168
1229,60587,169
1234,358058,170
1238,244934,171
1239,27372,172
1243,442474,173
1247,406584,174
1249,75320,175
1256,392736,176
1267,23313,177
1269,383682,178
1277,561778,179
1279,34414,180
1286,86918,181
1294,414663,182
1295,434524,183
1297,52180,184
1303,54625,185
1323,614672,186
1330,298911,187
1332,154814,188
1343,676972,189
1349,51535,190
1353,397271,191
1368,291891,192
1369,420893,193
1384,55230,194
1394,75733,195
1399,60593,196
1423,38042,197
1469,7485,198
1470,62196,199
1471,607442,200
1472,12381,201
1481,70370,202
1490,21794,203
1502,472499,204
1518,342592,205
1519,499821,206
1526,348372,207
1537,6408,208
1544,85971,209
1555,208674,210
1556,244198,211
1565,66467,212
1566,490190,213
1569,509754,214
1572,351362,215
1573,488148,216
1577,485053,217
1580,115,218
1585,81391,219
1598,363803,220
1601,209390,221
1608,58357,222
1621,8450,223
1624,57165,224
1631,280245,225
1635,994333,226
1636,53229,227
1648,266962,228
1654,53238,229
1656,71836,230
1662,395469,231
1669,217733,232
1677,52220,233
1681,70719,234
1685,52206,235
1693,100854,236
1714,59224,237
1718,210768,238
1722,85428,239
1726,12368,240
1727,430555,241
1742,550319,242
1749,293792,243
1753,1028,244
1761,532381,245
1764,344089,246
1772,63901,247
1777,480780,248
1799,22633,249
1811,293397,250
1816,417914,251
1827,332359,252
1829,301832,253
1849,339109,254
1850,246836,255
1852,87878,256
1868,353139,257
1869,59398,258
1885,91185,259
1887,407679,260
1890,161569,261
1892,391206,262
1895,58877,263
1908,549709,264
1911,9765,265
1912,89761,266
1916,514828,267
1920,649514,268
1931,243234,269
1936,183309,270
1938,65338,271
1941,50488,272
1944,55597,273
1950,19875,274
1968,571361,275
1973,27413,276
1978,38982,277
1984,53294,278
1990,56014,279
1993,207385,280
1997,287129,281
2025,96744,282
2033,6396,283
2042,54605,284
2065,290029,285
2068,24598,286
2071,70172,287
2076,422979,288
2081,333128,289
2105,289354,290
2108,607291,291
2112,100001,292
2119,71284,293
2126,70939,294
2130,53688,295
2134,682146,296
2167,34413,297
2176,39082,298
2183,284601,299
2186,207,300
2192,63507,301
2198,756403,302
2213,269648,303
2216,62516,304
2224,270711,305
2226,172007,306
2228,70544,307
2229,416644,308
2232,339143,309
2248,482358,310
2249,53527,311
2253,339829,312
2255,353979,313
2257,544781,314
2263,3534278,315
2267,643249,316
2289,309891,317
2310,212486,318
2321,86999,319
2325,353141,320
2328,53769,321
2342,51424,322
2349,477570,323
2351,9586,324
2358,19689,325
2396,50489,326
2399,429371,327
2416,207123,328
2430,365535,329
2436,342349,330
2451,29783,331
2453,62939,332
2467,272157,333
2470,82626,334
2475,664951,335
2480,287760,336
2481,54184,337
2483,56031,338
2495,288764,339
2496,432538,340
2499,55007,341
2524,314033,342
2531,500443,343
2538,305577,344
2539,42666,345
2549,1330840,346
2551,38075,347
2563,393829,348
2567,311860,349
2573,34296,350
2574,650451,351
2575,52989,352
2578,2106,353
2582,229911,354
2602,54190,355
2603,77466,356
2605,561226,357
2606,289121,358
2608,466610,359
2609,7507,360
2616,112316,361
2623,591955,362
2632,77464,363
2641,6395,364
2646,284235,365
2648,425322,366
2650,541555,367
2651,289320,368
2652,363566,369
2656,6817,370
2658,39354,371
2661,50671,372
2669,156758,373
2676,9805,374
2679,66474,375
2686,42183,376
2697,53245,377
2700,348263,378
2711,268360,379
2713,21027,380
2716,1045696,381
2724,304440,382
2728,562203,383
2736,155590,384
