seen,user_index,seed_size
136,34305,1
4526,558545,2
17952,1489367,3
21633,4320,4
24714,344027,5
26245,42497,6
45614,6707,7
54695,157614,8
60500,12371,9
61415,79768,10
61500,54535,11
68072,38461,12
74781,427246,13
77071,55443,14
81915,423343,15
97515,43300,16
99910,336389,17
103240,200535,18
103264,50489,19
106975,20137,20
116090,13294,21
121676,562148,22
124026,334926,23
127807,81,24
134995,86865,25
135840,555388,26
137060,55060,27
141997,13234,28
143880,42462,29
146182,9777,30
152917,114989,31
154392,2636278,32
155839,27867,33
158826,54532,34
163055,221614,35
165512,6727,36
166546,52980,37
168516,364765,38
179791,53278,39
183371,33622,40
187717,38465,41
188352,1124609,42
188915,569503,43
190861,2111858,44
194372,1071903,45
205827,3983221,46
206848,33721,47
218572,123917,48
219912,107531,49
221389,78133,50
223568,407715,51
234439,16809,52
234713,369022,53
235180,217533,54
239284,35482,55
244081,2892,56
255596,13137,57
258410,115815,58
260330,56350,59
270227,664951,60
271736,562203,61
272110,182984,62
278495,54470,63
284217,412752,64
288566,54190,65
297250,258378,66
306029,291148,67
312652,211893,68
313360,405723,69
314674,257791,70
326791,45458,71
335181,61190,72
335685,1744085,73
336441,180804,74
338548,56039,75
339946,68899,76
342163,405303,77
344172,6148,78
356642,13560,79
357065,2883,80
359008,640384,81
370376,115580,82
373688,204092,83
376666,8450,84
382135,1651961,85
382892,12839,86
386212,11519,87
387421,136751,88
388544,52452,89
390316,16113,90
392817,248852,91
409997,21591,92
412257,78554,93
412371,9558,94
415457,81188,95
415772,4772,96
419122,817231,97
421278,459345,98
434684,20969,99
435221,54480,100
441082,6728,101
444047,57686,102
447687,79838,103
458624,607399,104
459801,58106,105
460450,154765,106
461524,13396,107
462842,385958,108
466305,277251,109
466616,114646,110
475613,58880,111
477948,9787,112
484553,2181580,113
490964,1820498,114
494514,640403,115
503241,78033,116
506491,61690,117
506774,6705,118
507322,62998,119
508448,408108,120
511747,56344,121
512417,53245,122
517265,186110,123
525226,263256,124
527520,293399,125
527849,34288,126
528106,333964,127
529069,282379,128
534787,100780,129
537738,45466,130
542520,107518,131
543857,369832,132
544467,174095,133
545468,347788,134
551162,55440,135
552027,210742,136
553776,53220,137
554242,550935,138
554316,39407,139
559043,8143,140
563944,7833,141
566489,265259,142
576647,312786,143
576681,93934,144
578147,736387,145
579920,23205,146
586767,1858695,147
595234,40991,148
595990,3389,149
596930,321464,150
601070,62078,151
601119,62844,152
604802,1072689,153
608018,177291,154
611216,29092,155
615611,209925,156
617761,278050,157
618655,309815,158
620546,701,159
622604,327058,160
627141,66184,161
629483,6693,162
629882,86122,163
630405,44140,164
630529,338225,165
635146,504915,166
636537,13744,167
642296,50993,168
651399,393798,169
651628,11157,170
654014,107548,171
656168,62661,172
657295,55514,173
663767,9851,174
675357,38775,175
676043,54685,176
676251,60724,177
677392,107812,178
677848,388301,179
681525,261281,180
686223,21795,181
692641,77455,182
707008,1774970,183
708397,23249,184
712990,13558,185
713213,901031,186
714265,6689,187
715629,495133,188
722320,93341,189
724250,62682,190
724500,53297,191
728763,2890,192
732818,116275,193
735219,409317,194
737240,12378,195
738980,5638,196
741777,52147,197
742570,12602,198
748520,208244,199
750080,15960,200
750388,59320,201
757855,54448,202
760238,382932,203
762150,210663,204
765245,180763,205
766031,417937,206
769593,43319,207
769840,416143,208
778428,1320079,209
778771,9765,210
784631,57497,211
784667,6168,212
789453,28094,213
791839,16120,214
799123,31185,215
800615,52984,216
802312,6744,217
806115,151449,218
806406,231066,219
810178,200162,220
811746,53790,221
821940,216504,222
835632,50842,223
835876,423255,224
842656,269411,225
847087,294847,226
848254,33703,227
851328,207842,228
852365,34295,229
869457,563889,230
880310,177292,231
880623,12368,232
881765,1242451,233
887539,278041,234
893570,387751,235
894775,270711,236
896043,17775,237
904040,57768,238
907234,57440,239
908840,18154,240
910627,243234,241
911356,17168,242
932793,4128,243
942705,81225,244
952746,282380,245
959331,368659,246
968215,204874,247
970683,1737672,248
970889,1215,249
976464,59275,250
978364,38759,251
986279,35461,252
988955,61658,253
990618,166662,254
992667,202068,255
995458,6432,256
996593,54449,257
997877,39788,258
