seen,user_index,seed_size
33,316315,1
44,322781,2
136,34305,3
180,928620,4
532,102086,5
533,59344,6
655,206223,7
677,54275,8
696,65720,9
698,657646,10
792,1215666,11
987,335549,12
1072,94999,13
1327,316653,14
1334,613277,15
1549,204561,16
1667,563641,17
1691,389013,18
1855,358198,19
1951,514455,20
2065,81463,21
2323,1289,22
2367,74895,23
2416,1198690,24
2436,591955,25
2475,499312,26
2561,166,27
2648,745224,28
2776,328553,29
2815,1644119,30
2957,55831,31
2959,612737,32
2984,217520,33
3015,550304,34
3108,368340,35
3116,333727,36
3157,1474037,37
3189,610509,38
3350,114973,39
3529,463252,40
3585,9845,41
3617,218692,42
3641,889832,43
3646,265674,44
3681,564090,45
4020,530008,46
4130,49632,47
4199,52345,48
4264,294702,49
4368,78905,50
4526,558545,51
4563,429235,52
4569,648900,53
4586,691722,54
4799,40069,55
4862,74233,56
4914,844435,57
5177,877017,58
5194,249297,59
5298,855851,60
5389,30326,61
5462,66974,62
5536,595442,63
5590,567748,64
5736,35350,65
5834,311103,66
5882,43187,67
6073,505707,68
6128,114969,69
6221,511830,70
6276,486045,71
6438,27417,72
6481,328680,73
6508,310745,74
6882,304877,75
6942,3685333,76
7007,347553,77
7221,481940,78
7325,20829,79
7422,45585,80
7511,214565,81
7608,434519,82
7774,355446,83
7954,411526,84
7981,103530,85
8041,999398,86
8123,915326,87
8138,205411,88
8155,412214,89
8184,59672,90
8226,268639,91
8495,69669,92
8497,268360,93
8526,381295,94
8572,430555,95
8710,1081,96
8718,65394,97
8732,61714,98
8757,212484,99
8859,34292,100
8912,348258,101
8915,132810,102
8995,1431675,103
9076,471800,104
9204,549827,105
9423,414661,106
9532,531892,107
9558,90448,108
9613,393808,109
9630,344004,110
9644,55597,111
9648,538398,112
9667,208677,113
9670,519866,114
9765,604435,115
9973,716601,116
10049,411111,117
10096,33736,118
10536,3942,119
11087,119,120
11107,38235,121
11177,52159,122
11262,77343,123
11331,303787,124
11345,52043,125
11371,60065,126
11501,1528716,127
11530,313034,128
11689,394088,129
11746,493192,130
11811,272844,131
11895,585583,132
11900,85240,133
12132,810973,134
12213,841725,135
12215,80715,136
12230,76440,137
12402,431119,138
12409,535976,139
12419,339220,140
12435,287777,141
12556,34063,142
12597,65809,143
12683,65505,144
12810,76530,145
12972,326502,146
12983,63828,147
13041,859344,148
13139,316305,149
13228,349553,150
13457,989188,151
13516,199289,152
13600,316042,153
13602,20128,154
13719,297024,155
13874,212856,156
13909,380368,157
13935,280301,158
13992,586689,159
14157,709943,160
14218,53289,161
14335,85155,162
14343,883547,163
14380,520565,164
14526,48485,165
14599,755210,166
14621,293830,167
14789,33610,168
14825,22215,169
14856,706447,170
15063,41638,171
15080,8127,172
15121,290506,173
15224,351176,174
15238,294128,175
15319,953893,176
15436,78974,177
15488,66328,178
15968,75577,179
16088,21396,180
16201,339040,181
16216,1326382,182
16256,78092,183
16264,85230,184
