seen, seed_size, seed_score
10159, 100, 18506.4
20139, 200, 32593.8
29575, 300, 48026.2
39263, 400, 61672.1
48682, 500, 73082.4
60341, 600, 83927.6
72431, 700, 95598.7
82670, 800, 105967
93761, 900, 115471
104747, 1000, 125464
114338, 1100, 134575
123833, 1200, 143934
134242, 1300, 152627
144194, 1400, 161123
153951, 1500, 168651
165293, 1600, 176777
176261, 1700, 183844
187346, 1800, 191383
197204, 1900, 199229
207012, 2000, 206580
217931, 2100, 213103
228063, 2200, 219806
238428, 2300, 226736
250645, 2400, 234071
261252, 2500, 240601
272030, 2600, 246586
281467, 2700, 253787
292124, 2800, 259794
302264, 2900, 265730
313498, 3000, 270913
323283, 3100, 276503
334249, 3200, 282261
345922, 3300, 287832
355266, 3400, 293481
367528, 3500, 299370
378694, 3600, 305383
390279, 3700, 310548
399796, 3789, 315198
