seen,user_index,seed_size
16,2505,1
29,911,2
50,6583,3
55,634,4
71,2061,5
77,3344,6
86,100,7
89,512,8
106,131,9
123,140,10
161,562,11
171,3684,12
174,695,13
183,1159,14
191,1888,15
196,5176,16
212,41,17
217,1570,18
237,1171,19
250,2247,20
285,396,21
299,66,22
300,105,23
325,613,24
340,1515,25
349,2840,26
356,3770,27
360,145,28
370,4266,29
389,858,30
403,196,31
413,688,32
426,5020,33
429,56,34
430,3533,35
460,646,36
472,885,37
479,535,38
485,2747,39
491,2625,40
502,151,41
503,417,42
511,2518,43
516,23,44
527,3696,45
534,2602,46
543,606,47
554,3094,48
583,6573,49
594,307,50
598,724,51
609,4919,52
611,359,53
614,156,54
639,210,55
648,1520,56
665,515,57
669,239,58
674,545,59
679,705,60
681,1784,61
701,1312,62
728,2703,63
753,3098,64
757,599,65
871,412,66
890,474,67
902,5936,68
909,563,69
929,150,70
941,192,71
947,266,72
969,11078,73
990,2017,74
992,363,75
1001,639,76
1091,124,77
1119,8330,78
1144,122,79
1162,326,80
1184,525,81
1216,60,82
1218,27,83
1231,1987,84
1241,3978,85
1244,382,86
1254,1370,87
1255,1449,88
1257,6252,89
1282,1060,90
1285,3266,91
1316,4824,92
1336,1521,93
1348,128,94
1365,8450,95
1405,247,96
1410,866,97
1434,2067,98
1453,6638,99
1464,7145,100
1471,721,101
1492,4181,102
