seen,user_index,seed_size
62,3129,1
89,6057,2
130,545,3
160,2840,4
182,2067,5
196,266,6
206,6638,7
207,1692,8
280,705,9
347,1599,10
460,60,11
473,307,12
787,3041,13
861,14,14
902,599,15
941,1115,16
967,145,17
976,1282,18
1005,6841,19
1048,9908,20
1052,989,21
1293,2033,22
1299,1033,23
1315,5033,24
1394,6174,25
1404,1169,26
1440,1320,27
1463,363,28
1506,8330,29
1903,349,30
1904,3647,31
1999,66,32
2051,1327,33
2076,1277,34
2095,724,35
2267,7145,36
2292,3127,37
2299,1423,38
2301,7166,39
2339,7070,40
2443,861,41
2483,122,42
2545,1955,43
2662,8778,44
2955,2133,45
2992,1413,46
3119,367,47
3317,131,48
3353,2963,49
3361,6072,50
3418,10155,51
3470,1635,52
3596,4353,53
3660,5597,54
3680,915,55
3791,1038,56
3827,3641,57
3867,8461,58
4009,315,59
4107,1188,60
4183,1044,61
4192,9378,62
4326,572,63
4473,2331,64
4502,1429,65
4504,159,66
4601,885,67
4613,224,68
4615,6477,69
4638,2652,70
4893,247,71
4895,192,72
5019,4266,73
5072,3978,74
5197,515,75
5235,657,76
5244,3159,77
5384,105,78
5538,274,79
5668,92,80
5768,80,81
5861,255,82
5964,23,83
6016,563,84
6182,6271,85
6441,2602,86
6510,4919,87
6568,1665,88
6874,2747,89
6912,3533,90
6982,1156,91
7006,1784,92
7223,562,93
7277,3266,94
7279,15,95
7622,1888,96
7637,7417,97
7642,6693,98
7666,839,99
7670,1312,100
7835,1370,101
7836,866,102
7850,1238,103
7999,3462,104
8020,1987,105
8135,1520,106
8184,210,107
8246,1060,108
8639,4089,109
8659,382,110
8679,634,111
8826,1488,112
8967,417,113
9226,3914,114
9265,76,115
9527,2389,116
9653,326,117
9692,3827,118
10118,2773,119
10361,1827,120
10414,37,121
10633,1515,122
10857,9994,123
11091,474,124
11380,63,125
11527,3209,126
11820,3098,127
11933,393,128
12070,1159,129
12098,85,130
12472,1620,131
13026,1162,132
13052,4181,133
13449,5712,134
13470,156,135
13609,1171,136
13640,559,137
13762,4824,138
14247,5335,139
14629,1759,140
14800,151,141
