seen,user_index,seed_size
89,6057,1
130,545,2
160,2840,3
182,2067,4
196,266,5
206,6638,6
207,1692,7
280,705,8
347,1599,9
460,60,10
473,307,11
787,3041,12
861,14,13
902,599,14
941,1115,15
967,145,16
976,1282,17
1048,9908,18
1052,989,19
1293,2033,20
1404,1169,21
1440,1320,22
1463,363,23
1903,349,24
1904,3647,25
1999,66,26
2051,1327,27
2095,724,28
2267,7145,29
2292,3127,30
2299,1423,31
2339,7070,32
2443,861,33
2483,122,34
2662,8778,35
2955,2133,36
2992,1413,37
3317,131,38
3353,2963,39
3361,6072,40
3418,10155,41
3470,1635,42
3791,1038,43
3827,3641,44
4107,1188,45
4326,572,46
4473,2331,47
4502,1429,48
4504,159,49
4601,885,50
4613,224,51
4615,6477,52
4638,2652,53
4893,247,54
4895,192,55
5019,4266,56
5072,3978,57
5197,515,58
5235,657,59
5384,105,60
5538,274,61
5668,92,62
5768,80,63
5861,255,64
5964,23,65
6016,563,66
6182,6271,67
6441,2602,68
6982,1156,69
7006,1784,70
7223,562,71
7277,3266,72
7279,15,73
7622,1888,74
7637,7417,75
7642,6693,76
7666,839,77
7670,1312,78
7835,1370,79
7836,866,80
7850,1238,81
7999,3462,82
8020,1987,83
8135,1520,84
8184,210,85
8659,382,86
8679,634,87
8826,1488,88
8967,417,89
9265,76,90
9527,2389,91
9653,326,92
9692,3827,93
10118,2773,94
10361,1827,95
10414,37,96
10633,1515,97
10857,9994,98
11091,474,99
11380,63,100
11527,3209,101
11933,393,102
12070,1159,103
13026,1162,104
13052,4181,105
13449,5712,106
13470,156,107
13609,1171,108
13640,559,109
13762,4824,110
14247,5335,111
