seen,user_index,seed_size
16,2505,1
50,6583,2
55,634,3
71,2061,4
77,3344,5
86,100,6
89,512,7
106,131,8
123,140,9
161,562,10
171,3684,11
174,695,12
183,1159,13
191,1888,14
196,5176,15
212,41,16
217,1570,17
237,1171,18
285,396,19
299,66,20
300,105,21
325,613,22
340,1515,23
349,2840,24
356,3770,25
360,145,26
370,4266,27
403,196,28
413,688,29
426,5020,30
429,56,31
460,646,32
472,885,33
479,535,34
491,2625,35
503,417,36
516,23,37
527,3696,38
534,2602,39
543,606,40
554,3094,41
594,307,42
598,724,43
611,359,44
614,156,45
639,210,46
648,1520,47
665,515,48
669,239,49
674,545,50
679,705,51
681,1784,52
701,1312,53
728,2703,54
757,599,55
871,412,56
890,474,57
909,563,58
929,150,59
941,192,60
947,266,61
969,11078,62
990,2017,63
992,363,64
1001,639,65
1091,124,66
1144,122,67
1162,326,68
1184,525,69
1216,60,70
1218,27,71
1231,1987,72
1241,3978,73
1244,382,74
1254,1370,75
1255,1449,76
1285,3266,77
1316,4824,78
1336,1521,79
1348,128,80
1365,8450,81
1405,247,82
1410,866,83
1434,2067,84
1453,6638,85
1464,7145,86
1471,721,87
1492,4181,88
