seen,user_index,seed_size
196,266,1
206,6638,2
207,1692,3
280,705,4
460,60,5
473,307,6
861,14,7
902,599,8
941,1115,9
1048,9908,10
1052,989,11
1293,2033,12
1440,1320,13
1463,363,14
1999,66,15
2051,1327,16
2483,122,17
2955,2133,18
3317,131,19
3361,6072,20
3470,1635,21
3827,3641,22
4473,2331,23
4502,1429,24
4601,885,25
4895,192,26
5019,4266,27
5197,515,28
5384,105,29
5538,274,30
5668,92,31
5768,80,32
5861,255,33
6016,563,34
6182,6271,35
6441,2602,36
6982,1156,37
7223,562,38
7279,15,39
7666,839,40
7670,1312,41
7835,1370,42
7836,866,43
8020,1987,44
8135,1520,45
8184,210,46
8659,382,47
8679,634,48
9527,2389,49
9653,326,50
9692,3827,51
10361,1827,52
10414,37,53
10857,9994,54
11091,474,55
11527,3209,56
12070,1159,57
13026,1162,58
13470,156,59
13640,559,60
13762,4824,61
