version,simulations,score
1,1,2929
1,2,2938
1,3,2895.67
1,4,2945.25
1,5,2941.4
1,6,2943
1,7,2919.29
1,8,2917.25
1,9,2924
1,10,2919.9
1,11,2903.55
1,12,2904
1,13,2896.08
1,14,2883.36
1,15,2884.33
1,16,2879.5
1,17,2877.24
1,18,2890.61
1,19,2890.58
1,20,2884.4
1,21,2885.67
1,22,2876.55
1,23,2880.96
1,24,2876.29
1,25,2869.52
1,26,2864.19
1,27,2860.48
1,28,2858.64
1,29,2859.21
1,30,2852.07
1,31,2856.13
1,32,2860.94
1,33,2861.97
1,34,2863.82
1,35,2863.97
1,36,2864.33
1,37,2857.86
1,38,2861.18
1,39,2867.92
1,40,2868.62
1,41,2867.44
1,42,2871.67
1,43,2870.19
1,44,2871.07
1,45,2872.22
1,46,2872.02
1,47,2869.15
1,48,2868.94
1,49,2871.29
1,50,2871.36
1,51,2873.33
1,52,2871.12
1,53,2869.23
1,54,2865.76
1,55,2865.13
1,56,2864.55
1,57,2867.32
1,58,2867.48
1,59,2869.34
1,60,2867.28
1,61,2865.77
1,62,2862.73
1,63,2862.92
1,64,2864.8
1,65,2861.8
1,66,2862.55
1,67,2865.39
1,68,2867.4
1,69,2869.52
1,70,2869.63
1,71,2868.8
1,72,2870.49
1,73,2867.16
1,74,2868.84
1,75,2869.07
1,76,2866.29
1,77,2865.92
1,78,2869.12
1,79,2868.77
1,80,2869.9
1,81,2873.98
1,82,2869.93
1,83,2872.2
1,84,2872.55
1,85,2872.99
1,86,2873.15
1,87,2873.08
1,88,2871.66
1,89,2871.94
1,90,2872.18
1,91,2873.66
1,92,2874.42
1,93,2874.3
1,94,2872.68
1,95,2873.58
1,96,2872.77
1,97,2873.21
1,98,2872.67
1,99,2875.13
1,100,2873.68
1,101,2873.64
1,102,2873.83
1,103,2874.31
1,104,2875.49
1,105,2876.05
1,106,2876.2
1,107,2877.29
1,108,2876.71
1,109,2875.83
1,110,2873.24
1,111,2872.68
1,112,2873.41
1,113,2874.25
1,114,2875
1,115,2875.12
1,116,2875.01
1,117,2874.86
1,118,2875.4
1,119,2876.31
1,120,2877.38
1,121,2876.12
1,122,2876.17
1,123,2875.85
1,124,2874.47
1,125,2875.77
1,126,2873.7
1,127,2872.08
1,128,2872.15
1,129,2870.42
1,130,2870.05
1,131,2869.63
1,132,2870.3
1,133,2869.33
1,134,2870.13
1,135,2870.79
1,136,2870.04
1,137,2869.93
1,138,2868.33
1,139,2868.53
1,140,2869.09
1,141,2869.37
1,142,2870.4
1,143,2871.08
1,144,2870.47
