dataset,streamModel,streamVersion,streamSize,reach,theta_ap,depth,maxSeedSize,actualSeedSize,maxUpdateTime,runtime
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,1000,1.1e-05,90.3421
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,1018,1.1e-05,63.5676
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,1000,5.1e-05,62.4997
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,1000,1e-05,62.4949
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,1000,3.3e-05,63.8205
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,1000,8e-06,62.7408
nethept,inNOut_repeat,1,7600,60,0.8,2,1000,1000,4e-06,87.6686
nethept,inNOut_repeat,1,7600,60,0.8,2,2000,2000,5e-05,274.965
nethept,inNOut_repeat,1,7600,60,0.8,2,3000,3000,6e-06,519.6
nethept,inNOut_repeat,1,7600,60,0.8,2,4000,4000,2.9e-05,1075.97
nethept,inNOut_repeat,1,7600,60,0.8,2,5000,4139,7.6e-05,1549.11
nethept,inNOut_repeat,1,7600,60,0.8,2,4000,4000,2.4e-05,871.463
nethept,inNOut_repeat,1,7600,60,0.8,2,5000,4139,1.4e-05,1052.78
nethept,inNOut_repeat,1,7600,70,0.8,2,5000,4439,3.2e-05,1111.76
nethept,inNOut_repeat,1,7600,80,0.8,2,5000,4065,7.2e-05,954.175
nethept,inNOut_repeat,1,7600,75,0.8,2,5000,4216,4e-06,0.198987
nethept,inNOut_repeat,1,7600,80,0.8,2,5000,4055,3e-06,0.201832
nethept,inNOut_repeat,1,7600,80,0.8,2,5000,4055,3e-06,0.214541
nethept,inNOut_repeat,1,7600,80,0.8,2,5000,4055,4e-06,0.25991
nethept,inNOut_repeat,1,7600,80,0.8,2,5000,4631,3e-06,0.21373
nethept,inNOut_repeat,1,7600,85,0.8,2,5000,4669,1.1e-05,0.183193
nethept,inNOut_repeat,1,7600,90,0.8,2,5000,4695,3e-06,0.17507
nethept,inNOut_repeat,1,7600,99,0.8,2,5000,4715,1.1e-05,0.174431
nethept,inNOut_repeat,1,7600,99,0.8,2,5000,4715,3.6e-05,1224.85
nethept,inNOut_repeat,1,7600,60,0.8,2,1000,1000,1.1e-05,96.694
nethept,inNOut_repeat,2,7600,60,0.8,2,1000,1000,1e-05,95.9226
nethept,inNOut_repeat,2,7600,60,0.8,2,2000,2000,4.6e-05,282.911
nethept,inNOut_repeat,2,7600,60,0.8,2,3000,3000,0.001243,557.372
nethept,inNOut_repeat,2,7600,60,0.8,2,4000,4000,1.8e-05,950.855
nethept,inNOut_repeat,2,7600,99,0.8,2,5000,4713,0.004456,1297.86
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,976,3.9e-05,0.055165
nethept,inNOut_repeat,1,1522,60,0.8,2,1000,570,0.000225,0.053743
nethept,inNOut_repeat,1,1522,60,0.8,2,70,70,0.000232,0.007406
nethept,inNOut_repeat,1,1522,60,0.8,2,70,70,0.000287,0.008757
nethept,inNOut_repeat,1,1522,60,0.8,2,70,70,1.4e-05,0.005774
