id,simulations,score
10,1,13
10,10,20.9
10,100,17.12
10,1000,18.255
10,2000,18.6325
10,3000,17.5797
10,5000,18.0516
10,7000,17.6329
10,9000,17.9537
10,10000,17.9103
20,1,43
20,10,11.2
20,100,12.72
20,1000,11.899
20,2000,11.856
20,3000,11.8497
20,5000,11.8408
20,7000,11.8111
20,9000,12.0689
20,10000,11.7932
34,1,1
34,10,1.8
34,100,2.88
34,1000,3.805
34,2000,3.5455
34,3000,3.35867
34,5000,3.4388
34,7000,3.17129
34,9000,3.36089
34,10000,3.2125
52,1,7
52,10,9.4
52,100,9.29
52,1000,8.951
52,2000,8.6145
52,3000,8.39167
52,5000,8.4088
52,7000,8.36986
52,9000,8.37889
52,10000,8.1887
74,1,19
74,10,11.8
74,100,13.02
74,1000,16.704
74,2000,14.173
74,3000,14.8123
74,5000,15.4656
74,7000,15.2836
74,9000,15.2071
74,10000,15.2476
85,1,8
85,10,14.1
85,100,16.7
85,1000,15.445
85,2000,15.6355
85,3000,15.7797
85,5000,15.4624
85,7000,15.4847
85,9000,15.8014
85,10000,15.6762
90,1,3
90,10,17.7
90,100,11.83
90,1000,12.105
90,2000,12.3515
90,3000,12.681
90,5000,12.439
90,7000,12.4767
90,9000,12.3758
90,10000,12.36
113,1,4
113,10,3.8
113,100,6.68
113,1000,5.081
113,2000,5.106
113,3000,5.255
113,5000,5.0766
113,7000,5.039
113,9000,4.93644
113,10000,5.3651
116,1,3
116,10,11.2
116,100,11.85
116,1000,12.206
116,2000,12.109
116,3000,12.2463
116,5000,11.8246
116,7000,12.0317
116,9000,11.9088
116,10000,11.8819
144,1,5
144,10,5.8
144,100,7.34
144,1000,7.57
144,2000,7.902
144,3000,7.68567
144,5000,7.8266
144,7000,7.92014
144,9000,7.94122
144,10000,7.9018
146,1,6
146,10,2.5
146,100,3.55
146,1000,2.15
146,2000,2.0965
146,3000,2.227
146,5000,2.3852
146,7000,2.57114
146,9000,2.40111
146,10000,2.3722
156,1,31
156,10,22.5
156,100,27.26
156,1000,25.264
156,2000,25.502
156,3000,24.8873
156,5000,24.9662
156,7000,25.0189
156,9000,25.0701
156,10000,24.6341
161,1,1
161,10,1
161,100,1.9
161,1000,1.722
161,2000,1.8105
161,3000,1.895
161,5000,1.8806
161,7000,1.83057
161,9000,1.86022
161,10000,1.8292
205,1,1
205,10,11.2
205,100,16.41
205,1000,19.595
205,2000,19.9025
205,3000,19.7257
205,5000,19.736
205,7000,19.1903
205,9000,20.0534
205,10000,19.7695
227,1,28
227,10,13.6
227,100,13.3
227,1000,14.109
227,2000,13.665
227,3000,13.4197
227,5000,13.2982
227,7000,13.3069
227,9000,13.2927
227,10000,13.1758
247,1,19
247,10,15.4
247,100,19.78
247,1000,22.3
247,2000,22.32
247,3000,22.1367
247,5000,21.8546
247,7000,22.0676
247,9000,21.337
247,10000,21.9908
273,1,10
273,10,22.1
273,100,8.33
273,1000,10.769
273,2000,10.028
273,3000,10.1163
273,5000,9.9772
273,7000,10.2277
273,9000,9.97211
273,10000,10.045
280,1,1
280,10,1.8
280,100,3.08
280,1000,2.816
280,2000,3.4695
280,3000,3.137
280,5000,2.9882
280,7000,3.401
280,9000,3.11367
280,10000,3.1714
306,1,49
306,10,9.3
306,100,11.4
306,1000,10.705
306,2000,10.4545
306,3000,9.99433
306,5000,10.5398
306,7000,10.6133
306,9000,10.0976
306,10000,10.3643
317,1,2
317,10,8
317,100,6.32
317,1000,4.842
317,2000,5.651
317,3000,6.311
317,5000,5.512
317,7000,6.03186
317,9000,5.74856
317,10000,5.768
329,1,2
329,10,16.7
329,100,15.06
329,1000,17.802
329,2000,17.4595
329,3000,17.6293
329,5000,16.7582
329,7000,17.9909
329,9000,17.4891
329,10000,17.2405
358,1,1
358,10,1
358,100,2.06
358,1000,1.691
358,2000,1.6255
358,3000,1.68667
358,5000,1.8404
358,7000,1.75057
358,9000,1.64522
358,10000,1.7527
374,1,1
374,10,1.5
374,100,2.23
374,1000,2.494
