user in out
0 3 3
1 41 41
2 1 1
3 12 12
4 37 37
5 19 19
6 1 1
7 6 6
8 29 29
9 30 30
10 25 25
11 2 2
12 28 28
13 4 4
14 53 53
15 42 42
16 4 4
17 4 4
18 6 6
19 29 29
20 15 15
21 17 17
22 7 7
23 24 24
24 2 2
25 8 8
26 37 37
27 52 52
28 25 25
29 7 7
30 11 11
31 14 14
32 13 13
33 10 10
34 3 3
35 3 3
36 24 24
37 31 31
38 14 14
39 14 14
40 10 10
41 29 29
42 16 16
43 19 19
44 15 15
45 3 3
46 12 12
47 14 14
48 27 27
49 5 5
50 5 5
51 19 19
52 12 12
53 6 6
54 12 12
55 6 6
56 25 25
57 16 16
58 5 5
59 3 3
60 32 32
61 14 14
62 13 13
63 14 14
64 8 8
65 4 4
66 43 43
67 17 17
68 18 18
69 6 6
70 5 5
71 10 10
72 20 20
73 7 7
74 21 21
75 20 20
76 27 27
77 17 17
78 15 15
79 24 24
80 50 50
81 6 6
82 7 7
83 13 13
84 8 8
85 20 20
86 25 25
87 16 16
88 43 43
89 15 15
90 16 16
91 6 6
92 19 19
93 5 5
94 11 11
95 9 9
96 5 5
97 6 6
98 12 12
99 46 46
100 64 64
101 7 7
102 1 1
103 20 20
104 11 11
105 35 35
106 1 1
107 12 12
108 15 15
109 5 5
110 25 25
111 32 32
112 13 13
113 6 6
114 10 10
115 10 10
116 16 16
117 17 17
118 20 20
119 4 4
120 14 14
121 14 14
122 25 25
123 4 4
124 49 49
125 8 8
126 4 4
127 7 7
128 39 39
129 28 28
130 14 14
131 46 46
132 3 3
133 29 29
134 30 30
135 22 22
136 16 16
137 1 1
138 4 4
139 7 7
140 33 33
141 7 7
142 14 14
143 12 12
144 8 8
145 27 27
146 2 2
147 8 8
148 3 3
149 11 11
150 20 20
151 20 20
152 14 14
153 19 19
154 13 13
155 22 22
156 34 34
157 30 30
158 11 11
159 39 39
160 11 11
161 1 1
162 6 6
163 19 19
164 10 10
165 4 4
166 4 4
167 11 11
168 31 31
169 8 8
170 9 9
171 10 10
172 2 2
173 14 14
174 15 15
175 1 1
176 12 12
177 10 10
178 3 3
179 2 2
180 6 6
181 2 2
182 2 2
183 2 2
184 5 5
185 3 3
186 15 15
187 5 5
188 5 5
189 8 8
190 19 19
191 3 3
192 37 37
193 18 18
194 21 21
195 14 14
196 52 52
197 4 4
198 4 4
199 7 7
200 39 39
201 12 12
202 1 1
203 5 5
204 11 11
205 28 28
206 5 5
207 14 14
208 4 4
209 19 19
210 38 38
211 6 6
212 3 3
213 4 4
214 13 13
215 7 7
216 4 4
217 2 2
218 12 12
219 8 8
220 16 16
221 47 47
222 18 18
223 7 7
224 18 18
225 10 10
226 19 19
227 18 18
228 2 2
229 2 2
230 37 37
231 17 17
232 11 11
233 2 2
234 20 20
235 13 13
236 35 35
237 15 15
238 24 24
239 53 53
240 21 21
241 13 13
242 18 18
243 6 6
244 14 14
245 16 16
246 37 37
247 32 32
248 1 1
249 19 19
250 2 2
251 38 38
252 1 1
253 1 1
254 11 11
255 23 23
256 8 8
257 9 9
258 21 21
259 14 14
260 20 20
261 25 25
262 14 14
263 19 19
264 2 2
265 34 34
266 53 53
267 43 43
268 23 23
269 15 15
270 6 6
271 9 9
272 15 15
