seen, seed_size, seed_score
100, 100, 704.562
201, 200, 1177.08
303, 300, 1574.08
415, 400, 1981.79
524, 500, 2320.86
630, 600, 2700.98
740, 700, 3006.47
852, 800, 3275.41
970, 900, 3528.32
1091, 1000, 3793.24
1206, 1100, 4046.92
1321, 1200, 4286.2
1432, 1300, 4522.68
1563, 1400, 4763.72
1692, 1500, 4969.22
1830, 1600, 5175.08
1962, 1700, 5399.48
2086, 1800, 5573.26
2230, 1900, 5761.81
2366, 2000, 5942.87
2511, 2100, 6116.69
2658, 2200, 6288.82
2806, 2300, 6459.53
2958, 2400, 6633.97
3107, 2500, 6779.4
3264, 2600, 6930.74
3452, 2700, 7091.49
3635, 2800, 7237.46
3824, 2900, 7378.89
4008, 3000, 7528.9
4161, 3100, 7679.34
4363, 3200, 7815.55
4574, 3300, 7961.93
4767, 3400, 8090.18
4949, 3500, 8222.29
5132, 3600, 8339.4
5347, 3700, 8479.95
5564, 3800, 8587.25
5741, 3900, 8707.38
5976, 4000, 8841.12
6214, 4100, 8974.66
6414, 4200, 9091.76
6652, 4300, 9201.58
6891, 4400, 9315.37
7095, 4500, 9428.36
7326, 4600, 9533.73
7557, 4700, 9649.43
7600, 4715, 9670.39
