seen,user_index,seed_size
89,6057,1
130,545,2
160,2840,3
165,2127,4
182,2067,5
185,800,6
196,266,7
206,6638,8
207,1692,9
235,4228,10
257,459,11
268,6512,12
280,705,13
347,1599,14
392,1103,15
445,401,16
460,60,17
473,307,18
544,547,19
572,1256,20
644,1067,21
727,635,22
766,133,23
787,3041,24
861,14,25
902,599,26
941,1115,27
958,1731,28
967,145,29
976,1282,30
1005,6841,31
1048,9908,32
1052,989,33
1231,375,34
1293,2033,35
1299,1033,36
1365,492,37
1367,288,38
1388,20,39
1394,6174,40
1404,1169,41
1440,1320,42
1463,363,43
1680,985,44
1708,4432,45
1791,9437,46
1825,1379,47
1903,349,48
1904,3647,49
1908,3072,50
1920,361,51
1980,1405,52
1999,66,53
2020,2119,54
2035,43,55
2051,1327,56
2076,1277,57
2095,724,58
2144,3707,59
2267,7145,60
2339,7070,61
2388,9,62
2398,2614,63
2427,48,64
2443,861,65
2474,661,66
2483,122,67
2512,240,68
2545,1955,69
2602,2314,70
2647,3644,71
2662,8778,72
2747,26,73
2860,3211,74
2909,310,75
2955,2133,76
2992,1413,77
3113,3146,78
3119,367,79
3166,2250,80
3168,1724,81
3221,5922,82
3231,3246,83
3235,3028,84
3317,131,85
3353,2963,86
3361,6072,87
3384,1810,88
3397,659,89
3418,10155,90
3470,1635,91
3575,1658,92
3586,2417,93
3630,2141,94
3660,5597,95
3680,915,96
3740,3779,97
3779,1689,98
3787,6142,99
3791,1038,100
3827,3641,101
3841,990,102
3867,8461,103
4009,315,104
4056,2409,105
4059,3530,106
4107,1188,107
4127,242,108
4173,44,109
4183,1044,110
4192,9378,111
4213,51,112
4231,1542,113
4326,572,114
4346,5000,115
4448,11118,116
4473,2331,117
4480,7951,118
4502,1429,119
4504,159,120
4601,885,121
4613,224,122
4615,6477,123
4638,2652,124
4643,89,125
4660,1514,126
4707,164,127
4719,249,128
4791,383,129
4864,5664,130
4885,354,131
4893,247,132
4895,192,133
4954,2297,134
4973,653,135
4984,509,136
5019,4266,137
5060,2996,138
5065,194,139
5072,3978,140
5145,265,141
5169,295,142
5197,515,143
5211,241,144
5235,657,145
5244,3159,146
5313,2381,147
5337,1617,148
5343,1492,149
5384,105,150
5408,10070,151
5468,3814,152
5513,736,153
5538,274,154
5544,850,155
5628,6675,156
5650,587,157
5668,92,158
5675,1059,159
5768,80,160
5806,129,161
5843,6122,162
5861,255,163
5905,2019,164
5954,2430,165
5964,23,166
5972,784,167
6016,563,168
6052,12424,169
6059,609,170
6070,6698,171
6117,1361,172
6142,2696,173
6182,6271,174
6314,5893,175
6322,638,176
6324,4854,177
6341,144,178
6370,7397,179
6383,3399,180
6387,12,181
6441,2602,182
6476,238,183
6510,4919,184
6534,1032,185
6568,1665,186
6615,3425,187
6714,2595,188
6741,890,189
6744,531,190
6804,3906,191
6830,2273,192
6874,2747,193
6912,3533,194
6955,7299,195
6982,1156,196
6999,2681,197
7006,1784,198
7061,7369,199
7207,1587,200
7223,562,201
7233,21,202
7277,3266,203
7279,15,204
7324,954,205
7332,3913,206
7333,260,207
7373,408,208
7379,3197,209
7433,654,210
7450,2557,211
7462,805,212
7506,797,213
7551,117,214
7599,457,215
7617,835,216
7622,1888,217
7637,7417,218
7642,6693,219
7644,765,220
7666,839,221
7670,1312,222
7715,6561,223
7818,9825,224
7826,330,225
7835,1370,226
7836,866,227
7850,1238,228
7871,4523,229
7925,815,230
7972,4900,231
7999,3462,232
8006,245,233
8017,88,234
8020,1987,235
8052,5098,236
8073,135,237
8075,750,238
8135,1520,239
8176,608,240
8184,210,241
8201,883,242
8245,7155,243
8246,1060,244
8252,3985,245
8257,3826,246
8260,72,247
8310,162,248
8311,1589,249
8320,2621,250
8447,209,251
8462,1458,252
8465,10,253
8472,4499,254
8546,7097,255
8616,8991,256
8639,4089,257
8651,115,258
8659,382,259
8679,634,260
8826,1488,261
8850,8467,262
8883,1758,263
8967,417,264
8992,1775,265
8994,2377,266
9065,2123,267
9186,2847,268
9223,482,269
9226,3914,270
9244,2161,271
9265,76,272
9335,2728,273
9383,4041,274
9436,4804,275
9503,316,276
9527,2389,277
9537,8194,278
9560,3852,279
9635,1391,280
9653,326,281
9692,3827,282
9703,231,283
9780,863,284
9782,251,285
9851,1394,286
9928,3051,287
10018,2548,288
10069,5591,289
10118,2773,290
10126,4988,291
10187,329,292
10270,539,293
10361,1827,294
10392,753,295
10414,37,296
10428,4578,297
10430,409,298
10540,5033,299
10567,8987,300
10578,4085,301
10608,8297,302
10633,1515,303
10651,3651,304
10672,2635,305
10714,222,306
10727,1661,307
10733,6097,308
10752,4280,309
10756,2845,310
10794,4002,311
10826,28,312
10857,9994,313
10982,650,314
11009,415,315
11091,474,316
11105,2643,317
11131,8322,318
11154,988,319
11170,205,320
11187,1639,321
11241,941,322
11258,2182,323
11264,1390,324
11283,1963,325
11366,3009,326
11380,63,327
11383,220,328
11527,3209,329
11596,1528,330
11761,1890,331
11776,6244,332
11789,227,333
11810,6334,334
11820,3098,335
11831,120,336
11864,770,337
11889,1094,338
11903,11155,339
11933,393,340
11983,511,341
12070,1159,342
12098,85,343
12106,2820,344
12147,503,345
12211,2069,346
12264,1783,347
12300,5572,348
12363,793,349
12389,157,350
12421,1117,351
12449,90,352
12472,1620,353
12746,4474,354
12778,713,355
12812,3049,356
12842,953,357
12932,285,358
13000,8330,359
13026,1162,360
13052,4181,361
13080,788,362
13081,4962,363
13211,8238,364
13219,487,365
13239,5774,366
13312,305,367
13371,2237,368
13441,1017,369
13449,5712,370
13470,156,371
13471,214,372
13501,7077,373
13548,1473,374
13550,5097,375
13564,1523,376
13581,62,377
13588,2931,378
13609,1171,379
13614,2915,380
13636,3864,381
13640,559,382
13652,3117,383
13680,4520,384
13739,6330,385
13747,1037,386
13749,2087,387
13762,4824,388
13797,10278,389
14033,5731,390
14043,299,391
14049,5231,392
14059,945,393
14095,1410,394
14112,6681,395
14209,542,396
14247,5335,397
14264,155,398
