seen,user_index,seed_size
2,571,1
35,575,2
42,5370,3
62,3129,4
81,426,5
89,6057,6
130,545,7
160,2840,8
164,1963,9
165,2127,10
182,2067,11
185,800,12
191,723,13
196,266,14
206,6638,15
207,1692,16
218,1174,17
231,631,18
235,4228,19
257,459,20
268,6512,21
280,705,22
290,6330,23
301,733,24
309,1379,25
347,1599,26
364,2381,27
369,3230,28
385,2297,29
392,1103,30
437,2638,31
439,2991,32
445,401,33
455,254,34
460,60,35
473,307,36
493,3305,37
536,234,38
544,547,39
562,4614,40
572,1256,41
574,654,42
594,4279,43
602,480,44
644,1067,45
727,635,46
748,1209,47
766,133,48
780,2478,49
787,3041,50
813,5591,51
816,31,52
833,6182,53
861,14,54
902,599,55
903,791,56
911,1152,57
941,1115,58
958,1731,59
967,145,60
976,1282,61
1005,6841,62
1008,7237,63
1048,9908,64
1052,989,65
1084,6684,66
1117,11716,67
1121,51,68
1173,8790,69
1231,375,70
1285,186,71
1293,2033,72
1299,1033,73
1307,566,74
1315,5033,75
1365,492,76
1367,288,77
1386,1547,78
1388,20,79
1394,6174,80
1404,1169,81
1440,1320,82
1463,363,83
1476,604,84
1495,1953,85
1506,8330,86
1508,4962,87
1578,4302,88
1679,8689,89
1680,985,90
1684,3123,91
1708,4432,92
1791,9437,93
1878,2961,94
1903,349,95
1904,3647,96
1908,3072,97
1920,361,98
1925,261,99
1967,8238,100
1980,1405,101
1989,2150,102
1992,1773,103
1999,66,104
2020,2119,105
2035,43,106
2051,1327,107
2057,1094,108
2076,1277,109
2077,494,110
2095,724,111
2144,3707,112
2170,12184,113
2176,1597,114
2267,7145,115
2292,3127,116
2301,7166,117
2314,9541,118
2339,7070,119
2388,9,120
2392,8194,121
2398,2614,122
2403,3239,123
2421,3948,124
2427,48,125
2441,6097,126
2443,861,127
2456,10761,128
2474,661,129
2483,122,130
2500,1870,131
2512,240,132
2526,2940,133
2545,1955,134
2574,6070,135
2602,2314,136
2647,3644,137
2656,788,138
2662,8778,139
2676,1039,140
2747,26,141
2777,1751,142
2844,2154,143
2860,3211,144
2886,6018,145
2909,310,146
2910,1257,147
2921,5022,148
2941,627,149
2955,2133,150
2986,346,151
2989,163,152
2992,1413,153
3002,862,154
3061,136,155
3113,3146,156
3119,367,157
3138,6464,158
3166,2250,159
3168,1724,160
3170,2421,161
3176,3677,162
3192,1661,163
