seen,user_index,seed_size
89,6057,1
130,545,2
160,2840,3
182,2067,4
196,266,5
206,6638,6
207,1692,7
235,4228,8
257,459,9
280,705,10
347,1599,11
392,1103,12
445,401,13
460,60,14
473,307,15
544,547,16
572,1256,17
727,635,18
766,133,19
787,3041,20
861,14,21
902,599,22
941,1115,23
958,1731,24
967,145,25
976,1282,26
1005,6841,27
1048,9908,28
1052,989,29
1293,2033,30
1299,1033,31
1365,492,32
1367,288,33
1388,20,34
1394,6174,35
1404,1169,36
1440,1320,37
1463,363,38
1680,985,39
1708,4432,40
1791,9437,41
1903,349,42
1908,3072,43
1920,361,44
1980,1405,45
1999,66,46
2020,2119,47
2051,1327,48
2076,1277,49
2095,724,50
2267,7145,51
2388,9,52
2427,48,53
2443,861,54
2474,661,55
2483,122,56
2512,240,57
2545,1955,58
2602,2314,59
2647,3644,60
2662,8778,61
2747,26,62
2860,3211,63
2955,2133,64
3119,367,65
3166,2250,66
3168,1724,67
3221,5922,68
3231,3246,69
3235,3028,70
3317,131,71
3353,2963,72
3361,6072,73
3384,1810,74
3418,10155,75
3470,1635,76
3512,6512,77
3575,1658,78
3630,2141,79
3740,3779,80
3779,1689,81
3791,1038,82
3827,3641,83
3841,990,84
3867,8461,85
4009,315,86
4056,2409,87
4059,3530,88
4107,1188,89
4127,242,90
4173,44,91
4183,1044,92
4231,1542,93
4448,11118,94
4473,2331,95
4502,1429,96
4504,159,97
4601,885,98
4613,224,99
4615,6477,100
4638,2652,101
4643,89,102
4660,1514,103
4691,375,104
4707,164,105
4719,249,106
4885,354,107
4893,247,108
4895,192,109
4973,653,110
5019,4266,111
5060,2996,112
5065,194,113
5072,3978,114
5145,265,115
5169,295,116
5197,515,117
5211,241,118
5235,657,119
5244,3159,120
5343,1492,121
5384,105,122
5408,10070,123
5513,736,124
5538,274,125
5544,850,126
5628,6675,127
5668,92,128
5675,1059,129
5768,80,130
5806,129,131
5843,6122,132
5861,255,133
5905,2019,134
5954,2430,135
5964,23,136
5972,784,137
6016,563,138
6052,12424,139
6059,609,140
6070,6698,141
6117,1361,142
6142,2696,143
6182,6271,144
6220,7951,145
6322,638,146
6324,4854,147
6341,144,148
6370,7397,149
6383,3399,150
6387,12,151
6441,2602,152
6460,659,153
6476,238,154
6510,4919,155
6534,1032,156
6568,1665,157
6717,7070,158
6727,5597,159
6741,890,160
6830,2273,161
6874,2747,162
6882,3647,163
6955,7299,164
6982,1156,165
6999,2681,166
7006,1784,167
7051,3146,168
7207,1587,169
7223,562,170
7277,3266,171
7279,15,172
7324,954,173
7333,260,174
7373,408,175
7450,2557,176
7462,805,177
7506,797,178
7551,117,179
7599,457,180
7604,800,181
7617,835,182
7622,1888,183
7637,7417,184
7642,6693,185
7644,765,186
7666,839,187
7670,1312,188
7715,6561,189
7835,1370,190
7836,866,191
7850,1238,192
7871,4523,193
7924,3814,194
7925,815,195
7994,2297,196
7999,3462,197
8006,245,198
8017,88,199
8020,1987,200
8073,135,201
8075,750,202
8135,1520,203
8176,608,204
8184,210,205
8201,883,206
8245,7155,207
8246,1060,208
8252,3985,209
8257,3826,210
8260,72,211
8311,1589,212
8320,2621,213
8462,1458,214
8472,4499,215
8546,7097,216
8580,1067,217
8616,8991,218
8639,4089,219
8651,115,220
8659,382,221
8679,634,222
8826,1488,223
8850,8467,224
8883,1758,225
8953,509,226
8967,417,227
8992,1775,228
9065,2123,229
9186,2847,230
9223,482,231
9226,3914,232
9244,2161,233
9265,76,234
9383,4041,235
9436,4804,236
9503,316,237
9527,2389,238
9560,3852,239
9635,1391,240
9653,326,241
9692,3827,242
9703,231,243
9780,863,244
9782,251,245
9851,1394,246
9928,3051,247
10032,2595,248
10069,5591,249
10118,2773,250
10270,539,251
10361,1827,252
10386,2127,253
10392,753,254
10414,37,255
10428,4578,256
10430,409,257
10567,8987,258
10577,5000,259
10578,4085,260
10633,1515,261
10651,3651,262
10752,4280,263
10756,2845,264
10794,4002,265
10826,28,266
10857,9994,267
10982,650,268
11009,415,269
11091,474,270
11131,8322,271
11170,205,272
11187,1639,273
11241,941,274
11258,2182,275
11264,1390,276
11380,63,277
11383,220,278
11527,3209,279
11596,1528,280
11640,4900,281
11761,1890,282
11776,6244,283
11789,227,284
11810,6334,285
11820,3098,286
11831,120,287
11862,3197,288
11933,393,289
11982,6142,290
11983,511,291
12070,1159,292
12098,85,293
12147,503,294
12300,5572,295
12328,654,296
12363,793,297
12389,157,298
12449,90,299
12472,1620,300
12746,4474,301
12812,3049,302
12842,953,303
12932,285,304
13026,1162,305
13036,572,306
13052,4181,307
13080,788,308
13211,8238,309
13219,487,310
13230,6097,311
13312,305,312
13445,3913,313
13449,5712,314
13470,156,315
13505,3707,316
13550,5097,317
13581,62,318
13588,2931,319
13609,1171,320
13614,2915,321
13636,3864,322
13640,559,323
13652,3117,324
13674,1617,325
13680,4520,326
13739,6330,327
13749,2087,328
13762,4824,329
13915,1783,330
14033,5731,331
14043,299,332
14059,945,333
14095,1410,334
14112,6681,335
14184,330,336
14209,542,337
14247,5335,338
14275,1316,339
14312,531,340
14365,944,341
14376,1221,342
14389,421,343
14415,5,344
14480,2056,345
14491,2259,346
14548,5496,347
14623,2183,348
14629,1759,349
14636,460,350
14640,5893,351
14747,3792,352
14788,4708,353
14800,151,354
14804,2954,355
14840,3,356
14851,2728,357
14856,3533,358
14905,3163,359
15016,8007,360
15136,2798,361
15175,19,362
15186,1637,363
