seen,influence_threshold,user_index,ap, infScore, seed_size
46,7.59075,12,0,8.04646,1
55,7.57341,634,0,9.05526,2
71,7.57332,2061,0,7.57332,3
86,7.57263,100,0,12.1389,4
89,7.56195,512,0,8.22706,5
106,7.55905,131,0,9.75885,6
108,7.55358,246,0,7.55358,7
122,7.54386,26,0,7.61166,8
123,7.52803,140,0,8.80288,9
161,7.52593,562,0,10.1005,10
174,7.52537,695,0,9.18112,11
183,7.50879,1159,0,8.78167,12
212,7.50787,41,0,8.68972,13
296,7.4934,240,0,7.63438,14
299,7.4895,66,0,11.1753,15
300,7.46859,105,0,10.0268,16
325,7.46317,613,0,7.9397,17
342,7.45464,200,0,8.47871,18
356,7.42793,3770,0,7.96871,19
360,7.41542,145,0,7.94235,20
370,7.41133,4266,0,9.67487,21
403,7.409,196,0,10.1112,22
411,7.40094,1690,0,7.94231,23
460,7.36523,646,0,9.3335,24
472,7.35973,885,0,8.94407,25
479,7.34473,535,0,9.97398,26
485,7.33699,2747,0,9.77179,27
491,7.33263,2625,0,7.55905,28
502,7.32669,151,0,7.36523,29
503,7.32421,417,0,9.29606,30
516,7.31264,23,0,8.13032,31
530,7.30037,1405,0,7.30037,32
543,7.29606,606,0,13.1396,33
583,7.29534,6573,0,9.07313,34
594,7.29288,307,0,11.4342,35
598,7.2722,724,0,7.50787,36
611,7.26216,359,0,7.46859,37
614,7.26048,156,0,9.79655,38
639,7.25681,210,0,10.9941,39
648,7.25085,1520,0,8.16807,40
661,7.23142,2314,0,8.79557,41
665,7.21797,515,0,8.29272,42
669,7.21568,239,0,12.2331,43
674,7.21368,545,0,8.31238,44
676,7.20729,267,0,7.74762,45
679,7.18559,705,0,9.68416,46
681,7.18037,1784,0,7.90545,47
701,7.18025,1312,0,7.90075,48
728,7.17657,2703,0,7.67994,49
733,7.17476,328,0,7.66294,50
754,7.17111,4579,0,7.32421,51
757,7.16769,599,0,9.99503,52
791,7.1632,1514,0,7.75383,53
823,7.14081,1775,0,7.42793,54
833,7.125,442,0,7.63613,55
866,7.11551,482,0,8.34599,56
868,7.11111,608,0,7.74321,57
869,7.1091,1361,0,7.64232,58
871,7.10686,412,0,9.37237,59
890,7.09688,474,0,14.4821,60
900,7.08361,624,0,7.25681,61
908,7.06869,68,0,7.1091,62
909,7.06719,563,0,12.3986,63
926,7.06518,553,0,7.17657,64
929,7.03862,150,0,7.95801,65
941,7.01478,192,0,9.12082,66
947,7.0126,266,0,8.72514,67
970,7.01022,72,0,8.05152,68
990,7.00513,2017,0,7.54386,69
992,6.99033,363,0,10.259,70
1001,6.98317,639,0,14.7735,71
1091,6.97627,124,0,13.4617,72
1116,6.95569,6675,0,9.18389,73
1132,6.95171,230,0,8.62902,74
1144,6.94286,122,0,7.08361,75
1145,6.94157,396,0,7.06518,76
1162,6.87793,326,0,10.127,77
1184,6.87373,525,0,8.49775,78
1216,6.85956,60,0,9.08987,79
1218,6.85831,27,0,8.70971,80
1231,6.85317,1987,0,9.64822,81
1241,6.84603,3978,0,7.52803,82
1244,6.83523,382,0,8.51156,83
1254,6.83503,1370,0,8.17444,84
1255,6.8279,1449,0,8.8891,85
1259,6.81843,793,0,8.8679,86
1292,6.7956,2247,0,7.29534,87
1316,6.79049,4824,0,10.7107,88
1336,6.78982,1521,0,6.85831,89
1348,6.77859,128,0,11.1219,90
1358,6.77685,415,0,8.16549,91
1370,6.7682,985,0,7.76932,92
1383,6.75558,638,0,8.69951,93
1405,6.75436,247,0,8.01771,94
1410,6.74892,866,0,9.89587,95
1412,6.74678,1810,0,6.98317,96
1434,6.72902,2067,0,8.55859,97
1453,6.7238,6638,0,10.6347,98
1457,6.72117,1869,0,7.80602,99
1492,6.71614,4181,0,7.00513,100
1500,6.71531,2119,0,6.87373,101
