seen,influence_threshold,user_index,ap, infScore, seed_size
12,3,6515,0,3.24365,1
16,3,2505,0,6.34761,2
19,3,4444,0,4.58701,3
26,3,5440,0,3.33333,4
28,3,5022,0,5.11667,5
29,3,911,0,5.09722,6
32,3,1286,0,5.60065,7
33,3,716,0,3.29928,8
36,3,656,0,3.71216,9
37,3,4156,0,3.64689,10
41,3,4578,0,5.83275,11
43,3,1153,0,5.56656,12
45,3,2540,0,5.76118,13
46,3,12,0,8.04646,14
47,3,168,0,4.56738,15
49,3,278,0,4.28833,16
50,3,6583,0,6.27356,17
52,3,487,0,5.77994,18
55,3,634,0,9.05526,19
57,3,54,0,3.46586,20
58,3,78,0.0666667,4.47274,21
59,3,6894,0,3.62905,22
60,3,4488,0,4.5,23
61,3,1658,0,7.01478,24
62,3,3478,0,3.65969,25
65,3,2832,0,6.12744,26
67,3,954,0,6.43191,27
71,3,2061,0,7.57332,28
74,3,112,0,4.50134,29
75,3,4586,0,4.00415,30
77,3,3344,0,6.84603,31
78,3,5136,0,3.89574,32
81,3,16,0,3.04009,33
84,3,5987,0,3.00176,34
86,3,100,0.0310059,12.1389,35
87,3,4470,0,3.55509,36
89,3,512,0,8.22706,37
90,3,5554,0.0769231,3.26003,38
91,3,4349,0,3.21212,39
93,3,4915,0,3.25,40
94,3,1378,0,3.50924,41
98,3,5266,0,3.16667,42
100,3,5199,0,3,43
103,3,7597,0,3.39295,44
104,3,283,0.0833333,4.86619,45
106,3,131,0,9.75885,46
108,3,246,0.027027,7.55358,47
109,3,87,0,4.76344,48
110,3,329,0.04,4.87991,49
112,3,10484,0,3.5,50
114,3,9928,0,3,51
119,3,690,0,6.81843,52
120,3,1960,0,4.54514,53
122,3,26,0.027027,7.61166,54
123,3,140,0.030303,8.80288,55
127,3,15103,0,3,56
129,3,2036,0,3.05534,57
130,3,9596,0,3.33333,58
131,3,558,0,3.45962,59
134,3,3673,0,5.08615,60
136,3,3226,0,3.33333,61
138,3,13895,0,3,62
139,3,548,0.0833333,3.47739,63
145,3,7779,0,3.63907,64
146,3,11168,0,3,65
152,3,2970,0,4.19987,66
153,3,687,0,4.73253,67
156,3,3195,0,3.48448,68
157,3,901,0,4.36667,69
158,3,9922,0,3.39951,70
161,3,562,0,10.1005,71
165,3,6157,0,3.48413,72
171,3,3684,0,7.41542,73
172,3,77,0.0588235,6.01744,74
173,3,5871,0,3,75
174,3,695,0,9.18112,76
176,3,647,0,3.96345,77
177,3,624,0,7.25681,78
178,3,2435,0,3.08333,79
180,3,1436,0,3.61513,80
182,3,3073,0,3.36133,81
183,3,1159,0,8.78167,82
191,3,1888,0,5.93908,83
193,3,1401,0,3.20101,84
196,3,5176,0,7.46317,85
201,3,3429,0,4.1215,86
206,3,2784,0,4.09682,87
208,3,1510,0,3.26667,88
209,3,157,0.0333333,6.67071,89
212,3,41,0,8.68972,90
213,3,880,0.0909091,3.85942,91
215,3,4875,0.0769231,3.14508,92
217,3,1570,0,6.59138,93
219,3,2071,0.0784,4.23551,94
223,3,557,0.0769231,4.41682,95
225,3,5601,0,3.10139,96
226,3,19,0.0677765,7.26216,97
228,3,8415,0,3.25,98
229,3,747,0.0769231,3.75982,99
230,3,3482,0.0714286,3.70699,100
232,3,9246,0,3,101
233,3,10757,0,3.18283,102
234,3,4039,0,3.11382,103
236,3,4518,0,5.7578,104
237,3,1171,0,7.29606,105
238,3,4831,0,3.30196,106
239,3,3211,0,6.68295,107
240,3,758,0.0769231,4.06683,108
244,3,438,0,3.17372,109
249,3,5995,0,4.36239,110
250,3,2247,0,7.29534,111
257,3,765,0.047619,6.4568,112
259,3,12526,0,3,113
262,3,1794,0,3.39622,114
263,3,265,0.0856657,6.75558,115
265,3,2938,0,3.75465,116
267,3,8004,0,3,117
269,3,2069,0.0666667,4.91646,118
271,3,8238,0,5.30952,119
280,3,9149,0,3.58752,120
281,3,8400,0.0526316,4.98982,121
285,3,396,0,7.06518,122
287,3,3864,0.0526316,4.96327,123
289,3,82,0,4.20692,124
291,3,5813,0.0714286,4.69091,125
295,3,1212,0,5.19193,126
296,3,240,0.047619,7.63438,127
297,3,12847,0,3,128
299,3,66,0.0681575,11.1753,129
300,3,105,0.0285714,10.0268,130
302,3,2619,0,3.91406,131
304,3,420,0,4.03129,132
305,3,8147,0,3.90045,133
308,3,13389,0,3,134
312,3,8123,0,3,135
313,3,4660,0,3,136
316,3,5623,0,4.28522,137
319,3,174,0.0666667,3.5144,138
321,3,2080,0.0666667,4.81964,139
323,3,1569,0.0666667,4.37674,140
324,3,8,0.0999222,6.55948,141
328,3,3157,0,3.70614,142
331,3,737,0,3.79512,143
334,3,2820,0,4.80239,144
336,3,79,0.0815973,5.14404,145
337,3,10255,0,3,146
338,3,5179,0,3,147
339,3,6483,0,3.62686,148
340,3,1515,0.0555556,7.06719,149
342,3,200,0.0749675,8.47871,150
343,3,3791,0.0625,6.44518,151
344,3,991,0.0666667,4.12411,152
347,3,1324,0,3.38333,153
348,3,2117,0.0555556,4.776,154
349,3,2840,0.0434783,7.23142,155
351,3,8556,0,3.10889,156
354,3,6481,0.1,3.52161,157
356,3,3770,0.0555556,7.96871,158
358,3,14612,0,3,159
360,3,145,0.037037,7.94235,160
362,3,8267,0,3.79713,161
363,3,4432,0.1,6.62036,162
365,3,3677,0,4.44707,163
367,3,834,0.0588235,4.67326,164
368,3,1460,0,5.31871,165
370,3,4266,0,9.67487,166
372,3,7295,0,5.44319,167
373,3,11433,0,3.1,168
378,3,13059,0,3.5,169
381,3,9706,0,3,170
383,3,1824,0,4.80402,171
384,3,10946,0,4.45799,172
388,3,502,0.0909091,3.03362,173
389,3,858,0,6.2077,174
390,3,6071,0,3.43486,175
393,3,744,0.04,6.40138,176
394,3,1736,0,4.243,177
397,3,3498,0,3.4769,178
400,3,7547,0,3.5,179
401,3,1710,0,4.25,180
403,3,196,0.05659,10.1112,181
404,3,8630,0,3.54281,182
407,3,788,0.0625,5.21146,183
411,3,1690,0.047619,7.94231,184
413,3,688,0.0625,7.01022,185
414,3,1099,0,3.29744,186
418,3,47,0,4.50563,187
420,3,5965,0,4.46299,188
421,3,11262,0,3.44652,189
