seen,user_index,seed_size
55,634,1
86,100,2
106,131,3
123,140,4
161,562,5
174,695,6
183,1159,7
212,41,8
299,66,9
300,105,10
342,200,11
370,4266,12
403,196,13
460,646,14
472,885,15
479,535,16
485,2747,17
503,417,18
543,606,19
583,6573,20
594,307,21
614,156,22
639,210,23
661,2314,24
665,515,25
669,239,26
674,545,27
679,705,28
757,599,29
866,482,30
871,412,31
890,474,32
909,563,33
941,192,34
947,266,35
970,72,36
992,363,37
1001,639,38
1091,124,39
1116,6675,40
1132,230,41
1162,326,42
1184,525,43
1216,60,44
1218,27,45
1231,1987,46
1244,382,47
1254,1370,48
1255,1449,49
1259,793,50
1316,4824,51
1348,128,52
1358,415,53
1383,638,54
1405,247,55
1410,866,56
1434,2067,57
1453,6638,58
1457,1869,59
