seen,user_index,seed_size
16,2505,1
28,5022,2
29,911,3
32,1286,4
41,4578,5
43,1153,6
45,2540,7
46,12,8
50,6583,9
52,487,10
55,634,11
61,1658,12
65,2832,13
67,954,14
71,2061,15
77,3344,16
86,100,17
89,512,18
104,283,19
106,131,20
108,246,21
109,87,22
110,329,23
119,690,24
122,26,25
123,140,26
134,3673,27
153,687,28
161,562,29
164,1645,30
171,3684,31
172,77,32
174,695,33
177,624,34
183,1159,35
191,1888,36
196,5176,37
209,157,38
212,41,39
217,1570,40
226,19,41
236,4518,42
237,1171,43
239,3211,44
250,2247,45
257,765,46
263,265,47
269,2069,48
271,8238,49
281,8400,50
282,566,51
285,396,52
287,3864,53
291,5813,54
295,1212,55
296,240,56
299,66,57
300,105,58
321,2080,59
324,8,60
325,613,61
334,2820,62
336,79,63
340,1515,64
342,200,65
343,3791,66
348,2117,67
349,2840,68
356,3770,69
360,145,70
363,4432,71
367,834,72
368,1460,73
370,4266,74
371,2178,75
372,7295,76
383,1824,77
389,858,78
393,744,79
403,196,80
407,788,81
411,1690,82
413,688,83
423,8322,84
426,5020,85
429,56,86
430,3533,87
460,646,88
464,531,89
468,194,90
472,885,91
479,535,92
482,2119,93
485,2747,94
491,2625,95
496,629,96
498,7299,97
502,151,98
503,417,99
511,2518,100
514,238,101
516,23,102
518,750,103
519,129,104
524,2705,105
527,3696,106
530,1405,107
531,164,108
534,2602,109
535,6698,110
540,205,111
543,606,112
547,1755,113
554,3094,114
558,653,115
563,850,116
568,8194,117
572,2954,118
576,3146,119
583,6573,120
589,5211,121
590,887,122
594,307,123
595,7397,124
598,724,125
605,335,126
609,4919,127
611,359,128
614,156,129
619,3028,130
626,2123,131
639,210,132
644,231,133
648,1520,134
650,539,135
656,2075,136
661,2314,137
665,515,138
669,239,139
674,545,140
676,267,141
679,705,142
681,1784,143
683,4085,144
694,8297,145
701,1312,146
702,1221,147
704,498,148
709,6250,149
718,12424,150
723,6561,151
726,1059,152
727,3792,153
728,2703,154
733,328,155
747,6479,156
751,2019,157
753,3098,158
754,4579,159
757,599,160
768,1852,161
773,2716,162
785,316,163
791,1514,164
795,953,165
805,8689,166
823,1775,167
827,511,168
829,5231,169
833,442,170
834,4495,171
845,74,172
855,6122,173
858,288,174
863,2141,175
866,482,176
868,608,177
869,1361,178
871,412,179
882,3779,180
890,474,181
895,1724,182
902,5936,183
907,1587,184
908,68,185
909,563,186
926,553,187
929,150,188
937,118,189
941,192,190
947,266,191
952,3663,192
953,48,193
954,44,194
969,11078,195
970,72,196
982,163,197
984,2800,198
985,863,199
988,1655,200
990,2017,201
991,268,202
992,363,203
1001,639,204
1004,815,205
1005,1528,206
1009,209,207
1021,31,208
1023,1037,209
1033,409,210
1036,3197,211
1037,4,212
1040,3214,213
1046,2407,214
1049,1394,215
1051,990,216
1053,436,217
1067,741,218
1071,11155,219
1074,176,220
1076,3163,221
1077,5389,222
1091,124,223
1092,1313,224
1094,509,225
1098,1954,226
1116,6675,227
1119,8330,228
1123,2696,229
1129,168,230
1132,230,231
1133,6684,232
1144,122,233
1162,326,234
1166,3474,235
1173,1198,236
1176,1547,237
1182,4158,238
1184,525,239
1191,6225,240
1197,383,241
1205,2644,242
1207,1967,243
1215,1362,244
1216,60,245
1217,3707,246
1218,27,247
1219,7639,248
1220,2237,249
1230,800,250
1231,1987,251
1233,804,252
1241,3978,253
1244,382,254
1248,1146,255
1251,6002,256
1254,1370,257
1255,1449,258
1257,6252,259
1259,793,260
1262,57,261
1272,6512,262
1275,1912,263
1278,2056,264
1282,1060,265
1285,3266,266
1293,1098,267
1295,4931,268
1298,2091,269
1300,234,270
1303,757,271
1307,214,272
1315,375,273
1316,4824,274
1319,3320,275
1324,1010,276
1336,1521,277
1346,1793,278
1348,128,279
1352,13354,280
1358,415,281
1364,38,282
1365,8450,283
1366,524,284
1369,361,285
1370,985,286
1383,638,287
1386,1597,288
1398,770,289
1405,247,290
1408,1316,291
1410,866,292
1412,1810,293
1427,2430,294
1434,2067,295
1439,10752,296
1443,8987,297
1453,6638,298
1457,1869,299
1464,7145,300
1471,721,301
1475,4252,302
1492,4181,303
1502,658,304
1503,799,305
1515,245,306
1517,460,307
1519,1610,308
