seen,user_index,seed_size
89,6057,1
130,545,2
160,2840,3
182,2067,4
196,266,5
206,6638,6
207,1692,7
257,459,8
280,705,9
347,1599,10
392,1103,11
445,401,12
460,60,13
473,307,14
544,547,15
572,1256,16
727,635,17
766,133,18
787,3041,19
861,14,20
902,599,21
941,1115,22
958,1731,23
967,145,24
976,1282,25
1048,9908,26
1052,989,27
1293,2033,28
1299,1033,29
1388,20,30
1394,6174,31
1404,1169,32
1440,1320,33
1463,363,34
1680,985,35
1708,4432,36
1903,349,37
1980,1405,38
1999,66,39
2020,2119,40
2051,1327,41
2076,1277,42
2095,724,43
2267,7145,44
2388,9,45
2427,48,46
2443,861,47
2474,661,48
2483,122,49
2512,240,50
2545,1955,51
2602,2314,52
2647,3644,53
2747,26,54
2860,3211,55
2955,2133,56
3119,367,57
3166,2250,58
3221,5922,59
3231,3246,60
3235,3028,61
3317,131,62
3353,2963,63
3361,6072,64
3384,1810,65
3470,1635,66
3575,1658,67
3630,2141,68
3740,3779,69
3779,1689,70
3791,1038,71
3827,3641,72
3867,8461,73
4009,315,74
4056,2409,75
4107,1188,76
4127,242,77
4183,1044,78
4473,2331,79
4502,1429,80
4504,159,81
4601,885,82
4613,224,83
4615,6477,84
4643,89,85
4660,1514,86
4707,164,87
4719,249,88
4885,354,89
4893,247,90
4895,192,91
5019,4266,92
5072,3978,93
5145,265,94
5169,295,95
5197,515,96
5211,241,97
5235,657,98
5343,1492,99
5384,105,100
5538,274,101
5628,6675,102
5668,92,103
5768,80,104
5806,129,105
5809,9437,106
5843,6122,107
5861,255,108
5964,23,109
5972,784,110
6016,563,111
6059,609,112
6117,1361,113
6142,2696,114
6182,6271,115
6322,638,116
6324,4854,117
6341,144,118
6370,7397,119
6387,12,120
6441,2602,121
6476,238,122
6510,4919,123
6534,1032,124
6741,890,125
6742,653,126
6830,2273,127
6874,2747,128
6955,7299,129
6982,1156,130
6999,2681,131
7006,1784,132
7149,375,133
7207,1587,134
7223,562,135
7232,3159,136
7277,3266,137
7279,15,138
7324,954,139
7333,260,140
7462,805,141
7506,797,142
7551,117,143
7599,457,144
7604,800,145
7617,835,146
7622,1888,147
7637,7417,148
7642,6693,149
7644,765,150
7666,839,151
7670,1312,152
7715,6561,153
7835,1370,154
7836,866,155
7850,1238,156
7871,4523,157
7999,3462,158
8006,245,159
8017,88,160
8020,1987,161
8073,135,162
8075,750,163
8135,1520,164
8176,608,165
8184,210,166
8246,1060,167
8257,3826,168
8260,72,169
8279,990,170
8311,1589,171
8462,1458,172
8580,1067,173
8616,8991,174
8639,4089,175
8651,115,176
8659,382,177
8679,634,178
8839,2996,179
8850,8467,180
8883,1758,181
8967,417,182
8992,1775,183
9065,2123,184
9150,1665,185
9223,482,186
9226,3914,187
9244,2161,188
9265,76,189
9436,4804,190
9503,316,191
9527,2389,192
9560,3852,193
9635,1391,194
9653,326,195
9654,194,196
9692,3827,197
9703,231,198
9782,251,199
9838,1542,200
9928,3051,201
10069,5591,202
10118,2773,203
10361,1827,204
10386,2127,205
10392,753,206
10414,37,207
10428,4578,208
10567,8987,209
10633,1515,210
10651,3651,211
10752,4280,212
10826,28,213
10982,650,214
11009,415,215
11091,474,216
11187,1639,217
11241,941,218
11258,2182,219
11264,1390,220
11380,63,221
11383,220,222
11527,3209,223
11596,1528,224
11621,1059,225
11669,509,226
11687,408,227
11761,1890,228
11776,6244,229
11789,227,230
11810,6334,231
11831,120,232
11933,393,233
11982,6142,234
11983,511,235
12070,1159,236
12098,85,237
12147,503,238
12363,793,239
12389,157,240
12449,90,241
12513,9994,242
12842,953,243
12862,11118,244
13026,1162,245
13036,572,246
13052,4181,247
13137,6841,248
13219,487,249
13312,305,250
13449,5712,251
13470,156,252
13505,3707,253
13550,5097,254
13581,62,255
13588,2931,256
13609,1171,257
13614,2915,258
13640,559,259
13680,4520,260
13762,4824,261
13996,815,262
14010,850,263
14033,5731,264
14043,299,265
14059,945,266
14095,1410,267
14112,6681,268
14127,2430,269
14209,542,270
14247,5335,271
14365,944,272
14415,5,273
14491,2259,274
14629,1759,275
14636,460,276
14767,8322,277
14800,151,278
14804,2954,279
14856,3533,280
14905,3163,281
15136,2798,282
15175,19,283
15186,1637,284
