Dataset: nethept
STREAM: model = inNOut_repeat|  size = 1522
RTIM: k = 200 | theta_ap = 0.98 | reach = 2
------------------------------------------------------------
position  user_id   ap(user)    sigma_old(user)  sigma_new(user)  theta_I   rtim_status                  seed_size imm_status
1         6886      0           1.67159          -                6.42778   ignored (score too low)      -         -         
2         2487      0           2.17857          -                6.42778   ignored (score too low)      -         -         
3         4115      0           2.25             -                6.42778   ignored (score too low)      -         -         
4         5040      0           2.11111          -                6.42778   ignored (score too low)      -         -         
5         10283     0           2.06349          -                6.42778   ignored (score too low)      -         -         
6         9311      0           2.25             -                6.42778   ignored (score too low)      -         -         
7         14149     0           2.38297          -                6.42778   ignored (score too low)      -         -         
8         9097      0           2.15676          -                6.42778   ignored (score too low)      -         -         
9         13657     0           2.16197          -                6.42778   ignored (score too low)      -         -         
10        14077     0           1.87676          -                6.42778   ignored (score too low)      -         -         
11        7987      0           2.61528          -                6.42778   ignored (score too low)      -         -         
12        6515      0           3.24365          -                6.42778   ignored (score too low)      -         -         
13        7427      0           2.06071          -                6.42778   ignored (score too low)      -         -         
14        4549      0           1.90704          -                6.42778   ignored (score too low)      -         -         
15        6672      0           1.78453          -                6.42778   ignored (score too low)      -         -         
16        2505      0           6.34761          -                6.42778   ignored (score too low)      -         targeted  
17        1975      0           2.0625           -                6.42778   ignored (score too low)      -         -         
18        7784      0           2.00972          -                6.42778   ignored (score too low)      -         -         
19        4444      0           4.58701          -                6.42778   ignored (score too low)      -         -         
20        5467      0           2.05903          -                6.42778   ignored (score too low)      -         -         
21        7684      0           2.10556          -                6.42778   ignored (score too low)      -         -         
22        10817     0           1.94335          -                6.42778   ignored (score too low)      -         -         
23        1233      0           2.33217          -                6.42778   ignored (score too low)      -         -         
24        11255     0           2.12659          -                6.42778   ignored (score too low)      -         -         
25        11225     0           1.94066          -                6.42778   ignored (score too low)      -         -         
26        5440      0           3.33333          -                6.42778   ignored (score too low)      -         -         
27        2482      0           1.99675          -                6.42778   ignored (score too low)      -         -         
28        5022      0           5.11667          -                6.42778   ignored (score too low)      -         -         
29        911       0           5.09722          -                6.42778   ignored (score too low)      -         -         
30        12667     0           1.46468          -                6.42778   ignored (score too low)      -         -         
31        10705     0           2.11111          -                6.42778   ignored (score too low)      -         -         
32        1286      0           5.60065          -                6.42778   ignored (score too low)      -         -         
33        716       0           3.29928          -                6.42778   ignored (score too low)      -         -         
34        8733      0           2.35485          -                6.42778   ignored (score too low)      -         -         
35        11428     0           2.06138          -                6.42778   ignored (score too low)      -         -         
36        656       0           3.71216          -                6.42778   ignored (score too low)      -         -         
37        4156      0           3.64689          -                6.42778   ignored (score too low)      -         -         
38        339       0           2.02418          -                6.42778   ignored (score too low)      -         -         
39        12252     0           2.20808          -                6.42778   ignored (score too low)      -         -         
40        13174     0           1.88889          -                6.42778   ignored (score too low)      -         -         
