seen,user_index,seed_size
9421,84005,1
18207,195482,2
31515,93984,3
60452,65103,4
90039,44071,5
92053,8194,6
111679,42549,7
117455,989260,8
124878,42383,9
138310,74747,10
147755,497362,11
200107,999538,12
204334,46375,13
222247,12313,14
227913,78756,15
232595,248955,16
236237,94826,17
239670,71452,18
250761,43918,19
265437,69725,20
267780,195578,21
295877,987460,22
303587,112832,23
312039,42572,24
318041,81796,25
337469,42380,26
344510,4636,27
353373,43898,28
366318,69887,29
385122,3267,30
399346,43000,31
403376,1180596,32
404623,4034,33
407137,42495,34
440617,65760,35
448978,46276,36
455456,43734,37
498801,42712,38
508621,67680,39
538838,73574,40
543814,461288,41
551682,75077,42
556538,992486,43
587562,49218,44
587660,73310,45
599673,641649,46
609399,80704,47
610858,307337,48
632057,84041,49
636114,1398287,50
652116,42823,51
666782,2667,52
691319,43587,53
744687,1011056,54
753583,42164,55
758677,42976,56
776733,1070356,57
776892,533908,58
792784,42808,59
823604,42609,60
824064,471747,61
831561,150493,62
836010,1013011,63
851138,43030,64
862421,249594,65
866963,85758,66
886870,1089100,67
889975,99433,68
925038,46150,69
937374,83432,70
954685,42395,71
991316,1108539,72
