seen,user_index,seed_size
161,43295,1
163,55965,2
198,42826,3
231,43030,4
268,43607,5
379,42828,6
712,195578,7
763,90501,8
984,42609,9
1124,22217,10
1167,356089,11
1174,43717,12
1601,195647,13
1739,42427,14
1763,42213,15
2095,999538,16
2573,43804,17
2696,1004389,18
2837,377663,19
3060,248093,20
3178,43230,21
3248,44051,22
3521,996849,23
3544,714700,24
3724,249435,25
3813,1108539,26
3904,43513,27
3993,43366,28
4108,42628,29
4607,44148,30
4665,992798,31
4719,460700,32
4861,995857,33
4873,42395,34
5026,989281,35
5031,990318,36
5063,42986,37
5255,42807,38
5278,119081,39
5329,477377,40
5585,65384,41
5872,997741,42
5883,43587,43
6160,533903,44
6433,989302,45
6585,99433,46
6734,43213,47
6793,43612,48
6852,359064,49
7068,42527,50
7089,42572,51
7465,468392,52
7839,43429,53
8147,42164,54
8299,307337,55
8467,42383,56
8490,476412,57
8812,42281,58
8929,44114,59
8957,224655,60
9246,998284,61
9585,43918,62
10130,42595,63
10476,999338,64
10926,43901,65
11002,83432,66
11423,43727,67
11642,461288,68
11889,1083925,69
12153,42393,70
12422,55903,71
12481,8159,72
13070,248707,73
13111,306962,74
13249,476386,75
13805,42524,76
13878,1011056,77
14346,42513,78
14751,8122,79
14772,55938,80
15122,32768,81
15154,42976,82
15335,42591,83
15469,43167,84
16354,195675,85
16357,30634,86
16456,42823,87
16480,42642,88
16756,43029,89
17041,65760,90
17346,43664,91
17483,44071,92
17616,42603,93
17791,42181,94
17883,497362,95
17897,42380,96
18228,42436,97
18413,42712,98
18699,43244,99
19220,42651,100
19665,195482,101
19792,461757,102
20202,46277,103
20223,45161,104
20424,42147,105
20694,55990,106
20897,46375,107
22032,94826,108
22270,1013011,109
22781,476128,110
22816,42529,111
23563,1012721,112
23634,150493,113
24422,307319,114
24813,248955,115
25783,42191,116
26668,43642,117
26718,46315,118
27708,42924,119
28333,497093,120
28354,994737,121
28536,476176,122
28703,43440,123
28765,356940,124
28860,249594,125
29371,985058,126
30027,42549,127
30356,42247,128
30431,248085,129
30861,999251,130
31204,43191,131
31255,81796,132
31397,992486,133
32815,509743,134
33007,46439,135
33248,248944,136
33880,8194,137
33939,1070356,138
34130,42153,139
35510,42430,140
35533,46431,141
35716,991860,142
36719,1002038,143
36762,467351,144
36798,534192,145
37236,42495,146
39000,240420,147
40277,42808,148
40750,1129001,149
41182,42962,150
41907,42662,151
42240,44240,152
42979,42156,153
43945,43734,154
45303,1398287,155
45537,4636,156
45667,1180596,157
48078,43411,158
48579,44197,159
49387,446174,160
50620,43898,161
50785,102115,162
52424,476477,163
52511,12953,164
52628,43357,165
57755,43132,166
58231,994590,167
58879,43205,168
60481,446486,169
61590,186056,170
66909,26777,171
70359,184624,172
76888,71719,173
79539,476154,174
82666,44038,175
85348,992234,176
85610,1030389,177
94983,468777,178
98846,116297,179
103437,84041,180
108973,41028,181
112132,73310,182
118727,50512,183
130190,45336,184
130365,45759,185
133411,8174,186
153120,987,187
177851,2667,188
240082,84005,189
244110,65117,190
265577,8253,191
