seen,user_index,seed_size
9421,84005,1
18207,195482,2
92053,8194,3
111679,42549,4
147755,497362,5
204334,46375,6
232595,248955,7
236237,94826,8
250761,43918,9
267780,195578,10
312039,42572,11
337469,42380,12
344510,4636,13
353373,43898,14
407137,42495,15
440617,65760,16
498801,42712,17
543814,461288,18
610858,307337,19
636114,1398287,20
652116,42823,21
691319,43587,22
744687,1011056,23
753583,42164,24
758677,42976,25
792784,42808,26
823604,42609,27
836010,1013011,28
851138,43030,29
862421,249594,30
954685,42395,31
