fileName,k,epsilon,startDatetime,endDatetime,duration,seedSize,estimatedScore
orkut,50,0.5,Thu Nov  8 09:19:13 2018,Thu Nov  8 09:19:28 2018,14.904,50,162611
orkut,50,0.1,Thu Nov  8 09:19:28 2018,Thu Nov  8 09:22:55 2018,207.006,50,164576
orkut,100,0.5,Thu Nov  8 09:22:55 2018,Thu Nov  8 09:23:01 2018,5.83694,100,205332
orkut,100,0.1,Thu Nov  8 09:23:01 2018,Thu Nov  8 09:24:37 2018,95.731,100,205540
orkut,150,0.5,Thu Nov  8 09:24:37 2018,Thu Nov  8 09:24:46 2018,8.93441,150,229912
orkut,150,0.1,Thu Nov  8 09:24:46 2018,Thu Nov  8 09:26:14 2018,87.5386,150,229839
orkut,200,0.5,Thu Nov  8 09:26:14 2018,Thu Nov  8 09:26:26 2018,11.8938,200,247620
orkut,200,0.1,Thu Nov  8 09:26:26 2018,Thu Nov  8 09:27:50 2018,83.3023,200,247278
orkut,250,0.5,Thu Nov  8 09:27:50 2018,Thu Nov  8 09:28:05 2018,14.907,250,261795
orkut,250,0.1,Thu Nov  8 09:28:05 2018,Thu Nov  8 09:29:26 2018,80.8602,250,261721
orkut,300,0.5,Thu Nov  8 09:29:27 2018,Thu Nov  8 09:29:45 2018,17.7353,300,274354
orkut,300,0.1,Thu Nov  8 09:29:45 2018,Thu Nov  8 09:31:21 2018,95.7473,300,274476
