dataset,streamModel,streamVersion,streamSize,reach,theta_ap,depth,maxSeedSize,actualSeedSize,maxUpdateTime,runtime
orkut,uniform_rand_repeat,1,1000000,1,0.8,2,800,800,0.000132,2.54103
orkut,uniform_rand_repeat,1,1000000,0.5,0.8,2,800,800,0.000136,2.56851
orkut,uniform_rand_repeat,1,1000000,0.25,0.8,2,800,800,0.000209,2.57738
orkut,uniform_rand_repeat,1,1000000,0.1,0.8,2,800,800,0.000268,2.69374
orkut,uniform_rand_repeat,1,1000000,0.05,0.8,2,800,491,0.000269,2.73686
orkut,uniform_rand_repeat,1,1000000,0.025,0.8,2,800,263,0.00024,2.70828
orkut,uniform_rand_repeat,1,1000000,0.025,0.8,2,800,263,0.000237,2.70393
orkut,uniform_rand_repeat,1,1000000,0.01,0.8,2,800,89,0.000283,2.70197
orkut,inNOut_repeat,1,307244,1,0.8,2,800,800,0.000172,0.039786
orkut,inNOut_repeat,1,307244,0.5,0.8,2,800,800,0.000326,0.05918
orkut,inNOut_repeat,1,307244,0.25,0.8,2,800,800,0.000345,0.064235
orkut,inNOut_repeat,1,307244,0.1,0.8,2,800,800,0.000349,0.079135
orkut,inNOut_repeat,1,307244,0.05,0.8,2,800,800,0.000352,0.089583
orkut,inNOut_repeat,1,307244,0.025,0.8,2,800,800,0.000352,0.101153
orkut,inNOut_repeat,1,307244,0.01,0.8,2,800,800,0.000349,0.130495
orkut,inNOut_repeat,1,307244,0.005,0.8,2,800,709,0.000323,0.147635
orkut,inNOut_repeat,1,307244,0.0025,0.8,2,800,472,0.00035,0.135924
orkut,inNOut_repeat,1,307244,0.001,0.8,2,800,287,0.00035,0.125371
orkut,inNOut_repeat,1,307244,0.0005,0.8,2,800,172,0.000362,0.113898
