seen,user_index,seed_size
869,989053,1
1058,1000965,2
4315,1364278,3
8840,42435,4
9421,84005,5
9696,998072,6
10098,153940,7
11877,453058,8
14915,43410,9
18207,195482,10
18607,81568,11
20085,93308,12
28685,249700,13
30403,40938,14
31515,93984,15
31924,23495,16
35097,90728,17
35744,72003,18
36329,44875,19
38564,476100,20
40699,149613,21
42888,483600,22
45461,55835,23
46064,472052,24
50621,1903725,25
52653,1012560,26
59858,42506,27
60452,65103,28
69691,1002424,29
74081,991440,30
80035,42391,31
80878,909337,32
81427,6414,33
82604,1026730,34
82640,1243234,35
83287,1006621,36
83528,23461,37
85293,1000867,38
86247,43496,39
88893,997880,40
88965,65173,41
90039,44071,42
91021,989391,43
92053,8194,44
94516,55894,45
99229,43648,46
107012,1010909,47
109702,992636,48
110757,94906,49
111679,42549,50
113335,43692,51
113686,95184,52
115124,75244,53
116184,68305,54
117455,989260,55
120092,307507,56
120963,43780,57
121997,1090338,58
122188,91436,59
124750,43542,60
124878,42383,61
126220,44244,62
127657,43502,63
129395,1109389,64
130896,200423,65
133007,989221,66
137378,91461,67
138310,74747,68
145315,1012798,69
145957,70148,70
147755,497362,71
148179,1095250,72
148252,85692,73
148278,83595,74
148919,43416,75
152390,359844,76
160144,42315,77
163551,1198914,78
174814,1517411,79
176832,71841,80
177003,461777,81
177265,1018131,82
181846,733669,83
183045,1029644,84
184166,43533,85
188484,1210444,86
191611,195555,87
193489,81546,88
193607,358774,89
193823,22281,90
195582,69055,91
197409,1000167,92
198703,43952,93
199125,991658,94
200107,999538,95
202342,1007009,96
202456,990878,97
203240,77921,98
204334,46375,99
207039,1153410,100
209984,74947,101
212097,1006007,102
213976,95035,103
214543,1009661,104
215236,44048,105
218824,42235,106
222247,12313,107
222611,42964,108
223315,103938,109
224129,43462,110
224366,354030,111
227913,78756,112
231161,202171,113
232595,248955,114
233682,1006492,115
234492,39579,116
236237,94826,117
239670,71452,118
241668,42425,119
241711,533782,120
241750,44213,121
241950,43747,122
243769,69893,123
248390,43909,124
248860,65102,125
248916,1001370,126
250761,43918,127
253294,42629,128
257823,371988,129
264177,1002815,130
264374,43162,131
265437,69725,132
267780,195578,133
267787,1014791,134
269959,248962,135
281067,991953,136
281632,108907,137
285075,65141,138
290778,361452,139
292204,58487,140
292893,445918,141
293788,1004011,142
295067,1021698,143
295845,1083502,144
295877,987460,145
296191,360607,146
297636,247897,147
302198,42445,148
304986,1069530,149
306643,74457,150
307549,43794,151
310393,43609,152
311929,54816,153
312039,42572,154
312822,87847,155
314956,248135,156
318041,81796,157
318267,1002524,158
324813,42710,159
328551,65169,160
330261,1081894,161
330881,45471,162
331722,95002,163
333214,43711,164
337469,42380,165
338301,57001,166
338949,43278,167
339913,42381,168
340045,1033256,169
340420,133583,170
343555,1043068,171
344510,4636,172
347375,43059,173
349652,41084,174
349999,1061459,175
350084,1026210,176
350242,42596,177
351446,149614,178
352262,11076,179
353373,43898,180
355807,474771,181
360684,1037505,182
361811,43636,183
365738,59907,184
366318,69887,185
