seen,user_index,seed_size
161,43295,1
163,55965,2
198,42826,3
231,43030,4
268,43607,5
379,42828,6
763,90501,7
984,42609,8
1739,42427,9
3248,44051,10
3544,714700,11
4873,42395,12
5278,119081,13
5585,65384,14
7068,42527,15
7839,43429,16
8147,42164,17
8299,307337,18
8929,44114,19
9585,43918,20
10123,195647,21
10926,43901,22
11423,43727,23
11889,1083925,24
12422,55903,25
12481,8159,26
12592,992798,27
12795,468392,28
13111,306962,29
14751,8122,30
14772,55938,31
15122,32768,32
15430,43612,33
15469,43167,34
16357,30634,35
16456,42823,36
17041,65760,37
17616,42603,38
18228,42436,39
18413,42712,40
19220,42651,41
19388,43029,42
20202,46277,43
20223,45161,44
20694,55990,45
21142,42281,46
22032,94826,47
22816,42529,48
23695,477377,49
23954,249435,50
24609,195578,51
26690,996849,52
26718,46315,53
28703,43440,54
28765,356940,55
28860,249594,56
30027,42549,57
30356,42247,58
32488,42642,59
32721,44148,60
33007,46439,61
33880,8194,62
33889,997741,63
35510,42430,64
35597,1013011,65
35674,43804,66
36730,476386,67
36798,534192,68
37236,42495,69
37436,509743,70
37810,43717,71
39155,43366,72
39336,42153,73
39854,461757,74
40211,43642,75
40277,42808,76
40750,1129001,77
40966,248707,78
41182,42962,79
41346,989281,80
41365,533903,81
41907,42662,82
42979,42156,83
44024,1012721,84
45303,1398287,85
45794,42591,86
46444,999251,87
47027,43244,88
48078,43411,89
48324,42191,90
48579,44197,91
49387,446174,92
49783,1070356,93
50620,43898,94
50666,43191,95
52628,43357,96
52718,42572,97
53339,43213,98
55306,42986,99
57755,43132,100
57769,998284,101
58408,992486,102
58666,497362,103
58911,990318,104
59858,476128,105
60481,446486,106
61045,46431,107
63689,195482,108
66909,26777,109
69950,467351,110
70307,42976,111
70359,184624,112
75540,476176,113
76233,377663,114
79053,476477,115
81068,356089,116
82666,44038,117
83650,42595,118
84100,42213,119
84660,248955,120
85348,992234,121
85610,1030389,122
85928,42513,123
86351,461288,124
86568,248944,125
88325,460700,126
88766,1108539,127
89762,999538,128
92546,43513,129
93629,44240,130
93685,1002038,131
94251,533908,132
94983,468777,133
95871,248093,134
95886,1436180,135
98105,994590,136
98846,116297,137
100593,42380,138
103126,534183,139
103144,471747,140
103500,44071,141
103648,42524,142
103662,476154,143
103689,985058,144
103979,42393,145
103995,991860,146
104999,43734,147
106026,307319,148
107810,42383,149
108346,42342,150
110442,42147,151
111279,43585,152
112036,476412,153
114588,42671,154
114736,999338,155
116525,248085,156
117041,43230,157
121792,42896,158
126473,43231,159
129206,1011056,160
130190,45336,161
131514,186056,162
133411,8174,163
136407,497093,164
136426,42818,165
136575,42924,166
137038,43821,167
137371,51976,168
140352,459810,169
140561,42628,170
141992,44165,171
142256,42807,172
143762,468997,173
144837,43587,174
144858,989260,175
145019,991970,176
146610,989302,177
146942,43205,178
147207,51984,179
147296,43104,180
147348,42290,181
147514,106937,182
147618,1133712,183
147928,999665,184
148807,195675,185
149303,44022,186
149489,1015007,187
150369,240420,188
150582,44105,189
151159,43939,190
154180,43000,191
156055,43494,192
156581,43777,193
157061,42181,194
158233,359064,195
159593,43605,196
159976,43171,197
160518,988482,198
163391,43765,199
163469,224655,200
164132,43664,201
165015,42589,202
167018,1004389,203
167340,1012246,204
168379,995857,205
168839,42435,206
169050,42698,207
169379,1180596,208
169811,1098981,209
171603,42223,210
171928,67680,211
172593,42345,212
176262,12953,213
177713,1183754,214
177761,994737,215
178027,468949,216
179017,95060,217
180177,358774,218
183001,43750,219
184416,1033281,220
184887,46375,221
184951,989274,222
187060,43503,223
190653,42220,224
191261,43836,225
193242,359298,226
195014,42604,227
195447,43456,228
197100,307019,229
200304,1008972,230
203027,42256,231
203746,44213,232
204801,991631,233
207167,497378,234
207418,43505,235
207757,42539,236
207889,992311,237
211142,43795,238
213152,44080,239
213668,455367,240
217294,43125,241
219694,42428,242
222735,55894,243
223281,359636,244
223867,360436,245
226732,1129123,246
226902,43207,247
228893,987460,248
233726,42553,249
234180,42587,250
235670,43843,251
240638,42630,252
241295,182115,253
242211,1030837,254
242246,43142,255
243658,42964,256
244262,999577,257
244418,42432,258
246936,1071043,259
247200,43993,260
253621,361452,261
253737,1089100,262
253913,247944,263
256719,42927,264
258246,1007408,265
259981,1125289,266
261690,1108203,267
262885,82474,268
263945,4636,269
264249,43715,270
264277,446416,271
265194,476465,272
267043,42910,273
269769,43874,274
272712,999431,275
272900,991333,276
273235,991343,277
281059,989221,278
284109,43431,279
285702,43559,280
286553,991440,281
291908,1002278,282
292309,44048,283
296162,102115,284
299406,42938,285
302069,248133,286
305528,43255,287
