seen,user_index,seed_size
1,132544,1
3,1313894,2
19,1049264,3
21,1006256,4
38,995943,5
40,11553,6
42,991658,7
43,91264,8
49,1928093,9
50,43207,10
52,468601,11
57,161419,12
62,1016132,13
79,827650,14
105,36956,15
113,1138797,16
118,356711,17
131,1037649,18
140,20405,19
147,249093,20
161,43295,21
163,55965,22
187,987883,23
195,474083,24
198,42826,25
209,1315106,26
217,857209,27
220,1019645,28
231,43030,29
236,467710,30
248,1024771,31
268,43607,32
275,1024143,33
288,999612,34
290,484907,35
296,1021916,36
302,476297,37
308,42505,38
313,131832,39
362,65690,40
371,44233,41
374,41327,42
378,44043,43
379,42828,44
385,990515,45
400,1008218,46
426,1000205,47
437,43937,48
441,533734,49
444,43749,50
459,1004469,51
483,1066242,52
494,1390053,53
538,468386,54
547,52124,55
550,10477,56
552,452692,57
558,248133,58
569,1053901,59
585,368648,60
605,83983,61
623,118796,62
625,42256,63
636,717,64
642,42550,65
647,1019704,66
655,81198,67
667,697379,68
705,1023742,69
708,43023,70
712,195578,71
713,248936,72
719,55610,73
720,1106282,74
743,1454,75
747,1111018,76
763,90501,77
768,79088,78
782,76538,79
787,990407,80
792,44042,81
812,1142616,82
814,223095,83
841,354747,84
857,1000190,85
871,131949,86
876,295282,87
887,12728,88
900,1010289,89
931,991440,90
933,1010238,91
934,1004462,92
944,55777,93
954,131243,94
959,1018497,95
968,196683,96
978,992659,97
984,42609,98
996,43874,99
1010,126484,100
1016,306785,101
1084,249498,102
1102,704152,103
1124,22217,104
1160,1018395,105
1161,999577,106
1165,227002,107
1167,356089,108
1174,43717,109
1186,1541989,110
1190,703739,111
1199,1073737,112
1200,232310,113
1202,2292237,114
1257,1054646,115
1267,42944,116
1274,1020563,117
1276,340954,118
1291,148667,119
1293,43270,120
1328,4329,121
1333,1019272,122
1343,457099,123
1349,113851,124
1364,995951,125
1365,1108824,126
1372,1018408,127
1409,177902,128
1448,1097009,129
1452,225139,130
1455,991520,131
1457,1002380,132
1462,704270,133
1490,1071694,134
1492,2104439,135
1494,1006347,136
1496,1035468,137
1537,1094873,138
1550,995470,139
1555,155951,140
1565,1070293,141
1601,195647,142
1630,2166378,143
1642,44005,144
1645,173544,145
1657,991681,146
1668,1028490,147
1672,157725,148
1680,991942,149
1683,1054564,150
1686,59380,151
1687,42391,152
1690,1008605,153
1739,42427,154
1741,1037532,155
1757,1025524,156
1763,42213,157
1772,379398,158
1785,695366,159
1792,577285,160
1810,1173684,161
1818,49649,162
1823,160233,163
1831,42322,164
1838,1531709,165
1864,77070,166
1866,43502,167
1872,160486,168
1885,363450,169
1930,1007453,170
1938,235813,171
1954,51242,172
1960,514723,173
1962,988181,174
1984,10853,175
2014,999357,176
2019,1164047,177
2032,1237846,178
2035,1109561,179
2048,1004650,180
2053,987985,181
2059,43350,182
2065,553105,183
2080,464597,184
2095,999538,185
2107,42655,186
2123,192904,187
2128,776611,188
2131,1069082,189
2132,1019686,190
2133,1022055,191
2137,992817,192
2140,306932,193
2148,842034,194
2173,2107225,195
2195,1105839,196
2201,50388,197
2218,360713,198
2225,989264,199
2230,1019306,200
2239,1069530,201
2264,1142383,202
2278,132269,203
2305,147940,204
2306,835925,205
2310,1666294,206
2311,357941,207
2330,51949,208
2332,361404,209
2352,1071331,210
2353,95120,211
2355,39358,212
2362,55894,213
2367,11735,214
2372,426946,215
2373,446299,216
2389,1327122,217
2415,145851,218
2424,1143347,219
2429,533130,220
2456,105582,221
2465,999673,222
2479,1053796,223
2481,42428,224
2499,1023369,225
2504,34403,226
2516,991771,227
2530,358844,228
2544,22320,229
2550,697721,230
2552,42373,231
2573,43804,232
2583,432393,233
2594,999162,234
2599,1008793,235
2613,990350,236
2619,43503,237
2620,557551,238
2637,1005070,239
2644,1238217,240
2647,1038407,241
2656,493482,242
2662,175603,243
2663,46160,244
2669,1142754,245
2671,217396,246
2674,1014001,247
2681,1107098,248
2686,1056745,249
2696,1004389,250
2697,1021068,251
2707,1022876,252
2710,1077027,253
2711,1004562,254
2716,865109,255
2720,339277,256
2761,457503,257
2770,1002494,258
2786,335288,259
2802,1004466,260
2824,463599,261
2825,1053772,262
2834,1077255,263
2837,377663,264
2843,1016254,265
2862,489841,266
2864,819781,267
2867,1100740,268
2875,19923,269
2880,1004719,270
2897,1545163,271
2901,43718,272
2927,998031,273
2959,987862,274
2961,362497,275
2977,797729,276
2979,43919,277
2992,533309,278
3003,1070998,279
3016,1065047,280
3027,42562,281
3029,1226603,282
3030,19159,283
3050,1039120,284
3052,699856,285
3054,372894,286
3060,248093,287
3071,157114,288
3077,132434,289
3123,1559338,290
3130,355819,291
3148,366530,292
3154,314289,293
3159,1199134,294
3175,992768,295
3177,1067752,296
3178,43230,297
3183,1032427,298
3187,249354,299
3188,97248,300
3213,1345710,301
3215,1368377,302
3248,44051,303
3249,1193146,304
3268,363490,305
3329,306952,306
3336,1031790,307
3346,104528,308
3360,641512,309
3371,76238,310
3384,1062389,311
3385,989260,312
3387,508566,313
3393,1004774,314
3402,1125894,315
3419,1184611,316
3437,455367,317
3443,362073,318
3447,350264,319
3455,562785,320
3462,470396,321
3495,1043294,322
3501,42283,323
3521,996849,324
3536,474594,325
3544,714700,326
3567,363353,327
3577,1402132,328
3591,177653,329
3594,1162454,330
3596,43394,331
3617,1036274,332
3621,118789,333
3636,534247,334
3652,2054831,335
3692,1118558,336
3712,1184274,337
3717,1120367,338
3719,55779,339
3724,249435,340
3726,1002274,341
3728,809557,342
3730,641056,343
3740,533285,344
3750,92484,345
3753,248135,346
3758,1109706,347
3781,1007444,348
3783,43409,349
3792,96139,350
3796,228513,351
3797,1047897,352
3805,75596,353
3808,1019261,354
3813,1108539,355
3844,307486,356
3859,1263000,357
3861,1079822,358
3875,447620,359
3879,2232,360
3886,1403721,361
3888,1188325,362
3900,44056,363
3904,43513,364
3922,1054940,365
3937,534183,366
3947,354217,367
3948,1133435,368
3954,354117,369
3968,123687,370
3990,476484,371
3991,249185,372
3993,43366,373
4003,582753,374
4010,1006492,375
4013,43456,376
4018,1011782,377
4023,76427,378
4043,208897,379
4052,355987,380
4055,108840,381
4066,152886,382
4076,1091773,383
4083,42687,384
4095,1014369,385
4101,33069,386
4108,42628,387
4116,1038322,388
4131,95114,389
4140,67843,390
4149,2321,391
4150,149655,392
4153,42744,393
4166,1095355,394
4167,20456,395
4173,1036824,396
4184,1253242,397
4227,476228,398
4228,170980,399
4229,995314,400
4244,1884225,401
4251,83792,402
4277,1180618,403
4289,1066393,404
4293,83558,405
4299,925115,406
4333,44030,407
4336,729890,408
4353,1016912,409
4382,108960,410
4390,18209,411
4423,1423291,412
4431,74796,413
4466,85698,414
4481,1334379,415
4490,1536087,416
4491,783907,417
4492,81528,418
4505,778723,419
4517,249252,420
4522,1012057,421
4534,1904680,422
4555,1052879,423
4558,1006328,424
4568,248827,425
4585,9233,426
4592,989404,427
4603,269555,428
4607,44148,429
4610,11067,430
4626,720812,431
4640,84818,432
4643,1011259,433
4648,307529,434
4665,992798,435
4672,1277745,436
4699,476441,437
4705,1011824,438
4719,460700,439
4731,1118007,440
4749,364267,441
4756,1009098,442
4777,473512,443
4782,465104,444
4783,1046331,445
4806,1153513,446
4816,43897,447
4818,42559,448
4825,1005484,449
4827,1078513,450
4831,1014270,451
4857,1002815,452
4861,995857,453
4862,297582,454
4869,1190802,455
4873,42395,456
4876,94114,457
4921,86503,458
4933,320037,459
4950,1008972,460
4952,1015667,461
4968,443818,462
4970,1035049,463
4976,1004424,464
4984,44707,465
4993,195916,466
5000,95073,467
5006,1007109,468
5011,369451,469
5014,1022447,470
5026,989281,471
5031,990318,472
5038,115920,473
5055,1023137,474
5063,42986,475
5064,726127,476
5066,472732,477
5081,43389,478
5092,44048,479
5108,60609,480
5112,42338,481
5127,1311748,482
5129,989108,483
5132,83136,484
5149,40660,485
5150,1025503,486
5151,42476,487
5159,1758532,488
5163,722851,489
5191,362737,490
5194,1382,491
5195,1296732,492
5213,251762,493
5232,187183,494
5235,1097005,495
5255,42807,496
5278,119081,497
5288,358344,498
5290,43256,499
5294,27265,500
5305,472199,501
5309,14701,502
5321,758153,503
5329,477377,504
5342,626829,505
5348,999597,506
