seen,user_index,seed_size
154,232310,1
488,185098,2
690,1012956,3
784,167051,4
869,989053,5
1057,42934,6
1058,1000965,7
1359,16511,8
1503,95253,9
2449,99766,10
2814,2079668,11
3463,1005035,12
4104,1055838,13
4139,1003384,14
4315,1364278,15
5627,44151,16
5691,94879,17
7011,157531,18
7953,39583,19
8840,42435,20
9421,84005,21
9637,520121,22
9696,998072,23
10008,1062241,24
10098,153940,25
10148,2039694,26
11162,1006289,27
11312,1882226,28
11730,246286,29
11877,453058,30
12183,116446,31
12347,45609,32
12661,1018632,33
13502,60268,34
14260,45645,35
14456,1002233,36
14891,220946,37
14915,43410,38
15455,1391598,39
15514,526330,40
16076,1946,41
16471,1340336,42
16831,66637,43
17118,14561,44
18024,455423,45
18207,195482,46
18607,81568,47
19372,94859,48
19408,43338,49
19412,166359,50
20085,93308,51
21053,2169636,52
21600,1307,53
22122,103716,54
22234,1061965,55
22551,46413,56
22930,57564,57
23047,1200674,58
23542,118805,59
24766,347510,60
25227,142977,61
26067,71590,62
26670,442286,63
27420,2164164,64
27920,225235,65
28376,1541989,66
28591,1002389,67
28685,249700,68
28889,93423,69
30182,103200,70
30241,368659,71
30359,43070,72
30403,40938,73
30787,56201,74
30867,157267,75
31340,95159,76
31515,93984,77
31924,23495,78
32088,276297,79
32660,2166662,80
32818,466066,81
33436,465922,82
33642,64488,83
33862,1097282,84
33987,457502,85
34891,2646301,86
35097,90728,87
35445,77271,88
35744,72003,89
35846,1021984,90
35943,268277,91
36329,44875,92
36816,1070555,93
37193,352749,94
37549,6488,95
38391,34402,96
38438,224332,97
38564,476100,98
38587,134082,99
40392,53694,100
40682,105287,101
40699,149613,102
41104,45623,103
41271,30373,104
41396,369076,105
41569,695343,106
41867,1015688,107
42507,471923,108
42888,483600,109
43003,1002057,110
44022,71433,111
44908,149634,112
45461,55835,113
46064,472052,114
46302,39565,115
47075,212246,116
47300,373089,117
48994,195898,118
49415,2094,119
49707,16610,120
50568,81626,121
50581,1094851,122
50621,1903725,123
50694,731343,124
52259,307496,125
52653,1012560,126
52897,1101624,127
54763,94848,128
55222,22090,129
55340,239050,130
55354,513599,131
55872,119403,132
55919,1012753,133
56214,1525459,134
56624,1009217,135
57257,43015,136
57514,421178,137
57649,152247,138
57738,1326305,139
57776,75804,140
58069,96238,141
58921,999439,142
59345,45627,143
59858,42506,144
59897,242137,145
60452,65103,146
61570,1890922,147
62260,1064960,148
63771,999185,149
64892,349241,150
65095,970034,151
65303,43640,152
66212,592196,153
67428,57593,154
67472,335612,155
67692,249572,156
67798,136525,157
67953,43226,158
68596,1384333,159
69208,79857,160
69631,116841,161
69691,1002424,162
70334,2164348,163
70397,477694,164
70416,562998,165
70781,1021510,166
70938,42876,167
71493,54,168
73700,999162,169
73763,998115,170
73985,1037976,171
74081,991440,172
74421,991763,173
74531,359987,174
74572,1261493,175
74606,729885,176
76762,694151,177
76920,990520,178
77763,704049,179
77778,82696,180
78973,141444,181
80007,1044496,182
80035,42391,183
80826,116494,184
80842,146232,185
80878,909337,186
80926,1001222,187
81096,42443,188
81218,112888,189
81427,6414,190
81472,57329,191
81635,68407,192
81942,301,193
82597,728279,194
82604,1026730,195
82640,1243234,196
82953,30155,197
83123,59350,198
83137,67428,199
83287,1006621,200
83528,23461,201
83953,146362,202
84284,1044429,203
85293,1000867,204
85344,55754,205
85660,42297,206
85898,259537,207
86199,59375,208
86247,43496,209
86434,249354,210
86505,18820,211
86784,365516,212
87246,5479,213
87648,1052567,214
88150,1155490,215
88893,997880,216
88965,65173,217
88983,160820,218
89137,1191396,219
89632,42224,220
90039,44071,221
90111,497391,222
90173,41416,223
90771,1986514,224
91021,989391,225
91224,60338,226
92053,8194,227
92442,42735,228
93438,4684,229
93746,353826,230
93892,364854,231
94465,42519,232
94516,55894,233
95607,86907,234
96578,95132,235
96741,85942,236
97570,108855,237
99229,43648,238
99581,44021,239
99642,7133,240
100159,90491,241
100331,43723,242
101094,43425,243
101343,1283677,244
101814,361573,245
101927,243248,246
102343,254993,247
102466,54887,248
103047,111295,249
103579,1150805,250
103951,364085,251
104581,695429,252
106491,44947,253
107012,1010909,254
108613,577281,255
108946,43972,256
109702,992636,257
110251,42299,258
110757,94906,259
110992,999677,260
111058,44273,261
111252,1118724,262
111312,998907,263
111679,42549,264
111772,48080,265
111828,57435,266
112240,358309,267
112778,1011062,268
113335,43692,269
113559,1055476,270
113686,95184,271
114890,364630,272
115124,75244,273
115578,81565,274
116091,991749,275
116184,68305,276
116680,995946,277
116803,54844,278
116940,43659,279
117455,989260,280
118017,82227,281
118411,1240,282
118435,42981,283
120092,307507,284
120930,22069,285
120963,43780,286
121997,1090338,287
122188,91436,288
