seen,user_index,seed_size
4,364327,1
11,922229,2
56,81987,3
70,1152786,4
154,232310,5
258,123201,6
488,185098,7
563,323189,8
584,1065627,9
607,1000354,10
690,1012956,11
784,167051,12
815,28410,13
869,989053,14
979,1301849,15
1057,42934,16
1058,1000965,17
1225,55662,18
1359,16511,19
1425,608639,20
1430,1005229,21
1454,1013023,22
1476,309448,23
1503,95253,24
1683,1043031,25
1785,43872,26
1821,874642,27
1964,1122931,28
1992,1065497,29
2074,1008075,30
2113,1053079,31
2117,171136,32
2141,597207,33
2278,1011659,34
2288,77903,35
2302,1397056,36
2327,1031792,37
2351,18798,38
2449,99766,39
2671,102458,40
2682,1030254,41
2698,9948,42
2814,2079668,43
2930,106580,44
2955,1454947,45
3000,604764,46
3054,1051878,47
3154,45521,48
3257,1110491,49
3340,226375,50
3346,728134,51
3405,37625,52
3413,1347584,53
3463,1005035,54
3922,20798,55
4104,1055838,56
4139,1003384,57
4293,347884,58
4315,1364278,59
4339,1100141,60
4360,45068,61
4547,107017,62
4583,1041558,63
4668,710331,64
4695,2178565,65
4999,1918192,66
5411,1064675,67
5485,47757,68
5570,1047641,69
5627,44151,70
5691,94879,71
5735,36174,72
5787,464264,73
5944,414132,74
6078,1009768,75
6081,1904186,76
6167,1408282,77
6447,44652,78
6756,470075,79
6920,321584,80
6968,1053491,81
7011,157531,82
7021,30131,83
7299,1432780,84
7307,95388,85
7373,915275,86
7659,1031319,87
7683,404534,88
7816,119420,89
7833,249051,90
7953,39583,91
7991,1025150,92
8020,1013355,93
8120,45453,94
8268,43714,95
8320,695650,96
8641,474727,97
8700,1086063,98
8840,42435,99
8842,1104374,100
8874,835294,101
8940,41327,102
9000,1346976,103
9159,1960819,104
9421,84005,105
9637,520121,106
9696,998072,107
10008,1062241,108
10009,128478,109
10098,153940,110
10148,2039694,111
10245,1102131,112
10324,1043967,113
10343,354131,114
10404,123972,115
10475,1122041,116
10550,195692,117
10646,1007296,118
10735,90110,119
10775,1016245,120
10811,1331422,121
10909,7621,122
10969,347091,123
10977,468519,124
10998,927616,125
11023,1017328,126
11162,1006289,127
11312,1882226,128
11326,56787,129
11655,216303,130
11730,246286,131
11872,135918,132
11877,453058,133
11921,1132467,134
12151,832269,135
12183,116446,136
12347,45609,137
12472,1359945,138
12570,44222,139
12579,195963,140
12597,1464190,141
12661,1018632,142
12768,297573,143
12838,1257301,144
13005,1130066,145
13197,1043088,146
13321,1261288,147
13502,60268,148
13801,50115,149
13905,1041721,150
14086,1058230,151
14157,1022443,152
14260,45645,153
14339,1121594,154
14378,154970,155
14426,1021205,156
14452,1531709,157
14456,1002233,158
14721,989323,159
14728,1118631,160
14836,42424,161
14891,220946,162
14895,1023884,163
14915,43410,164
15291,83506,165
15295,1012068,166
15346,128062,167
15455,1391598,168
15514,526330,169
15598,358775,170
15604,42779,171
15685,1032472,172
16076,1946,173
16286,1021757,174
16471,1340336,175
16622,800609,176
16769,92274,177
16831,66637,178
16925,350562,179
16930,58112,180
16990,92524,181
16994,331087,182
17093,1112140,183
17118,14561,184
17255,105917,185
17291,1008580,186
17463,64095,187
17514,990724,188
17947,22845,189
18024,455423,190
18063,988087,191
18207,195482,192
18514,184965,193
18549,348734,194
18607,81568,195
18608,95099,196
18646,1377272,197
18704,617828,198
18883,86456,199
18953,523868,200
19195,95107,201
19217,49493,202
19253,108463,203
19270,30385,204
19305,4815,205
19372,94859,206
19408,43338,207
19412,166359,208
19577,508579,209
19804,976200,210
19825,77877,211
19948,31739,212
20067,1083066,213
20085,93308,214
20225,1221353,215
20777,1337388,216
21012,307607,217
21040,1091847,218
21053,2169636,219
21588,1040794,220
21600,1307,221
22090,969325,222
22122,103716,223
22234,1061965,224
22267,1090312,225
22279,865992,226
22531,1092759,227
22547,224159,228
22551,46413,229
22858,12858,230
22930,57564,231
23047,1200674,232
23192,353981,233
23242,1109993,234
23467,740083,235
23542,118805,236
23821,479519,237
23885,471685,238
24049,1175109,239
24097,46270,240
24244,190580,241
24369,1360753,242
24401,987555,243
24693,1054303,244
24766,347510,245
24837,1539615,246
24938,295721,247
24954,1068753,248
25107,976510,249
25227,142977,250
25488,832750,251
25509,136601,252
25635,168529,253
25646,1659404,254
25665,153411,255
25746,226388,256
25752,566325,257
25849,142971,258
26067,71590,259
