seen,user_index,seed_size
9,2972404,1
14,5083255,2
19,2414071,3
31,3845988,4
41,208968,5
50,4815490,6
59,14981,7
67,174987,8
87,3700,9
109,403597,10
124,3013423,11
127,798057,12
148,19277008,13
167,5662907,14
175,1135393,15
184,3353728,16
223,4867980,17
231,60712,18
247,91836,19
298,9208197,20
303,6682483,21
314,453564,22
316,3713008,23
323,2032323,24
342,77577,25
349,4870943,26
368,5261664,27
370,4476618,28
382,2583596,29
390,2366713,30
397,40175,31
398,172941,32
400,42463,33
402,10267961,34
405,965666,35
435,4597021,36
440,11470211,37
456,6837396,38
463,146809,39
471,299,40
473,4081105,41
483,10076664,42
488,11979194,43
503,3148941,44
506,2469422,45
512,12245921,46
518,140199,47
555,1141506,48
603,12596354,49
617,7590350,50
642,2875528,51
644,34593,52
653,8843078,53
670,81887,54
700,1865584,55
780,1449542,56
785,5824533,57
854,3949570,58
865,6917667,59
885,9279019,60
903,2149861,61
962,19571,62
1000,337774,63
1061,630365,64
1074,2830596,65
1146,4748122,66
1172,2886542,67
1180,41599,68
1259,1605290,69
1268,168811,70
1445,4444667,71
1448,6271199,72
1505,1309784,73
1526,5759085,74
1536,3947763,75
1542,1697648,76
1557,11676399,77
1580,1302958,78
1587,334405,79
1589,119352,80
1656,2217247,81
1776,6219991,82
1795,14567016,83
1813,48226,84
1827,226859,85
1860,7664670,86
1980,5187329,87
1992,0,88
2067,911416,89
2068,7695453,90
2106,194215,91
2111,1128434,92
2132,145986,93
2150,2499792,94
2151,8288756,95
2179,5577016,96
2220,154344,97
2249,2532057,98
2250,7503205,99
2288,14107065,100
2292,14142324,101
2298,271354,102
2358,3072423,103
2378,298759,104
2448,1561607,105
2564,4894694,106
2568,2011062,107
2570,4100982,108
2668,334363,109
2700,213790,110
2743,11667553,111
2751,12207823,112
2803,1445642,113
2828,16496316,114
2865,289821,115
2971,5651567,116
2974,5151008,117
3007,677143,118
3078,1683546,119
3234,6338728,120
3238,1837967,121
3275,7007002,122
3344,4082907,123
3411,7,124
3430,5421656,125
3434,593595,126
3446,142676,127
3545,1181107,128
3548,5299544,129
3706,53645,130
3768,1629767,131
3772,11201340,132
3827,25391,133
3832,3216086,134
3904,6467200,135
3926,916043,136
3959,1875356,137
3965,14570767,138
4004,5887366,139
4045,1935160,140
4089,6637125,141
4107,5164879,142
4111,4368171,143
4118,6527203,144
4150,2886414,145
4225,5066900,146
4310,4393,147
4424,1504822,148
4447,811778,149
4515,7970688,150
4517,3185392,151
4636,8760897,152
4660,296872,153
4727,5347996,154
4732,12272965,155
4741,206099,156
4810,4998216,157
4859,7072388,158
4900,2561450,159
4959,4384780,160
5043,1260893,161
5081,581614,162
5084,3575683,163
5173,601724,164
5187,6858255,165
5658,5012036,166
5770,1489956,167
5897,5985453,168
6075,128,169
6250,3658153,170
6394,27932498,171
6722,5004428,172
7002,1376047,173
7174,11178855,174
7292,34009,175
7302,4876513,176
7339,3777714,177
8032,10715087,178
8154,1,179
8403,807765,180
9410,248971,181
9450,63329,182
9521,17700959,183
9527,25592491,184
9724,16063,185
10998,9070545,186
12065,54773,187
13150,1992054,188
13710,3954703,189
13774,112765,190
16206,2190708,191
18067,1140605,192
26424,7914136,193
27030,4512826,194
27413,8897863,195
30478,1676052,196
34404,4161527,197
34633,3164343,198
62690,58188,199
73146,13619896,200
