seen,user_index,seed_size
1,562,1
9,2972404,2
10,2357022,3
14,5083255,4
19,2414071,5
22,16034,6
31,3845988,7
34,1192527,8
37,12506949,9
41,208968,10
50,4815490,11
51,13265474,12
52,649150,13
59,14981,14
62,5920164,15
63,225660,16
67,174987,17
74,40790,18
85,6890579,19
87,3700,20
98,1007621,21
109,403597,22
124,3013423,23
127,798057,24
140,16654879,25
148,19277008,26
167,5662907,27
171,2940421,28
173,1097321,29
175,1135393,30
184,3353728,31
197,13222709,32
203,779178,33
223,4867980,34
231,60712,35
235,6526691,36
245,2612909,37
247,91836,38
298,9208197,39
302,31164,40
303,6682483,41
312,10914837,42
314,453564,43
316,3713008,44
318,67355,45
323,2032323,46
326,25412,47
334,12985444,48
337,1732,49
342,77577,50
345,5223690,51
346,2711516,52
349,4870943,53
359,3688957,54
368,5261664,55
370,4476618,56
377,1018982,57
382,2583596,58
387,3462535,59
390,2366713,60
397,40175,61
398,172941,62
400,42463,63
402,10267961,64
405,965666,65
411,13664848,66
435,4597021,67
440,11470211,68
449,4600285,69
454,4972897,70
456,6837396,71
463,146809,72
471,299,73
473,4081105,74
474,3696454,75
478,8071144,76
483,10076664,77
485,4444703,78
488,11979194,79
489,94531,80
490,2424065,81
501,10531310,82
503,3148941,83
506,2469422,84
512,12245921,85
518,140199,86
546,4262,87
555,1141506,88
577,4931179,89
583,6635639,90
585,2144501,91
593,1349932,92
603,12596354,93
606,11610631,94
617,7590350,95
619,833364,96
627,3991761,97
628,2797100,98
629,4298170,99
632,5122012,100
642,2875528,101
644,34593,102
653,8843078,103
659,3366845,104
670,81887,105
682,9723175,106
697,18100405,107
700,1865584,108
707,20813957,109
709,413838,110
750,4006848,111
766,1318962,112
780,1449542,113
785,5824533,114
789,388303,115
798,656198,116
806,430050,117
833,4983671,118
835,146854,119
840,10672725,120
841,13296076,121
845,5747486,122
846,329754,123
848,5727122,124
854,3949570,125
865,6917667,126
884,25587802,127
885,9279019,128
901,3405398,129
903,2149861,130
912,2259846,131
927,9071090,132
930,482833,133
958,3817489,134
961,21682,135
962,19571,136
971,2089025,137
996,3244123,138
1000,337774,139
1008,321597,140
1011,28321,141
1057,3794,142
1061,630365,143
1074,2830596,144
1102,1956064,145
1108,798556,146
1118,3268967,147
1121,8495261,148
1129,2024443,149
1132,7182651,150
1146,4748122,151
1155,1122835,152
1172,2886542,153
1180,41599,154
1214,23976122,155
1216,1392493,156
1230,345442,157
1259,1605290,158
1265,10070539,159
1268,168811,160
1347,31853827,161
1354,14143836,162
1367,284716,163
1413,4229950,164
1445,4444667,165
1448,6271199,166
1505,1309784,167
1524,3938345,168
1526,5759085,169
1530,3669597,170
1536,3947763,171
1542,1697648,172
1543,5163599,173
1547,3949887,174
1557,11676399,175
1566,4804029,176
1577,2260091,177
1580,1302958,178
1587,334405,179
1589,119352,180
1593,93924,181
1600,6760711,182
1636,12929257,183
1640,560829,184
1643,23511230,185
1645,886544,186
1656,2217247,187
1657,5015896,188
1669,10136505,189
1701,2126550,190
1709,39526,191
1710,1119268,192
1729,8747,193
1776,6219991,194
1795,14567016,195
1808,8332565,196
1813,48226,197
1827,226859,198
1833,5979348,199
1855,4320315,200
1860,7664670,201
1863,4145009,202
1883,17412369,203
1904,5935362,204
1928,2498339,205
1937,4082196,206
1959,11210604,207
1980,5187329,208
1992,0,209
1999,2064621,210
2032,5190999,211
2041,694284,212
2067,911416,213
2068,7695453,214
2106,194215,215
2111,1128434,216
2116,10094129,217
2130,102373,218
2132,145986,219
2149,3869107,220
2150,2499792,221
2151,8288756,222
2153,24546229,223
2164,254418,224
2165,15593131,225
2171,5338450,226
2175,908955,227
2179,5577016,228
2209,4290441,229
2220,154344,230
2245,135649,231
2249,2532057,232
2250,7503205,233
2282,3361621,234
2288,14107065,235
2292,14142324,236
2294,23871288,237
2298,271354,238
2316,13226995,239
2337,1911538,240
2345,418383,241
2355,1533235,242
2357,5555170,243
2358,3072423,244
2378,298759,245
2399,800601,246
2445,3929695,247
2448,1561607,248
2451,2341353,249
2467,3925001,250
2475,5325781,251
2482,3829450,252
2559,222199,253
2564,4894694,254
2568,2011062,255
2570,4100982,256
2609,2706832,257
2634,4462150,258
2668,334363,259
2694,4069634,260
2700,213790,261
2705,864602,262
2717,4406103,263
2727,1843279,264
2729,5694561,265
2743,11667553,266
2751,12207823,267
2776,1125942,268
2788,169111,269
2789,9697537,270
2801,16120789,271
2803,1445642,272
2828,16496316,273
2845,33170471,274
2855,1152735,275
2864,10170362,276
2865,289821,277
2875,3689334,278
2899,705696,279
2946,714921,280
2971,5651567,281
2973,5083158,282
2974,5151008,283
2982,800315,284
3007,677143,285
3012,541589,286
3031,532071,287
3044,10034976,288
3047,4058231,289
3078,1683546,290
3091,10748073,291
3095,3021307,292
3149,3993287,293
3172,5101919,294
3183,2221028,295
3219,1565798,296
3234,6338728,297
3235,5854668,298
3238,1837967,299
3275,7007002,300
3297,54133,301
3299,7896011,302
3344,4082907,303
3350,892034,304
3355,15394187,305
3367,298913,306
3370,4480303,307
3386,11743697,308
3393,1411555,309
3409,42357,310
3411,7,311
3430,5421656,312
3433,20072526,313
3434,593595,314
3440,12803471,315
3446,142676,316
3494,285748,317
3523,288074,318
3537,8866392,319
3545,1181107,320
3548,5299544,321
3565,2880025,322
3569,2148325,323
3594,1874354,324
3626,3202475,325
3629,3475758,326
3645,1832010,327
3648,9075737,328
3654,88516,329
3658,25839063,330
3664,2014292,331
3672,15416676,332
3675,637690,333
3706,53645,334
3727,2729452,335
3762,7538041,336
3768,1629767,337
3771,12457493,338
3772,11201340,339
3773,29186,340
3781,2909310,341
3791,3386497,342
3800,2599578,343
3827,25391,344
3832,3216086,345
3839,12445576,346
3842,580566,347
3845,2314261,348
3864,18988802,349
3880,2120717,350
3894,16461,351
3904,6467200,352
3912,8163500,353
3926,916043,354
3935,15233331,355
3959,1875356,356
3965,14570767,357
3982,25759380,358
3984,542396,359
3987,4476253,360
3991,17625195,361
4004,5887366,362
4015,2685713,363
4043,10338814,364
4045,1935160,365
4089,6637125,366
4107,5164879,367
4111,4368171,368
4118,6527203,369
4119,4287299,370
4138,8101322,371
4150,2886414,372
4191,4203544,373
4193,6712070,374
4220,1727238,375
4225,5066900,376
4232,11164933,377
4235,2471515,378
4237,2751082,379
4241,6971018,380
4291,2804102,381
4310,4393,382
4325,17132679,383
4330,11379731,384
4338,2685292,385
4340,13757631,386
4364,736167,387
4424,1504822,388
4426,871436,389
4435,5152306,390
4447,811778,391
4451,6747936,392
4473,847803,393
4487,2902101,394
4496,6989103,395
4514,5527638,396
4515,7970688,397
4517,3185392,398
4636,8760897,399
4653,200894,400
4660,296872,401
4673,3639607,402
4679,1946704,403
4714,450975,404
4727,5347996,405
4732,12272965,406
4738,27244969,407
4741,206099,408
4750,1737133,409
4762,6844427,410
4810,4998216,411
4829,6516522,412
4836,8443829,413
4859,7072388,414
4894,12839921,415
4900,2561450,416
4916,757517,417
4919,29622820,418
4927,11448367,419
4933,8305997,420
4941,12377770,421
4954,1653626,422
4959,4384780,423
4973,19082,424
4983,106358,425
4997,2292315,426
5018,2675612,427
5031,65657,428
5043,1260893,429
5046,147785,430
5051,150541,431
5081,581614,432
5084,3575683,433
5142,3842505,434
5144,2896895,435
5159,11645557,436
5173,601724,437
5187,6858255,438
5188,4748924,439
5218,2516402,440
5245,3489643,441
5249,4701952,442
5251,1846804,443
5258,1820314,444
5276,3145233,445
5338,91856,446
5342,6755932,447
5356,1959067,448
5360,4135048,449
5408,4780914,450
5418,12069125,451
5458,5110677,452
5481,4258803,453
5510,1398678,454
5580,6484416,455
5581,396145,456
5594,4581996,457
5595,5662119,458
5605,5650077,459
5615,3268671,460
5639,526250,461
5658,5012036,462
5668,2074953,463
5671,243316,464
5679,490252,465
5702,202028,466
5703,729513,467
