fileName,k,epsilon,startDatetime,endDatetime,duration,seedSize,estimatedScore
twitter,50,0.5,Wed Nov  7 15:32:55 2018,Wed Nov  7 15:33:31 2018,35.698,50,9.03369e+06
twitter,50,0.5,Thu Nov  8 10:08:11 2018,Thu Nov  8 10:08:46 2018,35.4103,50,9.03369e+06
twitter,50,0.1,Thu Nov  8 10:08:46 2018,Thu Nov  8 10:12:54 2018,248.325,50,8.86257e+06
twitter,100,0.5,Thu Nov  8 10:12:55 2018,Thu Nov  8 10:13:24 2018,29.9393,100,1.08409e+07
twitter,100,0.1,Thu Nov  8 10:13:25 2018,Thu Nov  8 10:15:48 2018,143.152,100,1.0842e+07
twitter,150,0.5,Thu Nov  8 10:15:48 2018,Thu Nov  8 10:16:32 2018,44.423,150,1.20989e+07
twitter,150,0.1,Thu Nov  8 10:16:32 2018,Thu Nov  8 10:18:53 2018,140.385,150,1.20893e+07
twitter,200,0.5,Thu Nov  8 10:18:53 2018,Thu Nov  8 10:19:52 2018,58.8756,200,1.29358e+07
twitter,200,0.1,Thu Nov  8 10:19:52 2018,Thu Nov  8 10:22:21 2018,149.042,200,1.29302e+07
twitter,250,0.5,Thu Nov  8 10:22:21 2018,Thu Nov  8 10:23:35 2018,73.2948,250,1.35445e+07
twitter,250,0.1,Thu Nov  8 10:23:35 2018,Thu Nov  8 10:26:15 2018,160.529,250,1.35435e+07
twitter,300,0.5,Thu Nov  8 10:26:16 2018,Thu Nov  8 10:27:44 2018,87.7955,300,1.39973e+07
twitter,300,0.1,Thu Nov  8 10:27:44 2018,Thu Nov  8 10:30:37 2018,173.036,300,1.39981e+07
