seen,user_index,seed_size
227,31122517,1
236,7120431,2
343,2244340,3
651,3360466,4
720,28973546,5
983,13732352,6
1126,726269,7
1225,2869989,8
1573,365129,9
1593,26595655,10
1696,6331803,11
2030,2854012,12
2111,9917772,13
2131,473830,14
2164,1645589,15
2470,1475640,16
2503,28186066,17
2511,362058,18
2548,2714212,19
2775,22265232,20
2830,7279203,21
2971,1006247,22
3177,327504,23
3277,25563335,24
3429,7596626,25
3462,1282039,26
3481,10425309,27
3737,1590111,28
4116,4714451,29
4147,14754982,30
4273,6322819,31
4296,71603,32
4348,943323,33
4432,19808147,34
4452,3701929,35
4459,25177809,36
4481,10139473,37
4506,10635945,38
4514,1808,39
4625,19619046,40
4770,13945330,41
4927,11152562,42
4936,3515298,43
4971,16681944,44
5028,1476853,45
5056,3651996,46
5168,26589155,47
5175,18043049,48
5195,3717315,49
5235,16521266,50
5383,40496437,51
5403,4497449,52
5594,630833,53
5606,21964285,54
5686,2511982,55
5713,8811514,56
5849,30210128,57
6230,1028080,58
6400,8597816,59
6482,2299358,60
6727,12968517,61
7007,1817687,62
7237,4123051,63
7411,33212743,64
7413,172687,65
7428,137009,66
7556,35788317,67
7599,8809632,68
7601,24273392,69
7646,395221,70
7650,4512826,71
7720,3250424,72
7726,1050756,73
7887,7633740,74
8007,3980773,75
8041,1651974,76
8194,3091194,77
8329,8712161,78
8373,900813,79
8374,481150,80
8554,31025210,81
8712,7655411,82
8795,28185855,83
8812,1175842,84
8823,17815242,85
8881,1748450,86
8895,3769258,87
8941,2601508,88
8950,15525397,89
9023,9384847,90
9030,12920946,91
9166,323494,92
9208,24218747,93
9258,5012974,94
9298,3083709,95
9341,7520871,96
9364,8051580,97
9735,876733,98
9953,24858265,99
9955,17139986,100
9975,55875,101
10374,4996843,102
10434,33970268,103
10604,5465061,104
10646,1328578,105
10686,19695947,106
10774,29102599,107
10775,694024,108
10966,29386044,109
11007,3455433,110
11116,753551,111
11119,20809851,112
11141,520691,113
11259,3047147,114
11313,30867592,115
11360,5659588,116
11502,1799335,117
11525,33797363,118
11533,3238854,119
11540,662495,120
11606,915685,121
11858,4912691,122
11861,25390407,123
11889,1646601,124
11911,5827611,125
11932,18539680,126
11936,3744383,127
12018,11446,128
12056,11173226,129
12076,2261954,130
12103,17571,131
12490,50187,132
12501,6891554,133
12513,10313317,134
12541,363423,135
12589,3792793,136
12679,6908211,137
12988,1005760,138
13153,10205734,139
13262,903635,140
13277,2991320,141
13300,2982040,142
13591,2377130,143
13594,1024061,144
13604,1921558,145
13671,24054222,146
13718,15107951,147
13853,6286954,148
13855,2207120,149
13928,12104163,150
13951,16920072,151
14031,6976974,152
14172,1022340,153
14189,2092856,154
14231,3953083,155
14243,1639921,156
14249,36184483,157
14264,8718743,158
14277,8238507,159
14377,5117905,160
14463,7073929,161
14466,5159045,162
14505,15223123,163
14506,4341876,164
14581,8456476,165
14647,18323774,166
14720,1845416,167
14879,11889192,168
14892,4564407,169
14975,3826990,170
15004,587422,171
15160,30535350,172
15291,25238020,173
15525,7526501,174
15719,7490699,175
15769,11648107,176
15884,1149819,177
15940,10323156,178
16000,30672158,179
16006,14721737,180
16297,17627037,181
16377,4715518,182
16876,20042909,183
16887,8664247,184
16979,5137985,185
17053,13593377,186
17056,17466362,187
17325,5730660,188
17332,1605137,189
17529,21867545,190
17869,17796187,191
17963,4535134,192
17969,35396452,193
17976,871811,194
18228,560503,195
18300,3943280,196
18515,10944806,197
18554,11551102,198
18650,293220,199
18873,673125,200
18908,18259167,201
18955,36204826,202
18970,3777480,203
19326,6047568,204
19496,28703898,205
19662,170613,206
19677,30887455,207
19852,20377346,208
20162,16762803,209
20405,27158765,210
20585,1963987,211
20748,36954796,212
20775,25111949,213
20971,11559977,214
21022,13835898,215
21135,24741886,216
21229,27030562,217
21382,17655673,218
21433,4068391,219
21568,285877,220
21741,875958,221
21792,21436840,222
21866,7017359,223
22166,2074472,224
22178,27949906,225
22189,16763075,226
22265,35880528,227
22284,710648,228
22485,4200326,229
22555,17466929,230
22721,22937578,231
22762,26268334,232
22969,431221,233
23007,1384202,234
23083,6417626,235
23098,18018856,236
23190,10045719,237
23231,5455485,238
23243,7555755,239
23536,487913,240
23590,7259334,241
23618,3362814,242
23657,3035406,243
23722,2398069,244
23767,4154700,245
24065,19846803,246
24328,7402750,247
24602,13585375,248
24651,5212941,249
24772,21693517,250
24807,142876,251
24997,972019,252
25139,8609238,253
25161,9196820,254
25234,16848734,255
25265,4405987,256
25340,7748416,257
25367,5876247,258
25394,17322211,259
25447,125088,260
25722,2528611,261
25794,5137691,262
25862,17045509,263
25880,19114379,264
25972,5315337,265
25990,22312372,266
26248,37683598,267
26251,10966611,268
26410,5881809,269
26686,2797007,270
26707,7774166,271
27073,17164098,272
27079,10939053,273
27171,4816628,274
27206,27756611,275
27237,3958673,276
27249,4772968,277
27321,684837,278
27448,357315,279
27481,4648438,280
27548,7007937,281
27638,1992310,282
27707,36341770,283
28039,302263,284
28114,4168578,285
28181,2231189,286
28239,792137,287
28252,1728192,288
28288,1060045,289
28370,174447,290
28392,16863679,291
28456,547568,292
28490,4136038,293
28493,2223914,294
28535,1708668,295
28543,3835977,296
28566,23988310,297
28595,17209,298
28659,13472835,299
28711,1184014,300
28750,27749695,301
28772,6031900,302
28776,489342,303
28791,419260,304
28915,11726188,305
29069,1196375,306
29089,12512490,307
29393,2935735,308
29658,889664,309
29672,3736706,310
29685,31465424,311
29739,986959,312
29930,77710,313
29943,4275328,314
29958,2794826,315
30116,50211,316
30293,17186362,317
30306,3304389,318
30358,2923646,319
30691,29788928,320
30827,37490226,321
30987,9560187,322
31031,6887487,323
31078,10489517,324
31581,3899032,325
31736,6261739,326
31940,4898511,327
32004,3444380,328
32053,5191473,329
32467,12432409,330
32584,242374,331
32726,279291,332
32729,8885095,333
33011,537072,334
33113,11913341,335
33202,10119021,336
33464,37599160,337
33711,10246417,338
33720,2403479,339
33830,5104084,340
34030,2070061,341
34097,12271449,342
34169,4770350,343
34186,17771568,344
34552,7682735,345
34562,1500056,346
34801,7519556,347
35070,20971773,348
35113,1111118,349
35297,17931371,350
35366,1092095,351
35434,16909212,352
35529,4397002,353
35550,15612268,354
35581,2406748,355
35616,33591510,356
35675,282605,357
35943,27937963,358
36145,3546176,359
36365,28420830,360
36458,21028904,361
36550,5430385,362
36568,2357476,363
36827,32776963,364
36888,1871212,365
36898,1253800,366
36936,18190620,367
36955,23413147,368
37010,3201884,369
37123,3417651,370
37185,913991,371
37201,5219410,372
37216,2963431,373
37227,31507063,374
37255,2527609,375
37265,31275497,376
37497,4135931,377
37694,10046578,378
37865,426350,379
38026,16113149,380
38097,12865347,381
38294,5056741,382
