seen,user_index,seed_size
227,31122517,1
343,2244340,2
720,28973546,3
1126,726269,4
2511,362058,5
2548,2714212,6
2830,7279203,7
3429,7596626,8
3462,1282039,9
3481,10425309,10
4273,6322819,11
4432,19808147,12
4927,11152562,13
4936,3515298,14
7411,33212743,15
7599,8809632,16
7650,4512826,17
7720,3250424,18
7887,7633740,19
8007,3980773,20
8041,1651974,21
8795,28185855,22
8812,1175842,23
8941,2601508,24
9023,9384847,25
9341,7520871,26
9975,55875,27
10434,33970268,28
11313,30867592,29
11502,1799335,30
11606,915685,31
11889,1646601,32
11932,18539680,33
11936,3744383,34
12018,11446,35
12056,11173226,36
13277,2991320,37
13300,2982040,38
13594,1024061,39
13853,6286954,40
13855,2207120,41
13928,12104163,42
14189,2092856,43
14249,36184483,44
14581,8456476,45
15525,7526501,46
15769,11648107,47
17056,17466362,48
17332,1605137,49
17869,17796187,50
17969,35396452,51
18228,560503,52
18300,3943280,53
18554,11551102,54
18650,293220,55
18873,673125,56
18970,3777480,57
19662,170613,58
19677,30887455,59
20585,1963987,60
20775,25111949,61
20971,11559977,62
21229,27030562,63
21741,875958,64
21866,7017359,65
22166,2074472,66
22762,26268334,67
23007,1384202,68
23243,7555755,69
23590,7259334,70
23767,4154700,71
24602,13585375,72
24651,5212941,73
25722,2528611,74
25972,5315337,75
27079,10939053,76
27548,7007937,77
28239,792137,78
28493,2223914,79
28659,13472835,80
28915,11726188,81
29069,1196375,82
29958,2794826,83
30116,50211,84
30358,2923646,85
31031,6887487,86
31078,10489517,87
32004,3444380,88
33011,537072,89
33711,10246417,90
35070,20971773,91
35366,1092095,92
35529,4397002,93
35943,27937963,94
36458,21028904,95
36568,2357476,96
36955,23413147,97
39100,3070897,98
39663,4540470,99
39724,1224267,100
39781,803835,101
39953,3793190,102
40168,208968,103
40209,11397714,104
40537,19057013,105
40586,6181055,106
40698,9831785,107
41171,2846044,108
41176,1327939,109
41321,5275335,110
41520,22257,111
41880,114142,112
41977,2703894,113
42313,4108891,114
43045,14134852,115
43082,6648413,116
43374,7246569,117
44220,5970341,118
44316,9009344,119
44534,1221066,120
44546,18592521,121
44726,6805241,122
44851,2480128,123
45193,17213168,124
45882,10579567,125
46579,2095106,126
51378,7106235,127
51628,4124703,128
51694,11996514,129
51816,1068626,130
51820,10962134,131
51919,877603,132
51991,7091184,133
52074,16833937,134
52194,42644,135
52730,2465333,136
53091,7101984,137
53172,3886660,138
53313,2300180,139
53342,9992155,140
53538,19262549,141
53547,9652435,142
53672,20078634,143
53997,2615108,144
54070,10375914,145
54158,32384940,146
54176,947983,147
54599,16318911,148
54661,12135557,149
54987,237415,150
55256,2931031,151
55520,14336832,152
55686,12215608,153
55735,26454285,154
55768,2030374,155
56520,56918,156
56652,17278364,157
57296,12158518,158
58573,26987080,159
58994,3698183,160
59159,6001838,161
59563,7576869,162
59982,9872648,163
60095,177891,164
60105,3112846,165
60119,16595020,166
60411,14322277,167
60572,18126673,168
60843,10178164,169
61566,19397147,170
61764,25306291,171
62546,16639164,172
63180,6601583,173
63229,16827,174
63566,34102774,175
64269,4272823,176
64358,4649559,177
65121,25109552,178
65595,5530608,179
65725,5207359,180
65730,1278880,181
65891,2697516,182
66167,11283410,183
66241,12791323,184
66648,25211586,185
67161,545293,186
67668,20732638,187
67955,1213803,188
68129,5432594,189
68306,18626496,190
68493,2074557,191
69586,25378378,192
69801,2529800,193
69988,3361363,194
70378,11742745,195
70746,2771634,196
70881,9317405,197
70960,25402220,198
71482,3134046,199
71532,3202737,200
72162,15120904,201
72314,3186143,202
73444,4446172,203
73529,1067655,204
73543,5107702,205
73589,4005280,206
73691,18845995,207
75572,2931902,208
76964,21365256,209
77293,5727500,210
78269,12038054,211
78631,25869727,212
79111,670929,213
79191,629097,214
79684,382222,215
80034,2297145,216
80513,2576473,217
80746,2956058,218
81646,13502756,219
82142,25839063,220
82213,68773,221
83035,3908106,222
83179,893273,223
83660,2861447,224
84332,10161706,225
85127,1291932,226
85887,6244223,227
86178,675966,228
87030,2886000,229
87589,6621228,230
88280,735933,231
89055,11045656,232
89322,1466572,233
89490,299,234
89529,15329374,235
89881,25144481,236
89987,1842583,237
90016,796572,238
90531,390162,239
90591,2780822,240
90829,33203325,241
90915,19239595,242
91084,1959235,243
91378,3598790,244
92841,1215048,245
93033,2921080,246
93492,6349591,247
93572,11246922,248
94984,10732805,249
95750,4184996,250
96524,3591530,251
96775,3253273,252
97265,3797352,253
97752,16543280,254
98085,1736655,255
98245,20941425,256
98336,4324168,257
98871,1018948,258
99257,23814738,259
100090,4204341,260
100927,243055,261
100935,1988832,262
101177,3766304,263
101365,187303,264
102316,41232174,265
102908,10034542,266
103092,926568,267
103485,18588087,268
103530,2535654,269
103776,5356477,270
104210,184083,271
104347,21423614,272
104355,5838683,273
104644,16499921,274
104739,40722,275
104875,13156428,276
104912,2039355,277
105110,3921578,278
105491,13226995,279
105548,6203814,280
105608,9680527,281
105825,9635724,282
106386,6424419,283
106946,16016160,284
107228,20177135,285
107252,3638684,286
107826,7115710,287
108492,24074582,288
108509,10334749,289
108705,11530482,290
109393,1275067,291
109865,16046217,292
110127,5431570,293
111478,1029304,294
111637,1676034,295
111880,12154063,296
112419,28612014,297
112590,26637739,298
112948,26594788,299
113008,9596304,300
113050,8493300,301
113095,449127,302
113801,13726426,303
114162,5462177,304
114960,25965558,305
115374,4926393,306
115838,457054,307
115846,37200391,308
115909,5188932,309
116417,10316015,310
117310,18500003,311
117417,4873704,312
117509,9475780,313
117736,24242724,314
117776,9373124,315
117854,28605751,316
118306,21080839,317
118782,14197011,318
119073,45854,319
119546,23110964,320
119856,10968176,321
120527,7466947,322
120844,7388598,323
120867,633059,324
120900,28507,325
121301,10029998,326
122145,36845613,327
122285,8321,328
122932,4184957,329
123232,13092727,330
123538,37972421,331
123919,199592,332
125121,18577312,333
125338,3644906,334
126075,2947476,335
126958,196755,336
127281,9955588,337
127867,415168,338
127956,6435345,339
128214,1373805,340
128615,112375,341
131080,24151059,342
132073,33117225,343
132645,5042426,344
132829,605585,345
132890,14917273,346
132925,6189888,347
133082,637946,348
133390,3922468,349
133421,8105892,350
134167,1752753,351
134286,4407115,352
134773,286289,353
135031,10790167,354
135288,39348230,355
135640,16917189,356
135923,31873119,357
135975,363632,358
136283,4045719,359
136380,15401315,360
136572,30316020,361
137128,5436912,362
137437,4831798,363
137679,24442275,364
138029,5848419,365
139241,1754548,366
139528,338138,367
140410,5484174,368
141153,3457206,369
141411,2880196,370
142060,32610646,371
142511,13234177,372
143024,7457544,373
143282,14549364,374
143350,2266098,375
143968,4484549,376
144490,37450130,377
145316,9056451,378
145429,26563053,379
145689,14134809,380
147136,31504917,381
147620,2285020,382
148092,20917122,383
148134,6910945,384
148262,8498674,385
148329,497856,386
148938,13533276,387
150125,55097,388
150322,24039576,389
151677,6596148,390
151736,87836,391
151834,7178957,392
151977,781728,393
152015,2149492,394
152574,6175528,395
153020,25805922,396
153381,1008708,397
154189,35383,398
154395,2498677,399
155087,4712859,400
155136,405591,401
155339,4359041,402
155471,17662289,403
155772,15181611,404
155881,12043416,405
155926,3742867,406
156327,10301019,407
156864,11435029,408
156927,5575245,409
157827,319347,410
158081,1336431,411
158507,17187524,412
159089,2810214,413
159344,17166466,414
160347,5174229,415
160655,798574,416
161189,20855764,417
161272,11311174,418
161378,17493443,419
161568,4544899,420
161975,9234515,421
162092,8213411,422
162525,1809335,423
163037,17227074,424
163877,5852680,425
163920,39630292,426
164074,54660,427
164095,2271074,428
164514,12689298,429
164611,8074929,430
164897,5778454,431
164927,1040142,432
165016,54065,433
165629,32916916,434
165807,10097221,435
166309,1166163,436
167156,12218586,437
167182,3286967,438
167850,493280,439
168119,7280886,440
168252,11998943,441
168398,839017,442
168970,18206853,443
168980,5194587,444
169175,3156244,445
169200,735943,446
169547,8161134,447
170134,42314,448
170481,7138172,449
170607,16325210,450
170841,1320249,451
171080,692304,452
171285,7499721,453
171408,354124,454
171536,5611078,455
172105,4605143,456
172743,34539507,457
173023,3667905,458
173268,24754992,459
173499,1867167,460
174799,4541978,461
175272,11528763,462
175695,27898353,463
175995,3061211,464
176005,401844,465
178320,1067385,466
178397,904755,467
178638,9422266,468
179363,9623334,469
179403,10556618,470
179650,5584715,471
181513,13560757,472
181705,26806012,473
182826,7353,474
183719,91612,475
184199,1158473,476
187025,22313883,477
187925,83756,478
188102,2999423,479
188373,1466299,480
188725,8204159,481
189182,6414711,482
189331,219601,483
189395,6929827,484
189405,16034131,485
189616,6560648,486
189624,18710745,487
189727,12216578,488
189921,13781161,489
190559,1649085,490
191790,11549235,491
192975,2061291,492
193050,9461062,493
193161,221636,494
193625,25038569,495
193742,29715835,496
193810,974195,497
193961,2667958,498
193984,7054021,499
194061,5268912,500
194497,13480762,501
195088,18255420,502
195555,38528248,503
196599,5120112,504
196724,62011,505
196742,14871750,506
198060,1492165,507
198539,6175986,508
198645,14901067,509
199497,5263,510
200116,1748277,511
200286,2440832,512
200486,15154715,513
200578,28240962,514
201235,7234575,515
201310,528799,516
201317,885877,517
201601,81949,518
202207,824,519
202644,17384200,520
202742,74778,521
202832,6905170,522
203102,652213,523
203378,20162560,524
204052,3195509,525
204248,28049991,526
204452,32219736,527
204575,15577197,528
204635,54975,529
204689,41680,530
204750,3054509,531
205986,3494547,532
206316,3238318,533
206521,6799514,534
206715,29989930,535
207325,8295561,536
208060,11587421,537
208265,2827386,538
208636,5276472,539
209074,17520661,540
209093,13309578,541
209272,12161433,542
209329,1128718,543
209530,52272,544
211062,5745523,545
211655,6141778,546
211686,2939913,547
211942,3407340,548
212057,3509248,549
212245,30634543,550
212655,18243685,551
212693,8797072,552
212775,87626,553
215190,22073062,554
215312,3548883,555
216045,3353145,556
216503,8347679,557
216812,14037829,558
217348,2180112,559
217611,339666,560
218039,931805,561
218160,18955278,562
218238,3667186,563
218921,5555679,564
218988,7444363,565
219126,9258763,566
221408,5888257,567
221680,23589715,568
221860,18789331,569
222107,2982830,570
222144,2527652,571
222646,4364432,572
222855,1214346,573
223677,15955568,574
224314,251899,575
224780,4247909,576
224967,4323340,577
225641,39991149,578
226002,40117340,579
226738,6197612,580
226752,3929695,581
226795,10641556,582
227242,25828119,583
227334,4874381,584
227434,7287791,585
227852,319065,586
228077,8168911,587
228409,7311536,588
228653,4451487,589
228719,32342,590
228885,426389,591
228890,67764,592
228993,1309077,593
229309,8959491,594
231165,707444,595
232656,23685784,596
234105,3365927,597
234348,4986573,598
236509,2783480,599
237067,5581316,600
237210,7831431,601
237243,19337984,602
237401,3828928,603
237466,4970598,604
237981,3903112,605
238047,17636950,606
239119,1817125,607
239440,1417575,608
239549,24345083,609
239945,3888352,610
240728,59740,611
241080,19324207,612
242803,11476272,613
242855,314374,614
243073,2690476,615
244186,8175314,616
244546,12243844,617
244722,8372603,618
245186,6070932,619
246229,498326,620
246900,4023083,621
246962,6490245,622
248082,11880546,623
248339,38989,624
248376,1267461,625
248595,10221434,626
249021,5961301,627
250513,22298602,628
250773,6411,629
251140,11693645,630
251840,5220875,631
251961,13885093,632
251999,953665,633
252045,3798918,634
