seen,user_index,seed_size
13,13249953,1
140,9021876,2
155,2791388,3
283,835657,4
310,1619547,5
312,2664866,6
428,943190,7
598,834967,8
681,7420233,9
815,4462744,10
955,2740037,11
1016,3507595,12
1063,3035172,13
1081,20835366,14
1118,13166498,15
1407,38094592,16
1531,4737753,17
1573,1536695,18
1581,3435715,19
1627,4161541,20
1675,32786813,21
1830,963497,22
1913,471545,23
2405,153361,24
2412,27126558,25
2427,165242,26
2638,3493541,27
2707,5087872,28
2810,1309536,29
2854,7367598,30
2855,6971018,31
2879,110020,32
2928,27932560,33
2930,13924089,34
2947,37539012,35
3161,15313090,36
3283,1291919,37
3339,4741268,38
3516,22248719,39
3542,5803203,40
3592,10859631,41
3618,6797829,42
3672,21632119,43
3702,2417033,44
3860,16792293,45
3901,6390633,46
3935,2078584,47
4082,27072511,48
4278,1391618,49
4312,3408243,50
4455,1641659,51
4644,27537319,52
4957,16116178,53
4960,758504,54
4982,33240748,55
5030,4094225,56
5040,12604377,57
5137,5364602,58
5145,2019426,59
5272,381595,60
5292,879613,61
5472,5852524,62
5509,1715766,63
5521,8707721,64
5783,18435971,65
6027,6607031,66
6122,182930,67
6269,454869,68
6328,20515181,69
6457,874836,70
6576,300421,71
6677,8685429,72
6714,31884626,73
6759,1693824,74
6767,1449144,75
6905,1223766,76
7143,367502,77
7209,753350,78
7285,20268851,79
7421,3608215,80
7571,3475192,81
7628,9125829,82
7640,2016167,83
7710,4368943,84
7794,1905628,85
7888,10944949,86
7988,185898,87
8029,3700869,88
8137,939450,89
8193,26457142,90
8292,3015527,91
8381,5870668,92
8390,5272108,93
8712,7987954,94
8811,14261565,95
8813,20975312,96
8852,787894,97
8916,1287180,98
9000,112166,99
9178,13332039,100
9184,707706,101
9264,6942225,102
9280,535895,103
9311,20336293,104
9380,259270,105
9664,607117,106
9700,947519,107
9772,6945687,108
9816,28756917,109
10100,13290628,110
10141,15911988,111
10291,3706973,112
10296,4555375,113
10342,18742141,114
10377,3386935,115
10534,6922940,116
10559,497827,117
10603,7129914,118
10760,29840796,119
10764,12279324,120
10803,3840187,121
10830,20799583,122
11094,36023868,123
11097,8344193,124
11187,580845,125
11246,19316604,126
11677,17945102,127
11779,12236892,128
11882,8669297,129
11965,7305850,130
11978,322322,131
11979,34329721,132
11980,24104502,133
12082,8930795,134
12083,1631708,135
12163,1803423,136
12240,2838541,137
12322,3212833,138
12326,9549163,139
12337,14858103,140
12478,1161649,141
12489,3467826,142
12497,225073,143
12504,784881,144
12533,2623714,145
12566,28030585,146
12577,3258507,147
12710,3805339,148
12760,600431,149
12967,17982915,150
13088,13124322,151
13162,913128,152
13190,18593337,153
13198,2044096,154
13326,8681933,155
13463,388529,156
13529,3449406,157
13532,17140070,158
13640,1438097,159
13740,107818,160
13843,7154908,161
13848,31417522,162
13978,3490658,163
14021,1938976,164
14046,33117225,165
14138,5659856,166
14152,4205214,167
14297,660152,168
14429,8613004,169
14495,6972900,170
14589,2079921,171
14675,4626504,172
14822,30015950,173
14864,16651564,174
14941,6035094,175
15009,284218,176
15113,968582,177
15118,21148962,178
15268,5919933,179
15293,19596045,180
15366,8636844,181
15451,26695360,182
15519,25627406,183
15535,982056,184
15684,11946840,185
15719,1678447,186
15745,1900269,187
15834,5523645,188
15897,794862,189
15998,6977743,190
16007,39079372,191
16286,33672461,192
16365,5659710,193
16392,19813921,194
16476,25456577,195
16649,1236866,196
16688,26244107,197
16726,28987304,198
16884,9985428,199
17044,4932938,200
17105,1642488,201
17221,12303723,202
17250,10175822,203
17251,724154,204
17261,3262711,205
17399,25735128,206
17444,18734307,207
17613,7168782,208
17670,12603025,209
17680,26267284,210
17715,366,211
17741,5744582,212
17792,6156137,213
17816,23914126,214
17925,4462691,215
17955,543250,216
18266,1499175,217
18282,543357,218
18474,28529841,219
18608,37352156,220
18748,7758377,221
18999,3354368,222
19272,8861409,223
19392,589292,224
19428,28016153,225
19607,5685720,226
19908,1705591,227
19941,2707489,228
20279,2137666,229
20418,34774,230
20444,1494911,231
20642,6152463,232
20704,31166630,233
20730,16728254,234
20740,10010836,235
20787,19559675,236
20861,22626206,237
20871,18355819,238
21034,66547,239
21119,1382382,240
21160,6742049,241
21228,713229,242
21368,8339133,243
21548,34888624,244
21584,5733823,245
21621,2402583,246
21936,8108860,247
22032,322601,248
22049,1146050,249
22127,10316015,250
22337,23099047,251
22353,1884833,252
22652,35822941,253
22733,11311662,254
22763,3684908,255
22803,3029915,256
22935,4202507,257
22965,31266882,258
22996,4155714,259
23038,714558,260
23045,24366772,261
23238,13740407,262
23243,1851497,263
23495,1732726,264
23616,3107176,265
23700,6321551,266
24260,19913942,267
24327,12952749,268
24363,30101489,269
24405,3054694,270
24622,40478,271
24666,4587879,272
24732,157889,273
24965,5901623,274
25332,3320160,275
25402,15518671,276
25676,13575570,277
25682,1978727,278
25768,5377783,279
25900,27460521,280
25920,35305225,281
26146,3603946,282
26151,11613532,283
26177,41580022,284
26305,2965970,285
26322,19025548,286
26336,13068577,287
26368,1518029,288
26451,17142139,289
26628,21235053,290
26720,22166931,291
26740,7953819,292
26752,16518194,293
26947,33012302,294
26996,1156070,295
27069,3877619,296
27151,21381273,297
27208,745948,298
27531,823826,299
27598,2029605,300
27610,2793693,301
27728,11651788,302
27945,4465682,303
27967,25695474,304
28055,1638194,305
28138,6736591,306
28336,2017079,307
28405,1066777,308
28461,21038415,309
28682,1117907,310
28772,6655878,311
28864,1863584,312
28934,31545781,313
28991,6082791,314
29119,6725987,315
29240,12915267,316
29444,20732056,317
29479,3003610,318
29495,3265359,319
29508,5310066,320
29530,957007,321
29786,4416638,322
29832,11912004,323
29852,6985180,324
29959,945281,325
30057,22833202,326
30176,4214715,327
30469,2304432,328
30520,2231189,329
30759,3914407,330
30851,3447786,331
30893,19659263,332
31024,19765711,333
31146,2791263,334
31758,5256311,335
31981,559661,336
32053,2696269,337
32240,1900615,338
32341,4474790,339
32706,3381734,340
32815,1848469,341
32988,873721,342
33113,2211370,343
33340,6903987,344
33448,1452788,345
33582,9575526,346
33661,9196,347
33673,4572532,348
33702,1008481,349
33887,3448999,350
33927,4832920,351
34345,19879970,352
34369,17129310,353
34407,2945259,354
34453,4639982,355
34600,19680124,356
34610,15316681,357
34645,16535637,358
35112,7231908,359
35287,6768269,360
35395,11876919,361
35413,1683255,362
35443,19894016,363
35762,5018991,364
35935,9891707,365
36232,24035439,366
36621,3813199,367
36711,3060378,368
36715,5675436,369
36812,402508,370
36862,28507488,371
37209,28615798,372
37295,12500138,373
37303,2378085,374
37362,11031460,375
37415,22340993,376
37657,2581126,377
37675,251042,378
37708,124474,379
37735,5465554,380
38218,21628008,381
38432,6548631,382
38438,34311610,383
38462,47506,384
38546,28824664,385
38987,7830966,386
39096,30173978,387
39099,20656366,388
39164,2737127,389
39220,152268,390
39263,5461987,391
39277,7522281,392
39279,1071507,393
39282,2455028,394
39580,264155,395
39644,41354866,396
39656,32522407,397
39690,12922195,398
40133,18503714,399
40220,27466393,400
40363,28384241,401
40371,11163478,402
40449,6700602,403
40603,36299854,404
40703,30381,405
40801,3702422,406
41024,4963211,407
41303,179382,408
41423,13531399,409
41483,14170664,410
41506,1237416,411
41511,3309795,412
41638,14001945,413
41779,3968648,414
41930,630666,415
41953,3253539,416
42038,41411521,417
42077,5662740,418
42080,9829015,419
42174,14285985,420
42343,6851402,421
42884,16150293,422
43553,8619967,423
43771,11006448,424
43833,8100846,425
44043,27650512,426
44093,338416,427
44104,29980560,428
44225,3228217,429
44450,4583618,430
44632,800589,431
44655,20407444,432
44682,14385896,433
44751,664080,434
44913,27687322,435
44936,608137,436
44984,1796184,437
45014,19656965,438
45019,29392523,439
45025,10569266,440
45094,632427,441
45203,30596207,442
45429,1442018,443
45600,17988693,444
45610,12540377,445
45637,1058065,446
45727,31492614,447
45947,47419,448
45964,4683873,449
46001,25894713,450
46135,18617209,451
46238,195257,452
46376,21346732,453
46393,23301,454
46451,2784723,455
46521,3330129,456
46587,296182,457
46744,13206082,458
46830,3293178,459
47218,48273,460
47795,1144986,461
47807,6458408,462
47941,12073188,463
47947,28263983,464
48180,1432364,465
48269,5857708,466
48422,14206833,467
48468,21962347,468
48535,7497685,469
48726,16772831,470
48743,4483788,471
48868,656836,472
48885,8639879,473
