seen,user_index,seed_size
11,657449,1
52,3424,2
58,26084,3
103,662634,4
105,1071,5
132,38384,6
137,928,7
147,362,8
172,645916,9
202,268336,10
231,1190,11
237,18858,12
248,516,13
424,35660,14
431,280435,15
483,108623,16
542,1489,17
563,105,18
577,642861,19
583,643719,20
612,155431,21
661,115240,22
681,2525,23
685,642490,24
719,805,25
730,646255,26
733,27543,27
747,1845,28
782,196,29
825,657357,30
868,807,31
919,110104,32
924,20024,33
950,2844,34
964,479,35
984,108601,36
1002,20363,37
1019,21,38
1052,20011,39
1074,672244,40
1150,1244,41
1190,642536,42
1271,1011428,43
1319,687,44
1361,2686,45
1413,482708,46
1500,27836,47
1533,71075,48
1596,660238,49
1625,340,50
1951,4935,51
1977,1490,52
2020,831,53
2049,642539,54
2272,1182,55
2310,209,56
2343,1273,57
2410,3,58
2524,1001507,59
2706,676602,60
2905,3099,61
2939,23840,62
2954,1368,63
2987,880,64
3000,44005,65
3073,11879,66
3089,694116,67
3144,772,68
3237,2632,69
3280,110194,70
3340,5995,71
3355,686673,72
3463,17342,73
3527,8745,74
3581,103,75
3717,1024,76
3881,21137,77
3894,1431,78
3913,115673,79
4508,802,80
4552,383,81
4601,71153,82
4747,21472,83
5124,4718,84
5891,20921,85
6187,21170,86
6285,647829,87
6598,37057,88
6670,1077021,89
6698,1983,90
6720,758957,91
6875,638610,92
7151,310,93
7505,104136,94
7987,661664,95
8524,640858,96
8800,643250,97
9738,6510,98
12548,1097739,99
13316,939,100
