seen,user_index,seed_size
2,683352,1
6,249069,2
10,365445,3
11,657449,4
16,20071,5
21,1239,6
26,5205,7
30,39102,8
32,125298,9
37,90535,10
47,6400,11
50,86199,12
52,3424,13
54,32997,14
58,26084,15
59,102903,16
64,642782,17
75,3491,18
76,57269,19
80,729,20
81,469,21
85,21159,22
92,62903,23
97,20095,24
98,24732,25
102,179149,26
103,662634,27
104,4185,28
105,1071,29
107,71885,30
112,30395,31
118,883,32
120,1587,33
123,29772,34
132,38384,35
133,19578,36
137,928,37
142,69931,38
143,1210,39
144,693282,40
147,362,41
150,89639,42
153,662158,43
157,2774,44
160,18938,45
169,9954,46
170,1039106,47
172,645916,48
176,66332,49
182,646628,50
184,8256,51
193,90028,52
194,21306,53
198,263711,54
200,4480,55
202,268336,56
203,3008,57
206,91958,58
209,47794,59
215,1036,60
217,210612,61
225,126853,62
227,1494,63
231,1190,64
235,122800,65
237,18858,66
239,20234,67
243,112773,68
248,516,69
249,78799,70
252,281844,71
253,8856,72
259,143923,73
265,2834,74
270,672567,75
275,887413,76
281,2973,77
290,70578,78
295,62726,79
299,3433,80
301,20754,81
306,24977,82
307,13024,83
310,2234,84
311,828202,85
312,376109,86
313,173055,87
315,21289,88
316,14702,89
321,96241,90
327,20795,91
328,25845,92
329,77260,93
330,4050,94
331,864376,95
332,21814,96
352,1013584,97
354,82325,98
367,78611,99
382,4333,100
387,665749,101
388,2759,102
389,694932,103
398,126137,104
399,3162,105
400,2720,106
409,3523,107
416,889,108
418,275,109
419,82109,110
420,160789,111
424,35660,112
426,403,113
431,280435,114
434,20586,115
441,661610,116
447,833,117
450,20081,118
459,30851,119
460,5826,120
462,657377,121
463,684215,122
471,155503,123
476,55023,124
479,648298,125
483,108623,126
487,5135,127
491,20532,128
496,574709,129
509,658459,130
525,2708,131
534,19462,132
535,866,133
536,94059,134
542,1489,135
551,751972,136
553,2711,137
558,11356,138
563,105,139
564,884,140
570,106354,141
571,23129,142
577,642861,143
580,3673,144
583,643719,145
585,27976,146
592,1259,147
597,2559,148
599,642550,149
602,2344,150
608,104848,151
609,27685,152
612,155431,153
613,18613,154
619,230052,155
621,60312,156
636,722,157
637,3899,158
638,31080,159
648,106976,160
649,38585,161
650,202747,162
651,18190,163
652,3101,164
655,801,165
661,115240,166
668,685071,167
670,4541,168
671,18172,169
672,5872,170
674,678999,171
678,88559,172
681,2525,173
683,5004,174
685,642490,175
701,8879,176
704,9239,177
706,3916,178
716,134082,179
717,515983,180
719,805,181
720,642,182
725,742,183
726,37255,184
730,646255,185
732,650456,186
733,27543,187
737,12892,188
742,6210,189
745,567635,190
747,1845,191
749,93020,192
751,2608,193
752,122825,194
754,15143,195
758,168595,196
767,97346,197
771,37300,198
782,196,199
783,4,200
787,37027,201
793,37063,202
796,1009453,203
798,69794,204
800,21080,205
802,4821,206
804,3219,207
813,2810,208
816,357530,209
825,657357,210
835,254926,211
837,3371,212
838,75543,213
841,36072,214
848,18213,215
852,71084,216
854,69787,217
862,132538,218
866,20278,219
868,807,220
883,26352,221
887,649243,222
897,646667,223
899,62875,224
902,18105,225
903,663582,226
916,185311,227
918,156906,228
919,110104,229
924,20024,230
939,96926,231
943,1013167,232
945,20964,233
946,78636,234
950,2844,235
951,2282,236
953,9734,237
955,1082222,238
956,4844,239
959,215078,240
963,27203,241
964,479,242
981,16013,243
982,222053,244
984,108601,245
988,79719,246
990,131027,247
994,212745,248
1000,108617,249
1002,20363,250
1009,137363,251
1011,1034426,252
1019,21,253
1023,94026,254
1025,7200,255
1027,6375,256
1035,692623,257
1039,307085,258
1041,758404,259
1047,20411,260
1049,11303,261
1052,20011,262
1053,3477,263
1056,1226,264
1058,3665,265
1059,72639,266
1062,77110,267
1064,950752,268
1071,3138,269
1074,672244,270
1077,2962,271
1082,154085,272
1083,881,273
1100,24201,274
1110,110697,275
1113,18763,276
1114,518634,277
1116,72399,278
1120,646347,279
1126,521930,280
1136,104540,281
1150,1244,282
1151,4892,283
1158,38374,284
1174,75799,285
1179,124590,286
1180,9849,287
1185,24420,288
1190,642536,289
1191,636605,290
1198,102936,291
1206,20813,292
1213,17270,293
1221,907,294
1238,2423,295
1239,107678,296
1241,4562,297
1255,69888,298
1256,76293,299
1263,4921,300
1266,9286,301
1268,4049,302
1271,1011428,303
1274,3446,304
1281,1011763,305
1292,9405,306
1294,20836,307
1301,9109,308
1307,47763,309
1315,27004,310
1319,687,311
1322,166594,312
1323,280986,313
1324,1886,314
1329,26753,315
1332,20067,316
1337,642667,317
1339,29579,318
1345,2846,319
1346,1679,320
1351,27803,321
1352,11866,322
1361,2686,323
1366,850,324
1367,30363,325
1368,4435,326
1377,14371,327
1380,660234,328
1396,96750,329
1398,702512,330
1399,642877,331
1400,6518,332
1404,450319,333
1409,22224,334
1411,18792,335
1412,1168,336
1413,482708,337
1416,4904,338
1431,3168,339
1432,312265,340
1434,38409,341
1439,9344,342
1440,41561,343
1444,732340,344
1447,63732,345
1448,997937,346
1450,4767,347
1453,128675,348
1456,167,349
1470,713508,350
1475,2822,351
1479,1232,352
1500,27836,353
1505,20988,354
1510,104683,355
1511,20306,356
1514,468845,357
1518,2075,358
1519,71119,359
1522,10549,360
1528,6810,361
1529,22014,362
1533,71075,363
1536,234692,364
1537,20753,365
1544,3750,366
1552,373537,367
1559,33632,368
1560,96186,369
1564,646367,370
1565,78525,371
1570,2316,372
1572,2782,373
1575,510709,374
1576,4814,375
1585,20868,376
1596,660238,377
1601,3683,378
1610,6475,379
1622,1808,380
1623,52863,381
1625,340,382
1627,1781,383
1631,39126,384
1633,4751,385
1635,104299,386
1637,8607,387
1640,1203,388
1643,695747,389
1644,1179,390
1647,802056,391
1653,30212,392
1654,37398,393
1656,131024,394
1661,22367,395
1663,6269,396
1668,2982,397
1674,72724,398
1676,32497,399
1690,25718,400
1697,645693,401
1700,640017,402
1701,1860,403
1704,114387,404
1708,91268,405
1709,1007994,406
1715,30175,407
1716,700,408
1722,725875,409
1730,1048329,410
1753,51821,411
1767,24033,412
1774,888,413
1776,57500,414
1779,12825,415
1788,2422,416
1798,5203,417
1801,702853,418
1802,343346,419
1805,60085,420
1812,122853,421
1813,215841,422
1815,2538,423
1820,109657,424
1822,46218,425
1825,23127,426
1831,643385,427
1844,30295,428
1863,1243,429
1867,20870,430
1869,636736,431
1872,1118,432
1874,4998,433
1877,104149,434
1894,846,435
1896,109988,436
1898,6267,437
1902,159927,438
1906,223576,439
1924,64017,440
1925,1311,441
1926,106984,442
1928,5693,443
1936,636156,444
1943,8335,445
1948,93539,446
1951,4935,447
1953,3941,448
1958,2117,449
1961,33783,450
1968,643279,451
1971,672652,452
1977,1490,453
1980,728998,454
1981,153702,455
1985,52758,456
1993,989,457
1996,3589,458
1997,28179,459
1998,1731,460
1999,4613,461
2000,106500,462
2003,3600,463
2016,118647,464
2020,831,465
2021,38315,466
2031,28938,467
2033,25715,468
2037,1289,469
2038,1707,470
2040,27171,471
2042,87942,472
2046,21341,473
2049,642539,474
2050,172078,475
2068,8291,476
2071,662159,477
2077,69853,478
2083,11905,479
2085,20876,480
2086,2953,481
2091,4241,482
2101,8809,483
2109,9305,484
2120,129912,485
2125,43743,486
2129,32877,487
2133,919,488
2138,33,489
2143,93,490
2148,1012889,491
2152,60540,492
2159,698535,493
2162,50680,494
2168,37661,495
2189,170155,496
2220,825,497
2221,47860,498
2234,298366,499
2238,1271,500
2241,20635,501
2243,684219,502
2245,112235,503
2252,18571,504
2255,1574,505
2258,10418,506
2272,1182,507
2274,639961,508
2278,77327,509
2289,5926,510
2292,6415,511
2294,20150,512
2297,645647,513
2299,17685,514
2302,697830,515
2310,209,516
2311,124592,517
