seen, seed_size, seed_score
0, 100, 79857.3
0, 200, 142561
0, 300, 179364
0, 400, 207471
0, 500, 227341
0, 600, 247611
0, 700, 267679
0, 800, 285353
0, 900, 296238
0, 1000, 307862
0, 1100, 318022
0, 1200, 327538
0, 1300, 338974
0, 1400, 348983
0, 1500, 358889
0, 1600, 366173
0, 1700, 373870
0, 1800, 381366
0, 1900, 388568
0, 2000, 394054
0, 2100, 400011
0, 2200, 405882
0, 2300, 411391
0, 2400, 417791
0, 2500, 422402
0, 2600, 428044
0, 2700, 432631
0, 2800, 437415
0, 2900, 441999
0, 3000, 445655
0, 3100, 450125
0, 3200, 454504
0, 3300, 458875
0, 3400, 463255
0, 3500, 467004
0, 3600, 470598
0, 3700, 473910
0, 3800, 477380
0, 3900, 481222
0, 4000, 484542
0, 4100, 487240
0, 4200, 490526
0, 4300, 493711
0, 4400, 496511
0, 4500, 499405
0, 4600, 502268
0, 4700, 505104
0, 4800, 507795
0, 4900, 510457
0, 5000, 513588
0, 5100, 516049
0, 5200, 518691
0, 5300, 521207
0, 5400, 523821
0, 5500, 526195
0, 5600, 528994
0, 5700, 531196
0, 5800, 533399
0, 5900, 535570
0, 6000, 537817
0, 6085, 539698
