seen, seed_size, seed_score
3620, 100, 15262.2
7087, 200, 30964
10017, 300, 43581.4
13347, 400, 62345.6
16657, 500, 74114.5
20063, 600, 86862.1
23634, 700, 99429.6
26754, 800, 113656
30298, 900, 126158
34227, 1000, 136561
37709, 1100, 145254
41363, 1200, 156800
45346, 1300, 165820
49192, 1400, 176736
52923, 1500, 188343
57291, 1600, 195906
60678, 1700, 204211
64979, 1800, 213261
68763, 1900, 222023
72561, 2000, 229370
76681, 2100, 248742
81146, 2200, 254081
84762, 2300, 263861
88325, 2400, 270920
93199, 2500, 281086
97444, 2600, 287217
101535, 2700, 293196
106190, 2800, 299953
110189, 2900, 308398
113489, 2977, 314088
